partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",33,33,33,34,33
"JUSTICIALISTA (2)",85,86,93,71,68
"UNIÓN CÍVICA RADICAL (3)",365,360,361,359,355
"MOVIMIENTO SIEMPRE CORRIENTES (4)",22,22,22,23,21
"DEMÓCRATA CRISTIANO (5)",2,2,2,-,-
"DE LA CONCERTACIÓN - FORJA (7)",30,31,31,32,32
"FEDERAL (8)",4,4,-,4,4
"DEMÓCRATA PROGRESISTA (9)",4,4,4,4,5
"RENOVADOR FEDERAL (10)",37,36,36,4,4
"LADRILLEROS UNIDOS (11)",17,17,17,18,18
"COMUNISTA (12)",2,1,-,1,1
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",7,7,7,8,7
"ACCIÓN POR CORRIENTES (14)",10,10,10,12,12
"UNIDOS POR CORRIENTES (15)",6,6,6,18,17
"LABORISTA AUTÓNOMO (17)",7,7,7,8,9
"ELI - ENCUENTRO LIBERAL (18)",18,18,18,19,18
"CAMBIO POPULAR (19)",2,2,2,1,1
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",5,5,-,3,3
"CONVOCATORIA POPULAR (21)",0,0,-,0,0
"FE (23)",2,2,1,2,2
"NUESTRA CAUSA (24)",3,2,2,2,2
"UNION POPULAR (25)",7,7,7,7,7
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",2,2,2,2,2
"ENCUENTRO CORRELIGIONARIO (27)",18,19,19,19,18
"CAMBIO AUSTERIDAD Y PROGRESO (28)",77,78,77,79,80
"DEL TRABAJO Y DEL PUEBLO (29)",5,5,5,5,4
"CIUDADANOS A GOBERNAR (30)",13,13,13,13,12
"CONSERVADOR POPULAR (31)",8,8,8,8,8
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",6,6,6,6,6
"NUEVO PAIS (33)",4,4,-,2,2
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",7,7,7,7,7
"TERCERA POSICIÓN (35)",5,5,5,5,5
"UNIÓN CORRENTINA (37)",7,7,7,7,7
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",5,4,5,5,5
"UNIÓN PARA EL DESARROLLO (42)",8,8,8,7,7
"NORTE GRANDE (43)",5,5,5,7,7
"ACCIÓN POR LA REPÚBLICA (44)",6,6,6,6,6
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",1,1,-,0,0
"VAMOS CORRIENTES (46)",3,3,3,3,3
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",0,0,0,0,0
"PARTIDO AGRARIO Y SOCIAL (49)",1,1,-,-,-
"SOCIALISTA (50)",13,12,12,12,12
"LIBERAL (51)",73,71,73,81,85
"AUTONOMISTA (52)",31,31,34,31,33
"DE LA VICTORIA (54)",26,21,21,20,19
"PROYECTO CORRIENTES (57)",2,2,-,1,1
"PRO - PROPUESTA REPUBLICANA (64)",10,10,10,10,10
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",6,5,5,4,4
"NUEVO (90)",7,7,7,11,11
"POPULAR CORRENTINO (169)",788,780,783,828,823
"CRECER CON TODOS (170)",22,23,23,23,23
"UNIÓN CELESTE Y BLANCO (173)",0,0,-,0,0
"COMPROMISO CORRENTINO (175)",1,1,-,1,1
"KOLINA (192)",23,23,23,21,20
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,2,2
"Votos en Blanco",29,50,54,24,37
"Votos Nulos",4,4,4,5,5
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
