partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",33,27,27,29,28
"JUSTICIALISTA (2)",113,123,384,550,206
"UNIÓN CÍVICA RADICAL (3)",455,409,400,362,332
"MOVIMIENTO SIEMPRE CORRIENTES (4)",45,44,43,46,41
"DEMÓCRATA CRISTIANO (5)",13,15,17,26,31
"DE LA CONCERTACIÓN - FORJA (7)",45,41,41,37,39
"FEDERAL (8)",3,3,-,4,4
"DEMÓCRATA PROGRESISTA (9)",107,101,100,114,91
"RENOVADOR FEDERAL (10)",49,54,60,69,85
"LADRILLEROS UNIDOS (11)",28,28,28,21,20
"COMUNISTA (12)",6,8,-,-,10
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",3,3,3,8,6
"ACCIÓN POR CORRIENTES (14)",30,29,29,26,26
"UNIDOS POR CORRIENTES (15)",40,33,33,34,30
"LABORISTA AUTÓNOMO (17)",8,8,8,9,8
"ELI - ENCUENTRO LIBERAL (18)",40,37,37,32,29
"CAMBIO POPULAR (19)",9,10,10,11,12
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",1,1,-,0,0
"CONVOCATORIA POPULAR (21)",16,16,-,-,24
"FE (23)",3,3,3,3,3
"NUESTRA CAUSA (24)",18,18,18,20,20
"UNION POPULAR (25)",14,12,12,10,9
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",1,1,1,-,6
"ENCUENTRO CORRELIGIONARIO (27)",130,125,125,133,119
"CAMBIO AUSTERIDAD Y PROGRESO (28)",53,57,57,45,39
"DEL TRABAJO Y DEL PUEBLO (29)",8,8,8,8,9
"CIUDADANOS A GOBERNAR (30)",11,10,10,10,10
"CONSERVADOR POPULAR (31)",13,13,13,12,10
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",68,57,57,63,79
"NUEVO PAIS (33)",11,12,-,-,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",141,125,123,133,156
"TERCERA POSICIÓN (35)",18,18,18,23,20
"UNIÓN CORRENTINA (37)",14,11,11,9,9
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",27,26,26,25,17
"UNIÓN PARA EL DESARROLLO (42)",8,7,8,9,9
"NORTE GRANDE (43)",33,35,35,29,28
"ACCIÓN POR LA REPÚBLICA (44)",49,45,44,51,51
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",5,5,-,-,11
"VAMOS CORRIENTES (46)",25,22,21,20,14
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",111,106,106,111,106
"PARTIDO AGRARIO Y SOCIAL (49)",143,155,-,-,219
"SOCIALISTA (50)",48,46,46,56,47
"LIBERAL (51)",16,16,16,14,11
"AUTONOMISTA (52)",108,94,93,87,125
"DE LA VICTORIA (54)",6,8,8,11,10
"PROYECTO CORRIENTES (57)",29,28,-,-,-
"PRO - PROPUESTA REPUBLICANA (64)",46,38,29,28,24
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",25,24,24,25,23
"NUEVO (90)",14,15,14,11,10
"POPULAR CORRENTINO (169)",34,28,27,20,25
"CRECER CON TODOS (170)",24,20,20,15,14
"UNIÓN CELESTE Y BLANCO (173)",0,2,-,0,0
"COMPROMISO CORRENTINO (175)",21,22,-,-,37
"KOLINA (192)",24,25,27,27,29
"Votos en Blanco",101,230,237,73,135
"Votos Nulos",26,12,12,12,12
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
