partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",87,80,79,79,76
"JUSTICIALISTA (2)",110,108,339,124,119
"UNIÓN CÍVICA RADICAL (3)",561,542,528,436,436
"MOVIMIENTO SIEMPRE CORRIENTES (4)",56,53,52,49,49
"DEMÓCRATA CRISTIANO (5)",37,36,38,45,48
"DE LA CONCERTACIÓN - FORJA (7)",41,39,38,33,33
"FEDERAL (8)",50,51,-,66,63
"DEMÓCRATA PROGRESISTA (9)",39,37,36,33,32
"RENOVADOR FEDERAL (10)",52,55,57,61,59
"LADRILLEROS UNIDOS (11)",46,45,44,41,42
"COMUNISTA (12)",18,18,-,19,27
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",29,29,29,20,21
"ACCIÓN POR CORRIENTES (14)",17,17,17,17,17
"UNIDOS POR CORRIENTES (15)",22,20,18,17,17
"LABORISTA AUTÓNOMO (17)",21,20,20,20,20
"ELI - ENCUENTRO LIBERAL (18)",95,86,90,82,84
"CAMBIO POPULAR (19)",21,17,16,19,19
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",17,17,-,17,17
"CONVOCATORIA POPULAR (21)",20,19,-,19,-
"FE (23)",7,6,6,6,-
"NUESTRA CAUSA (24)",7,8,7,11,12
"UNION POPULAR (25)",103,101,96,94,96
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",34,31,38,39,38
"ENCUENTRO CORRELIGIONARIO (27)",47,45,45,42,42
"CAMBIO AUSTERIDAD Y PROGRESO (28)",12,11,12,13,12
"DEL TRABAJO Y DEL PUEBLO (29)",29,28,28,34,34
"CIUDADANOS A GOBERNAR (30)",26,26,26,24,27
"CONSERVADOR POPULAR (31)",44,42,41,40,40
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",39,36,38,35,35
"NUEVO PAIS (33)",47,52,-,66,62
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",14,11,11,11,11
"TERCERA POSICIÓN (35)",2,2,3,3,-
"UNIÓN CORRENTINA (37)",8,6,6,5,5
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",36,36,35,34,34
"UNIÓN PARA EL DESARROLLO (42)",13,13,13,12,11
"NORTE GRANDE (43)",9,9,9,9,9
"ACCIÓN POR LA REPÚBLICA (44)",13,16,16,16,16
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",12,10,-,15,13
"VAMOS CORRIENTES (46)",40,35,34,32,32
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",134,149,128,146,148
"PARTIDO AGRARIO Y SOCIAL (49)",38,19,-,29,23
"SOCIALISTA (50)",12,10,10,10,10
"LIBERAL (51)",49,48,48,44,41
"AUTONOMISTA (52)",70,69,70,62,63
"DE LA VICTORIA (54)",11,12,12,12,12
"PROYECTO CORRIENTES (57)",23,23,-,35,32
"PRO - PROPUESTA REPUBLICANA (64)",41,36,34,31,30
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",10,8,8,11,11
"NUEVO (90)",60,62,62,63,62
"POPULAR CORRENTINO (169)",85,90,89,87,85
"CRECER CON TODOS (170)",28,17,26,14,14
"UNIÓN CELESTE Y BLANCO (173)",18,18,-,25,22
"COMPROMISO CORRENTINO (175)",19,21,-,22,24
"KOLINA (192)",12,14,15,15,17
"INTEGRACIÓN CORRENTINA (36)",-,-,-,69,68
"NUEVA CORRIENTES (41)",-,-,-,16,15
"Votos en Blanco",77,165,205,142,187
"Votos Nulos",59,50,51,52,51
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
