partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",35,33,33,33,32
"JUSTICIALISTA (2)",307,346,533,404,459
"UNIÓN CÍVICA RADICAL (3)",454,410,407,407,415
"MOVIMIENTO SIEMPRE CORRIENTES (4)",24,23,22,22,22
"DEMÓCRATA CRISTIANO (5)",17,19,20,24,31
"DE LA CONCERTACIÓN - FORJA (7)",24,24,23,23,21
"FEDERAL (8)",53,56,-,66,-
"DEMÓCRATA PROGRESISTA (9)",8,6,6,7,7
"RENOVADOR FEDERAL (10)",97,103,106,109,-
"LADRILLEROS UNIDOS (11)",11,8,8,7,7
"COMUNISTA (12)",30,31,-,35,34
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",34,38,39,40,39
"ACCIÓN POR CORRIENTES (14)",13,13,13,13,13
"UNIDOS POR CORRIENTES (15)",20,17,17,17,19
"LABORISTA AUTÓNOMO (17)",9,9,9,10,10
"ELI - ENCUENTRO LIBERAL (18)",16,14,13,13,13
"CAMBIO POPULAR (19)",3,3,3,-,-
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",16,17,-,17,-
"CONVOCATORIA POPULAR (21)",5,5,-,4,9
"FE (23)",6,6,6,8,8
"NUESTRA CAUSA (24)",18,19,19,21,-
"UNION POPULAR (25)",13,12,12,12,13
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",25,25,26,-,19
"ENCUENTRO CORRELIGIONARIO (27)",17,17,17,16,16
"CAMBIO AUSTERIDAD Y PROGRESO (28)",2,2,2,2,2
"DEL TRABAJO Y DEL PUEBLO (29)",14,14,14,15,15
"CIUDADANOS A GOBERNAR (30)",23,23,23,24,23
"CONSERVADOR POPULAR (31)",16,13,10,8,9
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",10,9,9,8,8
"NUEVO PAIS (33)",18,18,-,57,103
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",62,63,63,62,62
"TERCERA POSICIÓN (35)",16,17,17,17,17
"UNIÓN CORRENTINA (37)",8,7,7,7,7
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",38,37,41,35,36
"UNIÓN PARA EL DESARROLLO (42)",6,6,6,6,6
"NORTE GRANDE (43)",15,12,12,12,12
"ACCIÓN POR LA REPÚBLICA (44)",8,7,7,8,8
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,0,-
"VAMOS CORRIENTES (46)",335,314,312,314,312
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",31,28,27,26,25
"PARTIDO AGRARIO Y SOCIAL (49)",21,21,-,-,-
"SOCIALISTA (50)",17,15,15,15,15
"LIBERAL (51)",31,31,31,31,30
"AUTONOMISTA (52)",11,11,11,11,11
"DE LA VICTORIA (54)",6,9,9,11,-
"PROYECTO CORRIENTES (57)",45,44,-,46,45
"PRO - PROPUESTA REPUBLICANA (64)",35,34,32,28,27
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",9,9,9,10,-
"NUEVO (90)",3,1,1,1,1
"POPULAR CORRENTINO (169)",77,72,73,75,74
"CRECER CON TODOS (170)",49,48,49,48,41
"UNIÓN CELESTE Y BLANCO (173)",32,33,-,35,-
"COMPROMISO CORRENTINO (175)",4,1,-,1,-
"KOLINA (192)",29,32,32,34,33
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,31,27
"Votos en Blanco",112,159,202,62,198
"Votos Nulos",30,24,22,25,34
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
