partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",27,26,26,26,26
"JUSTICIALISTA (2)",264,260,443,273,258
"UNIÓN CÍVICA RADICAL (3)",438,428,422,439,412
"MOVIMIENTO SIEMPRE CORRIENTES (4)",48,46,44,46,45
"DEMÓCRATA CRISTIANO (5)",5,4,4,-,-
"DE LA CONCERTACIÓN - FORJA (7)",53,49,49,52,49
"FEDERAL (8)",62,62,-,62,62
"DEMÓCRATA PROGRESISTA (9)",24,24,24,24,24
"RENOVADOR FEDERAL (10)",62,61,64,66,67
"LADRILLEROS UNIDOS (11)",30,27,27,28,27
"COMUNISTA (12)",9,9,-,11,11
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",13,13,13,16,14
"ACCIÓN POR CORRIENTES (14)",62,59,59,61,59
"UNIDOS POR CORRIENTES (15)",41,40,40,41,41
"LABORISTA AUTÓNOMO (17)",12,12,12,12,12
"ELI - ENCUENTRO LIBERAL (18)",64,63,63,63,51
"CAMBIO POPULAR (19)",10,9,9,10,9
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",15,15,-,17,17
"CONVOCATORIA POPULAR (21)",19,19,-,19,19
"FE (23)",6,6,6,6,7
"NUESTRA CAUSA (24)",20,20,20,20,21
"UNION POPULAR (25)",125,120,119,123,117
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",15,16,16,-,13
"ENCUENTRO CORRELIGIONARIO (27)",16,15,15,18,16
"CAMBIO AUSTERIDAD Y PROGRESO (28)",45,44,44,46,61
"DEL TRABAJO Y DEL PUEBLO (29)",16,16,16,16,16
"CIUDADANOS A GOBERNAR (30)",46,44,44,45,46
"CONSERVADOR POPULAR (31)",30,30,30,30,31
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",7,7,7,7,7
"NUEVO PAIS (33)",18,17,-,43,19
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",32,31,30,32,43
"TERCERA POSICIÓN (35)",10,10,10,11,10
"UNIÓN CORRENTINA (37)",7,6,6,6,6
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",54,49,49,53,63
"UNIÓN PARA EL DESARROLLO (42)",13,13,13,13,14
"NORTE GRANDE (43)",15,15,15,18,26
"ACCIÓN POR LA REPÚBLICA (44)",21,19,19,20,20
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,-,-
"VAMOS CORRIENTES (46)",17,17,17,17,17
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",18,18,18,21,19
"PARTIDO AGRARIO Y SOCIAL (49)",36,33,-,-,35
"SOCIALISTA (50)",48,48,48,48,49
"LIBERAL (51)",49,49,49,50,53
"AUTONOMISTA (52)",28,28,30,27,26
"DE LA VICTORIA (54)",16,16,16,17,16
"PROYECTO CORRIENTES (57)",20,19,-,13,12
"PRO - PROPUESTA REPUBLICANA (64)",94,89,88,95,87
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",6,6,6,7,6
"NUEVO (90)",22,25,22,22,21
"POPULAR CORRENTINO (169)",40,36,36,36,36
"CRECER CON TODOS (170)",34,32,32,34,32
"UNIÓN CELESTE Y BLANCO (173)",24,24,-,25,25
"COMPROMISO CORRENTINO (175)",7,8,-,8,8
"KOLINA (192)",25,26,26,26,25
"Votos en Blanco",60,140,172,99,112
"Votos Nulos",41,19,19,20,19
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
