partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",26,26,26,26,25
"JUSTICIALISTA (2)",56,55,70,50,50
"UNIÓN CÍVICA RADICAL (3)",303,301,303,304,292
"MOVIMIENTO SIEMPRE CORRIENTES (4)",12,12,12,13,12
"DEMÓCRATA CRISTIANO (5)",1,1,1,1,1
"DE LA CONCERTACIÓN - FORJA (7)",26,26,26,25,25
"FEDERAL (8)",0,0,-,-,-
"DEMÓCRATA PROGRESISTA (9)",14,14,14,15,15
"RENOVADOR FEDERAL (10)",1,1,1,1,1
"LADRILLEROS UNIDOS (11)",60,60,60,61,65
"COMUNISTA (12)",0,0,-,-,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",17,17,17,4,4
"ACCIÓN POR CORRIENTES (14)",11,11,11,11,11
"UNIDOS POR CORRIENTES (15)",54,53,53,55,45
"LABORISTA AUTÓNOMO (17)",8,8,8,9,9
"ELI - ENCUENTRO LIBERAL (18)",310,309,309,339,315
"CAMBIO POPULAR (19)",1,1,1,1,1
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",7,7,-,-,-
"CONVOCATORIA POPULAR (21)",0,0,-,-,-
"FE (23)",0,0,0,0,0
"NUESTRA CAUSA (24)",2,2,2,3,2
"UNION POPULAR (25)",66,66,66,72,67
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",1,1,1,-,-
"ENCUENTRO CORRELIGIONARIO (27)",18,19,19,19,19
"CAMBIO AUSTERIDAD Y PROGRESO (28)",22,22,24,24,25
"DEL TRABAJO Y DEL PUEBLO (29)",2,2,2,2,2
"CIUDADANOS A GOBERNAR (30)",38,38,38,38,36
"CONSERVADOR POPULAR (31)",30,30,30,31,33
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",3,3,3,3,4
"NUEVO PAIS (33)",2,2,-,-,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",5,4,4,4,4
"TERCERA POSICIÓN (35)",0,0,0,0,0
"UNIÓN CORRENTINA (37)",10,10,10,10,10
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",42,42,42,43,45
"UNIÓN PARA EL DESARROLLO (42)",90,89,89,94,101
"NORTE GRANDE (43)",0,0,0,-,-
"ACCIÓN POR LA REPÚBLICA (44)",5,5,5,5,5
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,-,-
"VAMOS CORRIENTES (46)",94,95,96,98,93
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",3,3,3,3,3
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-,-,-
"SOCIALISTA (50)",9,9,10,11,11
"LIBERAL (51)",18,20,20,21,20
"AUTONOMISTA (52)",26,26,27,26,26
"DE LA VICTORIA (54)",5,5,5,2,2
"PROYECTO CORRIENTES (57)",3,3,-,-,-
"PRO - PROPUESTA REPUBLICANA (64)",28,29,29,29,27
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",5,4,4,5,4
"NUEVO (90)",19,19,19,15,14
"POPULAR CORRENTINO (169)",402,399,397,412,447
"CRECER CON TODOS (170)",14,14,14,14,14
"UNIÓN CELESTE Y BLANCO (173)",5,5,-,-,-
"COMPROMISO CORRENTINO (175)",0,0,-,-,-
"KOLINA (192)",4,4,3,3,3
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,0,0
"Votos en Blanco",52,59,57,28,42
"Votos Nulos",4,3,3,4,4
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
