partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",29,28,26,24,23
"JUSTICIALISTA (2)",41,43,110,43,43
"UNIÓN CÍVICA RADICAL (3)",137,128,129,104,102
"MOVIMIENTO SIEMPRE CORRIENTES (4)",11,11,12,11,11
"DEMÓCRATA CRISTIANO (5)",8,6,6,7,6
"DE LA CONCERTACIÓN - FORJA (7)",7,6,5,5,5
"FEDERAL (8)",6,7,-,8,8
"DEMÓCRATA PROGRESISTA (9)",7,7,7,7,7
"RENOVADOR FEDERAL (10)",9,9,9,10,10
"LADRILLEROS UNIDOS (11)",13,13,13,14,14
"COMUNISTA (12)",8,8,-,9,9
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",31,32,30,19,19
"ACCIÓN POR CORRIENTES (14)",6,6,6,6,6
"UNIDOS POR CORRIENTES (15)",18,18,18,16,15
"LABORISTA AUTÓNOMO (17)",16,15,15,14,14
"ELI - ENCUENTRO LIBERAL (18)",21,18,19,19,18
"CAMBIO POPULAR (19)",15,14,15,17,16
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,1,-,6,5
"CONVOCATORIA POPULAR (21)",2,2,-,2,-
"FE (23)",3,3,4,4,-
"NUESTRA CAUSA (24)",8,7,7,7,7
"UNION POPULAR (25)",24,23,24,22,25
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",9,9,11,12,12
"ENCUENTRO CORRELIGIONARIO (27)",16,16,16,13,14
"CAMBIO AUSTERIDAD Y PROGRESO (28)",14,13,13,12,12
"DEL TRABAJO Y DEL PUEBLO (29)",11,10,9,12,9
"CIUDADANOS A GOBERNAR (30)",18,18,18,20,18
"CONSERVADOR POPULAR (31)",16,15,15,15,14
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",18,18,19,16,16
"NUEVO PAIS (33)",20,20,-,24,22
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",7,6,6,6,6
"TERCERA POSICIÓN (35)",6,6,6,6,-
"UNIÓN CORRENTINA (37)",15,15,13,14,14
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",13,12,12,11,11
"UNIÓN PARA EL DESARROLLO (42)",9,7,7,7,7
"NORTE GRANDE (43)",17,15,14,12,11
"ACCIÓN POR LA REPÚBLICA (44)",32,31,30,29,29
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",4,4,-,6,4
"VAMOS CORRIENTES (46)",7,11,11,11,11
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",64,59,59,56,56
"PARTIDO AGRARIO Y SOCIAL (49)",1,1,-,2,2
"SOCIALISTA (50)",19,19,19,18,18
"LIBERAL (51)",59,58,58,53,54
"AUTONOMISTA (52)",27,27,29,26,24
"DE LA VICTORIA (54)",5,6,6,9,7
"PROYECTO CORRIENTES (57)",21,20,-,23,22
"PRO - PROPUESTA REPUBLICANA (64)",35,33,33,23,23
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",4,4,4,5,5
"NUEVO (90)",29,26,26,22,23
"POPULAR CORRENTINO (169)",52,50,50,48,48
"CRECER CON TODOS (170)",11,11,13,10,10
"UNIÓN CELESTE Y BLANCO (173)",12,11,-,13,13
"COMPROMISO CORRENTINO (175)",10,9,-,12,12
"KOLINA (192)",11,11,11,12,12
"INTEGRACIÓN CORRENTINA (36)",-,-,-,23,22
"NUEVA CORRIENTES (41)",-,-,-,30,30
"Votos en Blanco",66,112,125,102,132
"Votos Nulos",20,10,10,11,12
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
