partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",4,3,3,2,1
"JUSTICIALISTA (2)",79,82,238,335,131
"UNIÓN CÍVICA RADICAL (3)",250,226,195,226,198
"MOVIMIENTO SIEMPRE CORRIENTES (4)",32,28,28,33,21
"DEMÓCRATA CRISTIANO (5)",9,9,9,12,11
"DE LA CONCERTACIÓN - FORJA (7)",32,28,28,28,30
"FEDERAL (8)",0,0,-,0,0
"DEMÓCRATA PROGRESISTA (9)",84,80,78,82,66
"RENOVADOR FEDERAL (10)",35,41,44,49,62
"LADRILLEROS UNIDOS (11)",19,16,16,16,12
"COMUNISTA (12)",11,12,-,-,13
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",10,10,11,12,12
"ACCIÓN POR CORRIENTES (14)",14,12,12,13,11
"UNIDOS POR CORRIENTES (15)",15,14,14,14,14
"LABORISTA AUTÓNOMO (17)",11,11,11,11,11
"ELI - ENCUENTRO LIBERAL (18)",21,17,18,19,14
"CAMBIO POPULAR (19)",5,5,5,6,8
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-,0,0
"CONVOCATORIA POPULAR (21)",11,11,-,-,17
"FE (23)",0,0,0,0,0
"NUESTRA CAUSA (24)",9,9,9,9,9
"UNION POPULAR (25)",10,8,10,9,8
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",7,7,7,-,6
"ENCUENTRO CORRELIGIONARIO (27)",90,81,79,76,70
"CAMBIO AUSTERIDAD Y PROGRESO (28)",24,21,21,16,15
"DEL TRABAJO Y DEL PUEBLO (29)",3,3,3,4,2
"CIUDADANOS A GOBERNAR (30)",13,13,13,13,12
"CONSERVADOR POPULAR (31)",24,23,23,24,22
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",60,55,55,55,58
"NUEVO PAIS (33)",9,10,-,-,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",79,72,72,76,100
"TERCERA POSICIÓN (35)",6,6,6,8,7
"UNIÓN CORRENTINA (37)",6,5,5,4,4
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",12,11,11,12,11
"UNIÓN PARA EL DESARROLLO (42)",12,11,11,10,9
"NORTE GRANDE (43)",21,21,21,20,20
"ACCIÓN POR LA REPÚBLICA (44)",26,24,24,24,24
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",9,11,-,-,10
"VAMOS CORRIENTES (46)",15,11,10,11,10
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",80,68,68,68,77
"PARTIDO AGRARIO Y SOCIAL (49)",76,93,-,-,135
"SOCIALISTA (50)",19,17,17,17,13
"LIBERAL (51)",9,9,9,7,7
"AUTONOMISTA (52)",90,84,85,76,100
"DE LA VICTORIA (54)",16,16,16,18,14
"PROYECTO CORRIENTES (57)",23,23,-,-,-
"PRO - PROPUESTA REPUBLICANA (64)",30,27,27,21,22
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",11,11,11,16,15
"NUEVO (90)",4,4,4,2,3
"POPULAR CORRENTINO (169)",25,23,22,21,19
"CRECER CON TODOS (170)",12,8,9,9,7
"UNIÓN CELESTE Y BLANCO (173)",3,3,-,0,0
"COMPROMISO CORRENTINO (175)",13,14,-,-,17
"KOLINA (192)",20,21,21,25,24
"Votos en Blanco",54,135,184,53,81
"Votos Nulos",15,15,15,15,15
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
