partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",46,44,43,43,43
"JUSTICIALISTA (2)",468,477,640,476,466
"UNIÓN CÍVICA RADICAL (3)",468,458,467,521,507
"MOVIMIENTO SIEMPRE CORRIENTES (4)",28,27,27,26,26
"DEMÓCRATA CRISTIANO (5)",29,31,31,31,33
"DE LA CONCERTACIÓN - FORJA (7)",27,26,25,26,25
"FEDERAL (8)",33,33,-,38,40
"DEMÓCRATA PROGRESISTA (9)",32,33,33,-,-
"RENOVADOR FEDERAL (10)",27,27,27,27,26
"LADRILLEROS UNIDOS (11)",45,43,45,45,42
"COMUNISTA (12)",13,13,-,14,14
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",20,20,20,21,21
"ACCIÓN POR CORRIENTES (14)",47,47,46,47,44
"UNIDOS POR CORRIENTES (15)",22,21,21,21,21
"LABORISTA AUTÓNOMO (17)",17,16,16,-,-
"ELI - ENCUENTRO LIBERAL (18)",279,273,272,275,270
"CAMBIO POPULAR (19)",25,25,25,26,27
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",16,16,-,17,17
"CONVOCATORIA POPULAR (21)",32,32,-,32,32
"FE (23)",3,3,3,3,3
"NUESTRA CAUSA (24)",6,7,6,6,6
"UNION POPULAR (25)",71,71,71,91,90
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",34,34,34,33,33
"ENCUENTRO CORRELIGIONARIO (27)",35,31,29,32,30
"CAMBIO AUSTERIDAD Y PROGRESO (28)",24,23,24,23,23
"DEL TRABAJO Y DEL PUEBLO (29)",12,12,12,12,12
"CIUDADANOS A GOBERNAR (30)",30,29,29,30,27
"CONSERVADOR POPULAR (31)",11,11,11,11,11
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",30,30,29,30,35
"NUEVO PAIS (33)",6,6,-,6,6
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",36,36,36,-,-
"TERCERA POSICIÓN (35)",8,8,8,8,8
"UNIÓN CORRENTINA (37)",17,17,17,17,17
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",22,22,22,22,22
"UNIÓN PARA EL DESARROLLO (42)",26,26,26,26,26
"NORTE GRANDE (43)",9,9,9,9,9
"ACCIÓN POR LA REPÚBLICA (44)",21,21,21,21,20
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",1,1,-,0,0
"VAMOS CORRIENTES (46)",9,8,8,8,8
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",45,44,45,45,44
"PARTIDO AGRARIO Y SOCIAL (49)",17,17,-,17,17
"SOCIALISTA (50)",14,14,14,14,14
"LIBERAL (51)",78,76,77,77,77
"AUTONOMISTA (52)",75,69,71,75,97
"DE LA VICTORIA (54)",15,15,15,16,15
"PROYECTO CORRIENTES (57)",15,15,-,15,15
"PRO - PROPUESTA REPUBLICANA (64)",41,37,37,38,35
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",7,7,7,7,7
"NUEVO (90)",26,24,24,24,23
"POPULAR CORRENTINO (169)",84,80,80,80,77
"CRECER CON TODOS (170)",52,51,51,52,52
"UNIÓN CELESTE Y BLANCO (173)",34,35,-,37,35
"COMPROMISO CORRENTINO (175)",3,3,-,2,2
"KOLINA (192)",31,32,32,32,32
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,25,25
"Votos en Blanco",91,146,146,101,125
"Votos Nulos",37,18,18,19,18
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
