partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",70,67,66,66,66
"JUSTICIALISTA (2)",103,107,210,126,119
"UNIÓN CÍVICA RADICAL (3)",587,564,558,474,414
"MOVIMIENTO SIEMPRE CORRIENTES (4)",49,46,53,48,47
"DEMÓCRATA CRISTIANO (5)",66,71,77,82,81
"DE LA CONCERTACIÓN - FORJA (7)",34,33,33,29,29
"FEDERAL (8)",1,1,-,1,1
"DEMÓCRATA PROGRESISTA (9)",44,42,42,42,43
"RENOVADOR FEDERAL (10)",32,32,33,37,35
"LADRILLEROS UNIDOS (11)",72,66,65,64,64
"COMUNISTA (12)",8,8,-,9,12
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",22,22,22,20,20
"ACCIÓN POR CORRIENTES (14)",31,31,31,27,26
"UNIDOS POR CORRIENTES (15)",42,38,38,35,35
"LABORISTA AUTÓNOMO (17)",36,36,35,35,35
"ELI - ENCUENTRO LIBERAL (18)",64,62,61,60,59
"CAMBIO POPULAR (19)",16,15,15,16,16
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",19,19,-,21,19
"CONVOCATORIA POPULAR (21)",5,5,-,6,-
"FE (23)",11,11,11,12,-
"NUESTRA CAUSA (24)",8,9,9,14,13
"UNION POPULAR (25)",49,50,49,43,45
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",17,19,19,24,23
"ENCUENTRO CORRELIGIONARIO (27)",27,23,23,23,22
"CAMBIO AUSTERIDAD Y PROGRESO (28)",8,8,7,8,8
"DEL TRABAJO Y DEL PUEBLO (29)",22,20,20,23,22
"CIUDADANOS A GOBERNAR (30)",12,14,14,13,14
"CONSERVADOR POPULAR (31)",16,14,14,14,14
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",37,33,34,31,31
"NUEVO PAIS (33)",26,27,-,34,34
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",13,13,13,12,12
"TERCERA POSICIÓN (35)",12,11,11,15,-
"UNIÓN CORRENTINA (37)",37,35,34,32,32
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",9,8,7,7,7
"UNIÓN PARA EL DESARROLLO (42)",8,8,8,8,8
"NORTE GRANDE (43)",21,21,21,19,19
"ACCIÓN POR LA REPÚBLICA (44)",12,12,12,11,11
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",30,29,-,36,32
"VAMOS CORRIENTES (46)",33,29,31,31,30
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",142,138,132,129,129
"PARTIDO AGRARIO Y SOCIAL (49)",51,42,-,57,55
"SOCIALISTA (50)",26,24,24,21,21
"LIBERAL (51)",40,37,37,36,34
"AUTONOMISTA (52)",41,41,44,40,41
"DE LA VICTORIA (54)",10,9,11,16,13
"PROYECTO CORRIENTES (57)",17,17,-,28,26
"PRO - PROPUESTA REPUBLICANA (64)",80,81,80,76,77
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",15,14,14,15,15
"NUEVO (90)",64,63,63,62,63
"POPULAR CORRENTINO (169)",86,84,83,79,79
"CRECER CON TODOS (170)",13,11,12,12,12
"UNIÓN CELESTE Y BLANCO (173)",7,6,-,12,10
"COMPROMISO CORRENTINO (175)",11,9,-,14,14
"KOLINA (192)",6,7,8,7,7
"INTEGRACIÓN CORRENTINA (36)",-,-,-,56,66
"NUEVA CORRIENTES (41)",-,-,-,12,2
"Votos en Blanco",77,147,202,118,228
"Votos Nulos",47,49,51,48,48
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
