partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",87,82,79,76,75
"JUSTICIALISTA (2)",100,98,458,115,113
"UNIÓN CÍVICA RADICAL (3)",908,845,839,705,721
"MOVIMIENTO SIEMPRE CORRIENTES (4)",94,89,88,83,82
"DEMÓCRATA CRISTIANO (5)",56,55,61,69,71
"DE LA CONCERTACIÓN - FORJA (7)",72,69,63,63,62
"FEDERAL (8)",42,43,-,63,57
"DEMÓCRATA PROGRESISTA (9)",71,67,67,61,62
"RENOVADOR FEDERAL (10)",70,72,74,89,86
"LADRILLEROS UNIDOS (11)",71,68,66,64,66
"COMUNISTA (12)",47,46,-,51,59
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",36,38,37,18,17
"ACCIÓN POR CORRIENTES (14)",30,27,25,23,24
"UNIDOS POR CORRIENTES (15)",55,48,48,45,45
"LABORISTA AUTÓNOMO (17)",53,54,54,51,51
"ELI - ENCUENTRO LIBERAL (18)",145,140,137,130,127
"CAMBIO POPULAR (19)",29,29,29,38,39
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",28,26,-,28,27
"CONVOCATORIA POPULAR (21)",15,17,-,19,-
"FE (23)",40,38,40,47,-
"NUESTRA CAUSA (24)",16,13,13,15,15
"UNION POPULAR (25)",104,100,96,96,99
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",42,40,40,48,46
"ENCUENTRO CORRELIGIONARIO (27)",39,37,37,34,34
"CAMBIO AUSTERIDAD Y PROGRESO (28)",29,27,27,26,26
"DEL TRABAJO Y DEL PUEBLO (29)",79,84,85,97,93
"CIUDADANOS A GOBERNAR (30)",36,37,38,35,36
"CONSERVADOR POPULAR (31)",49,47,45,42,43
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",114,105,106,101,99
"NUEVO PAIS (33)",66,68,-,84,81
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",9,9,9,8,8
"TERCERA POSICIÓN (35)",14,13,13,16,-
"UNIÓN CORRENTINA (37)",45,41,41,40,39
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",25,23,22,22,22
"UNIÓN PARA EL DESARROLLO (42)",28,26,25,26,25
"NORTE GRANDE (43)",25,25,26,23,23
"ACCIÓN POR LA REPÚBLICA (44)",27,27,27,26,26
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",31,30,-,37,35
"VAMOS CORRIENTES (46)",74,70,69,66,65
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",218,212,210,196,201
"PARTIDO AGRARIO Y SOCIAL (49)",41,37,-,43,42
"SOCIALISTA (50)",34,30,29,26,26
"LIBERAL (51)",65,64,64,60,60
"AUTONOMISTA (52)",113,110,110,103,105
"DE LA VICTORIA (54)",71,78,77,87,84
"PROYECTO CORRIENTES (57)",52,51,-,69,67
"PRO - PROPUESTA REPUBLICANA (64)",37,35,35,35,34
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",14,12,12,15,15
"NUEVO (90)",57,56,55,53,55
"POPULAR CORRENTINO (169)",247,238,239,223,223
"CRECER CON TODOS (170)",49,44,42,42,42
"UNIÓN CELESTE Y BLANCO (173)",33,36,-,45,41
"COMPROMISO CORRENTINO (175)",42,39,-,47,44
"KOLINA (192)",21,22,22,30,34
"INTEGRACIÓN CORRENTINA (36)",-,-,-,96,99
"NUEVA CORRIENTES (41)",-,-,-,29,26
"Votos en Blanco",123,296,354,255,338
"Votos Nulos",98,76,76,75,74
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
