partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",6,4,4,4,4
"JUSTICIALISTA (2)",199,199,310,364,214
"UNIÓN CÍVICA RADICAL (3)",176,174,172,166,167
"MOVIMIENTO SIEMPRE CORRIENTES (4)",78,78,78,78,68
"DEMÓCRATA CRISTIANO (5)",9,9,9,10,10
"DE LA CONCERTACIÓN - FORJA (7)",31,31,31,30,35
"FEDERAL (8)",0,0,-,0,0
"DEMÓCRATA PROGRESISTA (9)",73,69,69,78,62
"RENOVADOR FEDERAL (10)",27,30,30,26,30
"LADRILLEROS UNIDOS (11)",9,9,9,8,7
"COMUNISTA (12)",9,9,-,-,11
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",12,12,12,15,15
"ACCIÓN POR CORRIENTES (14)",4,4,4,3,3
"UNIDOS POR CORRIENTES (15)",17,19,19,19,16
"LABORISTA AUTÓNOMO (17)",10,8,8,8,8
"ELI - ENCUENTRO LIBERAL (18)",11,10,10,7,6
"CAMBIO POPULAR (19)",8,8,8,10,10
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-,0,0
"CONVOCATORIA POPULAR (21)",9,9,-,-,9
"FE (23)",3,3,3,3,3
"NUESTRA CAUSA (24)",3,4,4,4,6
"UNION POPULAR (25)",11,11,11,10,9
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",0,0,0,-,0
"ENCUENTRO CORRELIGIONARIO (27)",43,41,41,40,39
"CAMBIO AUSTERIDAD Y PROGRESO (28)",7,7,7,7,6
"DEL TRABAJO Y DEL PUEBLO (29)",7,7,7,8,7
"CIUDADANOS A GOBERNAR (30)",2,2,2,2,2
"CONSERVADOR POPULAR (31)",18,18,18,17,17
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",63,60,56,57,61
"NUEVO PAIS (33)",0,1,-,-,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",60,57,57,58,66
"TERCERA POSICIÓN (35)",3,3,3,3,2
"UNIÓN CORRENTINA (37)",8,8,8,7,8
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",7,6,6,7,5
"UNIÓN PARA EL DESARROLLO (42)",1,1,1,1,1
"NORTE GRANDE (43)",57,57,57,56,58
"ACCIÓN POR LA REPÚBLICA (44)",16,16,16,17,16
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",3,3,-,-,4
"VAMOS CORRIENTES (46)",2,2,1,1,1
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",45,46,46,41,52
"PARTIDO AGRARIO Y SOCIAL (49)",61,59,-,-,65
"SOCIALISTA (50)",26,26,26,26,23
"LIBERAL (51)",6,6,6,5,6
"AUTONOMISTA (52)",34,32,26,29,40
"DE LA VICTORIA (54)",5,5,5,5,4
"PROYECTO CORRIENTES (57)",6,6,-,-,-
"PRO - PROPUESTA REPUBLICANA (64)",12,12,12,12,11
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",8,8,8,10,10
"NUEVO (90)",18,17,11,16,17
"POPULAR CORRENTINO (169)",31,29,29,24,34
"CRECER CON TODOS (170)",1,1,1,1,1
"UNIÓN CELESTE Y BLANCO (173)",1,1,-,1,4
"COMPROMISO CORRENTINO (175)",6,6,-,-,0
"KOLINA (192)",5,5,5,5,5
"Votos en Blanco",40,63,65,14,51
"Votos Nulos",12,8,8,8,10
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
