partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",38,37,37,36,34
"JUSTICIALISTA (2)",371,382,607,411,394
"UNIÓN CÍVICA RADICAL (3)",557,538,532,521,515
"MOVIMIENTO SIEMPRE CORRIENTES (4)",35,35,35,36,33
"DEMÓCRATA CRISTIANO (5)",17,17,17,19,19
"DE LA CONCERTACIÓN - FORJA (7)",95,92,92,91,88
"FEDERAL (8)",27,27,-,30,28
"DEMÓCRATA PROGRESISTA (9)",42,39,39,39,38
"RENOVADOR FEDERAL (10)",42,42,43,50,46
"LADRILLEROS UNIDOS (11)",27,25,25,26,24
"COMUNISTA (12)",19,20,-,21,22
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",39,38,39,39,37
"ACCIÓN POR CORRIENTES (14)",7,6,7,6,5
"UNIDOS POR CORRIENTES (15)",10,10,9,10,10
"LABORISTA AUTÓNOMO (17)",9,8,8,8,6
"ELI - ENCUENTRO LIBERAL (18)",105,96,97,98,100
"CAMBIO POPULAR (19)",53,55,55,61,53
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",6,5,-,1,0
"CONVOCATORIA POPULAR (21)",37,37,-,38,38
"FE (23)",1,1,1,1,1
"NUESTRA CAUSA (24)",9,9,9,11,11
"UNION POPULAR (25)",35,34,34,36,38
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",8,8,8,8,7
"ENCUENTRO CORRELIGIONARIO (27)",39,39,39,39,38
"CAMBIO AUSTERIDAD Y PROGRESO (28)",26,24,23,22,22
"DEL TRABAJO Y DEL PUEBLO (29)",14,16,16,16,16
"CIUDADANOS A GOBERNAR (30)",23,21,21,22,20
"CONSERVADOR POPULAR (31)",16,15,15,16,15
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",21,18,20,15,11
"NUEVO PAIS (33)",68,69,-,74,71
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",12,12,12,12,11
"TERCERA POSICIÓN (35)",22,22,22,22,20
"UNIÓN CORRENTINA (37)",7,6,6,7,6
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",11,11,11,11,11
"UNIÓN PARA EL DESARROLLO (42)",6,5,5,5,5
"NORTE GRANDE (43)",26,26,26,23,22
"ACCIÓN POR LA REPÚBLICA (44)",11,11,11,10,9
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",7,7,-,7,-
"VAMOS CORRIENTES (46)",52,47,47,47,47
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",27,25,25,25,25
"PARTIDO AGRARIO Y SOCIAL (49)",12,14,-,13,13
"SOCIALISTA (50)",14,14,14,14,14
"LIBERAL (51)",69,68,68,66,65
"AUTONOMISTA (52)",157,149,151,171,188
"DE LA VICTORIA (54)",24,24,24,26,24
"PROYECTO CORRIENTES (57)",68,73,-,81,79
"PRO - PROPUESTA REPUBLICANA (64)",70,69,69,69,66
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",22,22,22,24,21
"NUEVO (90)",22,20,20,16,15
"POPULAR CORRENTINO (169)",94,91,89,86,102
"CRECER CON TODOS (170)",26,25,25,25,24
"UNIÓN CELESTE Y BLANCO (173)",28,29,-,32,32
"COMPROMISO CORRENTINO (175)",4,5,-,4,5
"KOLINA (192)",19,19,21,22,21
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,22,22
"Votos en Blanco",102,154,215,70,120
"Votos Nulos",30,27,27,27,31
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
