partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",5,7,8,8,8
"JUSTICIALISTA (2)",214,215,236,218,216
"UNIÓN CÍVICA RADICAL (3)",247,246,247,247,244
"MOVIMIENTO SIEMPRE CORRIENTES (4)",15,14,14,14,14
"DEMÓCRATA CRISTIANO (5)",6,6,6,6,7
"DE LA CONCERTACIÓN - FORJA (7)",9,9,9,9,9
"FEDERAL (8)",7,7,-,7,7
"DEMÓCRATA PROGRESISTA (9)",8,8,8,8,8
"RENOVADOR FEDERAL (10)",5,5,5,5,5
"LADRILLEROS UNIDOS (11)",5,5,5,5,5
"COMUNISTA (12)",0,0,-,0,0
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",5,5,5,5,5
"ACCIÓN POR CORRIENTES (14)",0,0,0,0,0
"UNIDOS POR CORRIENTES (15)",6,6,6,6,6
"LABORISTA AUTÓNOMO (17)",1,1,1,1,1
"ELI - ENCUENTRO LIBERAL (18)",45,45,45,45,45
"CAMBIO POPULAR (19)",18,18,18,18,18
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",3,3,-,0,0
"CONVOCATORIA POPULAR (21)",0,0,-,0,0
"FE (23)",1,1,1,1,1
"NUESTRA CAUSA (24)",6,6,6,6,6
"UNION POPULAR (25)",12,12,12,15,13
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",0,0,0,0,0
"ENCUENTRO CORRELIGIONARIO (27)",7,7,7,7,7
"CAMBIO AUSTERIDAD Y PROGRESO (28)",0,0,0,0,0
"DEL TRABAJO Y DEL PUEBLO (29)",0,0,0,0,0
"CIUDADANOS A GOBERNAR (30)",2,2,2,2,2
"CONSERVADOR POPULAR (31)",0,0,0,0,0
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",0,0,0,0,0
"NUEVO PAIS (33)",2,2,-,2,2
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",1,1,1,1,1
"TERCERA POSICIÓN (35)",1,1,0,1,1
"UNIÓN CORRENTINA (37)",0,0,0,0,0
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",1,1,1,1,1
"UNIÓN PARA EL DESARROLLO (42)",0,0,0,0,0
"NORTE GRANDE (43)",0,0,0,0,0
"ACCIÓN POR LA REPÚBLICA (44)",3,3,3,3,3
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",1,1,-,0,-
"VAMOS CORRIENTES (46)",14,7,8,7,11
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",1,1,1,1,1
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-,0,0
"SOCIALISTA (50)",2,2,2,2,2
"LIBERAL (51)",1,1,1,1,1
"AUTONOMISTA (52)",30,30,30,30,32
"DE LA VICTORIA (54)",0,0,0,0,0
"PROYECTO CORRIENTES (57)",2,2,-,3,4
"PRO - PROPUESTA REPUBLICANA (64)",7,7,8,7,6
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",12,12,12,12,12
"NUEVO (90)",2,2,2,2,2
"POPULAR CORRENTINO (169)",8,7,7,8,9
"CRECER CON TODOS (170)",2,2,2,2,2
"UNIÓN CELESTE Y BLANCO (173)",0,0,-,0,0
"COMPROMISO CORRENTINO (175)",9,9,-,9,9
"KOLINA (192)",2,2,3,3,3
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,1,1
"Votos en Blanco",25,32,31,24,23
"Votos Nulos",2,2,2,2,2
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
