partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",114,112,112,110,110
"JUSTICIALISTA (2)",377,384,457,410,406
"UNIÓN CÍVICA RADICAL (3)",158,152,151,151,150
"MOVIMIENTO SIEMPRE CORRIENTES (4)",25,26,25,25,25
"DEMÓCRATA CRISTIANO (5)",36,34,38,39,39
"DE LA CONCERTACIÓN - FORJA (7)",57,57,57,55,55
"FEDERAL (8)",21,21,-,24,26
"DEMÓCRATA PROGRESISTA (9)",22,21,18,24,26
"RENOVADOR FEDERAL (10)",19,18,18,20,20
"LADRILLEROS UNIDOS (11)",25,25,25,25,25
"COMUNISTA (12)",18,19,-,19,19
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",32,32,33,34,32
"ACCIÓN POR CORRIENTES (14)",18,19,19,19,19
"UNIDOS POR CORRIENTES (15)",61,60,60,62,62
"LABORISTA AUTÓNOMO (17)",43,47,47,46,46
"ELI - ENCUENTRO LIBERAL (18)",89,87,87,87,88
"CAMBIO POPULAR (19)",6,6,5,6,6
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",26,22,-,24,25
"CONVOCATORIA POPULAR (21)",14,15,-,18,18
"FE (23)",7,7,7,7,7
"NUESTRA CAUSA (24)",15,15,15,16,15
"UNION POPULAR (25)",57,55,56,59,57
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",9,9,9,9,9
"ENCUENTRO CORRELIGIONARIO (27)",26,24,24,22,22
"CAMBIO AUSTERIDAD Y PROGRESO (28)",12,13,12,10,9
"DEL TRABAJO Y DEL PUEBLO (29)",13,13,13,16,16
"CIUDADANOS A GOBERNAR (30)",31,30,30,31,31
"CONSERVADOR POPULAR (31)",14,13,13,13,13
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",43,38,39,40,41
"NUEVO PAIS (33)",13,14,-,16,16
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",17,17,17,17,17
"TERCERA POSICIÓN (35)",25,22,23,24,22
"UNIÓN CORRENTINA (37)",10,11,11,12,12
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",17,16,16,17,16
"UNIÓN PARA EL DESARROLLO (42)",69,69,69,69,69
"NORTE GRANDE (43)",18,18,18,18,18
"ACCIÓN POR LA REPÚBLICA (44)",11,11,11,11,12
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",6,6,-,6,6
"VAMOS CORRIENTES (46)",367,363,364,367,362
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",40,40,40,43,41
"PARTIDO AGRARIO Y SOCIAL (49)",4,4,-,-,-
"SOCIALISTA (50)",19,18,18,17,17
"LIBERAL (51)",62,62,62,62,62
"AUTONOMISTA (52)",21,19,19,17,17
"DE LA VICTORIA (54)",6,6,6,8,8
"PROYECTO CORRIENTES (57)",73,72,-,74,74
"PRO - PROPUESTA REPUBLICANA (64)",28,28,28,27,28
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",8,8,8,10,10
"NUEVO (90)",50,53,53,52,58
"POPULAR CORRENTINO (169)",123,122,122,125,121
"CRECER CON TODOS (170)",26,26,26,26,26
"UNIÓN CELESTE Y BLANCO (173)",5,6,-,6,6
"COMPROMISO CORRENTINO (175)",5,5,-,6,6
"KOLINA (192)",19,19,19,20,20
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,11,11
"Votos en Blanco",160,186,295,112,122
"Votos Nulos",16,11,11,12,12
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
