partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",64,62,61,61,60
"JUSTICIALISTA (2)",459,470,618,475,464
"UNIÓN CÍVICA RADICAL (3)",559,546,546,607,582
"MOVIMIENTO SIEMPRE CORRIENTES (4)",25,26,26,26,26
"DEMÓCRATA CRISTIANO (5)",30,30,30,30,30
"DE LA CONCERTACIÓN - FORJA (7)",40,39,39,39,39
"FEDERAL (8)",46,46,-,46,46
"DEMÓCRATA PROGRESISTA (9)",29,27,27,-,-
"RENOVADOR FEDERAL (10)",51,46,45,46,45
"LADRILLEROS UNIDOS (11)",37,35,35,36,35
"COMUNISTA (12)",10,10,-,10,10
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",21,21,19,21,20
"ACCIÓN POR CORRIENTES (14)",24,24,25,24,24
"UNIDOS POR CORRIENTES (15)",37,38,37,37,36
"LABORISTA AUTÓNOMO (17)",36,35,35,-,-
"ELI - ENCUENTRO LIBERAL (18)",276,273,271,274,269
"CAMBIO POPULAR (19)",44,44,44,45,45
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",5,5,-,5,5
"CONVOCATORIA POPULAR (21)",33,33,-,33,33
"FE (23)",8,8,8,8,8
"NUESTRA CAUSA (24)",19,19,19,19,19
"UNION POPULAR (25)",55,54,54,89,83
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",21,24,25,24,23
"ENCUENTRO CORRELIGIONARIO (27)",24,23,23,22,22
"CAMBIO AUSTERIDAD Y PROGRESO (28)",12,12,12,12,12
"DEL TRABAJO Y DEL PUEBLO (29)",12,12,12,12,12
"CIUDADANOS A GOBERNAR (30)",22,21,21,21,21
"CONSERVADOR POPULAR (31)",12,12,12,12,12
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",23,23,23,23,26
"NUEVO PAIS (33)",5,5,-,5,6
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",37,37,37,-,-
"TERCERA POSICIÓN (35)",10,11,12,11,11
"UNIÓN CORRENTINA (37)",21,21,21,21,21
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",10,10,9,9,9
"UNIÓN PARA EL DESARROLLO (42)",15,15,15,15,15
"NORTE GRANDE (43)",7,6,6,6,6
"ACCIÓN POR LA REPÚBLICA (44)",12,11,11,12,11
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",7,7,-,7,6
"VAMOS CORRIENTES (46)",14,14,14,14,14
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",43,40,41,41,42
"PARTIDO AGRARIO Y SOCIAL (49)",9,9,-,9,9
"SOCIALISTA (50)",11,10,11,10,11
"LIBERAL (51)",72,69,70,70,71
"AUTONOMISTA (52)",94,88,92,104,132
"DE LA VICTORIA (54)",26,26,26,26,26
"PROYECTO CORRIENTES (57)",8,8,-,10,10
"PRO - PROPUESTA REPUBLICANA (64)",34,34,34,34,37
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",4,4,4,4,4
"NUEVO (90)",19,16,16,17,18
"POPULAR CORRENTINO (169)",79,74,75,77,74
"CRECER CON TODOS (170)",19,19,19,27,27
"UNIÓN CELESTE Y BLANCO (173)",21,21,-,22,22
"COMPROMISO CORRENTINO (175)",7,7,-,7,7
"KOLINA (192)",8,8,8,8,8
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,17,17
"Votos en Blanco",85,147,147,95,114
"Votos Nulos",41,17,17,17,17
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
