partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",0,0,0
"JUSTICIALISTA (2)",162,161,178
"UNIÓN CÍVICA RADICAL (3)",150,148,149
"MOVIMIENTO SIEMPRE CORRIENTES (4)",6,6,6
"DEMÓCRATA CRISTIANO (5)",1,1,1
"DE LA CONCERTACIÓN - FORJA (7)",1,1,1
"FEDERAL (8)",0,0,-
"DEMÓCRATA PROGRESISTA (9)",0,0,0
"RENOVADOR FEDERAL (10)",3,3,3
"LADRILLEROS UNIDOS (11)",2,2,2
"COMUNISTA (12)",2,2,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",0,0,0
"ACCIÓN POR CORRIENTES (14)",1,1,1
"UNIDOS POR CORRIENTES (15)",3,3,3
"LABORISTA AUTÓNOMO (17)",1,1,1
"ELI - ENCUENTRO LIBERAL (18)",18,18,18
"CAMBIO POPULAR (19)",2,2,2
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",3,3,-
"CONVOCATORIA POPULAR (21)",0,0,-
"FE (23)",2,2,2
"NUESTRA CAUSA (24)",4,4,4
"UNION POPULAR (25)",6,6,6
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",4,4,4
"ENCUENTRO CORRELIGIONARIO (27)",2,2,2
"CAMBIO AUSTERIDAD Y PROGRESO (28)",11,10,11
"DEL TRABAJO Y DEL PUEBLO (29)",0,0,0
"CIUDADANOS A GOBERNAR (30)",0,0,0
"CONSERVADOR POPULAR (31)",0,0,0
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",0,0,0
"NUEVO PAIS (33)",3,3,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",2,2,2
"TERCERA POSICIÓN (35)",2,2,2
"UNIÓN CORRENTINA (37)",2,2,2
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",3,3,3
"UNIÓN PARA EL DESARROLLO (42)",1,1,1
"NORTE GRANDE (43)",2,2,2
"ACCIÓN POR LA REPÚBLICA (44)",1,1,1
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",4,4,-
"VAMOS CORRIENTES (46)",0,0,0
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",0,0,0
"PARTIDO AGRARIO Y SOCIAL (49)",1,1,-
"SOCIALISTA (50)",1,0,0
"LIBERAL (51)",15,15,15
"AUTONOMISTA (52)",3,3,3
"DE LA VICTORIA (54)",39,39,39
"PROYECTO CORRIENTES (57)",1,1,-
"PRO - PROPUESTA REPUBLICANA (64)",2,2,2
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",0,0,0
"NUEVO (90)",1,1,1
"POPULAR CORRENTINO (169)",1,1,1
"CRECER CON TODOS (170)",2,2,2
"UNIÓN CELESTE Y BLANCO (173)",2,2,-
"COMPROMISO CORRENTINO (175)",0,0,-
"KOLINA (192)",4,4,4
"Votos en Blanco",6,10,7
"Votos Nulos",0,0,0
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
