partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",12,11,11
"JUSTICIALISTA (2)",175,177,226
"UNIÓN CÍVICA RADICAL (3)",190,185,177
"MOVIMIENTO SIEMPRE CORRIENTES (4)",37,32,32
"DEMÓCRATA CRISTIANO (5)",6,7,6
"DE LA CONCERTACIÓN - FORJA (7)",7,6,7
"FEDERAL (8)",1,1,-
"DEMÓCRATA PROGRESISTA (9)",14,13,13
"RENOVADOR FEDERAL (10)",31,31,29
"LADRILLEROS UNIDOS (11)",5,5,5
"COMUNISTA (12)",2,2,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",4,5,4
"ACCIÓN POR CORRIENTES (14)",4,4,4
"UNIDOS POR CORRIENTES (15)",5,5,11
"LABORISTA AUTÓNOMO (17)",8,8,8
"ELI - ENCUENTRO LIBERAL (18)",53,52,53
"CAMBIO POPULAR (19)",5,5,5
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",5,4,-
"CONVOCATORIA POPULAR (21)",6,6,-
"FE (23)",0,0,0
"NUESTRA CAUSA (24)",1,1,0
"UNION POPULAR (25)",25,25,25
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",2,2,2
"ENCUENTRO CORRELIGIONARIO (27)",13,13,13
"CAMBIO AUSTERIDAD Y PROGRESO (28)",25,23,23
"DEL TRABAJO Y DEL PUEBLO (29)",0,0,0
"CIUDADANOS A GOBERNAR (30)",10,10,9
"CONSERVADOR POPULAR (31)",5,5,5
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",25,25,25
"NUEVO PAIS (33)",8,8,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",10,8,5
"TERCERA POSICIÓN (35)",1,1,1
"UNIÓN CORRENTINA (37)",37,37,37
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",14,14,14
"UNIÓN PARA EL DESARROLLO (42)",9,8,8
"NORTE GRANDE (43)",11,10,10
"ACCIÓN POR LA REPÚBLICA (44)",9,9,9
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",6,6,-
"VAMOS CORRIENTES (46)",199,189,191
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",17,17,17
"PARTIDO AGRARIO Y SOCIAL (49)",16,15,-
"SOCIALISTA (50)",4,4,4
"LIBERAL (51)",63,62,62
"AUTONOMISTA (52)",19,19,20
"DE LA VICTORIA (54)",10,10,10
"PROYECTO CORRIENTES (57)",4,4,-
"PRO - PROPUESTA REPUBLICANA (64)",72,69,69
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",3,3,3
"NUEVO (90)",25,25,25
"POPULAR CORRENTINO (169)",68,64,64
"CRECER CON TODOS (170)",10,8,8
"UNIÓN CELESTE Y BLANCO (173)",2,2,-
"COMPROMISO CORRENTINO (175)",3,3,-
"KOLINA (192)",21,21,21
"Votos en Blanco",19,57,65
"Votos Nulos",25,25,25
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
