partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",35,35,35,34,41
"JUSTICIALISTA (2)",226,225,376,234,224
"UNIÓN CÍVICA RADICAL (3)",444,433,435,439,417
"MOVIMIENTO SIEMPRE CORRIENTES (4)",36,34,34,38,33
"DEMÓCRATA CRISTIANO (5)",2,2,2,-,-
"DE LA CONCERTACIÓN - FORJA (7)",49,49,47,45,44
"FEDERAL (8)",34,35,-,35,35
"DEMÓCRATA PROGRESISTA (9)",20,18,18,19,19
"RENOVADOR FEDERAL (10)",56,56,56,56,56
"LADRILLEROS UNIDOS (11)",36,36,36,35,35
"COMUNISTA (12)",14,14,-,14,14
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",16,16,16,17,18
"ACCIÓN POR CORRIENTES (14)",60,59,61,61,58
"UNIDOS POR CORRIENTES (15)",28,27,27,27,25
"LABORISTA AUTÓNOMO (17)",14,14,14,16,14
"ELI - ENCUENTRO LIBERAL (18)",86,86,85,88,64
"CAMBIO POPULAR (19)",20,20,20,21,21
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",13,13,-,13,13
"CONVOCATORIA POPULAR (21)",20,21,-,22,21
"FE (23)",11,11,11,11,12
"NUESTRA CAUSA (24)",19,19,19,19,19
"UNION POPULAR (25)",89,86,84,87,86
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",25,26,26,-,31
"ENCUENTRO CORRELIGIONARIO (27)",26,25,24,24,24
"CAMBIO AUSTERIDAD Y PROGRESO (28)",43,42,42,43,57
"DEL TRABAJO Y DEL PUEBLO (29)",27,27,27,28,27
"CIUDADANOS A GOBERNAR (30)",27,27,27,28,29
"CONSERVADOR POPULAR (31)",24,23,23,26,24
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",6,6,6,6,6
"NUEVO PAIS (33)",9,9,-,32,9
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",24,24,24,23,42
"TERCERA POSICIÓN (35)",11,11,11,12,12
"UNIÓN CORRENTINA (37)",4,4,4,6,5
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",64,58,58,65,69
"UNIÓN PARA EL DESARROLLO (42)",15,15,15,16,16
"NORTE GRANDE (43)",5,5,5,12,12
"ACCIÓN POR LA REPÚBLICA (44)",25,24,24,26,24
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,-,-
"VAMOS CORRIENTES (46)",31,30,30,31,30
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",14,13,13,13,13
"PARTIDO AGRARIO Y SOCIAL (49)",16,16,-,-,17
"SOCIALISTA (50)",17,16,15,16,17
"LIBERAL (51)",71,71,72,72,73
"AUTONOMISTA (52)",34,34,33,34,33
"DE LA VICTORIA (54)",12,14,14,14,12
"PROYECTO CORRIENTES (57)",19,19,-,20,19
"PRO - PROPUESTA REPUBLICANA (64)",129,126,126,129,125
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",10,10,10,11,11
"NUEVO (90)",22,23,22,22,22
"POPULAR CORRENTINO (169)",30,25,25,29,27
"CRECER CON TODOS (170)",62,62,62,62,60
"UNIÓN CELESTE Y BLANCO (173)",39,39,-,40,40
"COMPROMISO CORRENTINO (175)",8,7,-,7,7
"KOLINA (192)",31,32,28,31,31
"Votos en Blanco",77,121,151,84,99
"Votos Nulos",57,49,49,49,50
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
