partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",2,1,1,1,1
"JUSTICIALISTA (2)",277,291,332,294,337
"UNIÓN CÍVICA RADICAL (3)",215,208,208,208,208
"MOVIMIENTO SIEMPRE CORRIENTES (4)",2,2,2,2,2
"DEMÓCRATA CRISTIANO (5)",1,1,1,4,4
"DE LA CONCERTACIÓN - FORJA (7)",1,1,1,1,1
"FEDERAL (8)",21,21,-,23,-
"DEMÓCRATA PROGRESISTA (9)",5,5,5,5,5
"RENOVADOR FEDERAL (10)",40,40,40,40,-
"LADRILLEROS UNIDOS (11)",8,8,8,8,8
"COMUNISTA (12)",2,2,-,10,10
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",2,2,2,2,2
"ACCIÓN POR CORRIENTES (14)",6,2,2,3,2
"UNIDOS POR CORRIENTES (15)",1,1,1,1,1
"LABORISTA AUTÓNOMO (17)",5,5,5,5,5
"ELI - ENCUENTRO LIBERAL (18)",6,6,6,6,6
"CAMBIO POPULAR (19)",6,6,6,-,-
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",2,2,-,2,-
"CONVOCATORIA POPULAR (21)",5,5,-,5,5
"FE (23)",4,4,3,4,3
"NUESTRA CAUSA (24)",8,8,8,8,-
"UNION POPULAR (25)",4,4,4,5,5
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",21,22,22,-,24
"ENCUENTRO CORRELIGIONARIO (27)",5,4,4,4,4
"CAMBIO AUSTERIDAD Y PROGRESO (28)",0,0,0,0,0
"DEL TRABAJO Y DEL PUEBLO (29)",1,1,1,1,1
"CIUDADANOS A GOBERNAR (30)",6,6,6,6,6
"CONSERVADOR POPULAR (31)",2,2,2,2,2
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",7,4,3,4,3
"NUEVO PAIS (33)",10,12,-,29,35
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",15,15,15,15,15
"TERCERA POSICIÓN (35)",6,6,6,7,6
"UNIÓN CORRENTINA (37)",1,1,1,1,1
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",4,2,2,2,2
"UNIÓN PARA EL DESARROLLO (42)",1,1,1,1,1
"NORTE GRANDE (43)",3,3,3,3,3
"ACCIÓN POR LA REPÚBLICA (44)",2,2,2,2,2
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,0,-
"VAMOS CORRIENTES (46)",33,31,31,29,29
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",2,2,2,2,2
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-,-,-
"SOCIALISTA (50)",10,10,10,10,10
"LIBERAL (51)",5,4,4,4,4
"AUTONOMISTA (52)",19,18,17,17,17
"DE LA VICTORIA (54)",9,9,9,10,-
"PROYECTO CORRIENTES (57)",3,3,-,4,4
"PRO - PROPUESTA REPUBLICANA (64)",5,5,5,5,5
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",2,5,5,5,-
"NUEVO (90)",1,1,1,1,1
"POPULAR CORRENTINO (169)",18,18,18,18,18
"CRECER CON TODOS (170)",48,48,47,46,44
"UNIÓN CELESTE Y BLANCO (173)",0,0,-,0,-
"COMPROMISO CORRENTINO (175)",0,0,-,0,-
"KOLINA (192)",13,13,13,14,14
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,29,27
"Votos en Blanco",72,74,82,39,62
"Votos Nulos",3,3,3,3,3
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
