partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",85,79,79
"JUSTICIALISTA (2)",249,252,398
"UNIÓN CÍVICA RADICAL (3)",546,536,534
"MOVIMIENTO SIEMPRE CORRIENTES (4)",21,20,19
"DEMÓCRATA CRISTIANO (5)",39,39,39
"DE LA CONCERTACIÓN - FORJA (7)",42,40,39
"FEDERAL (8)",26,28,-
"DEMÓCRATA PROGRESISTA (9)",22,21,21
"RENOVADOR FEDERAL (10)",43,43,43
"LADRILLEROS UNIDOS (11)",13,13,13
"COMUNISTA (12)",16,16,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",27,26,26
"ACCIÓN POR CORRIENTES (14)",22,23,23
"UNIDOS POR CORRIENTES (15)",25,24,24
"LABORISTA AUTÓNOMO (17)",30,25,25
"ELI - ENCUENTRO LIBERAL (18)",74,73,71
"CAMBIO POPULAR (19)",20,19,19
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",15,15,-
"CONVOCATORIA POPULAR (21)",31,30,-
"FE (23)",6,6,6
"NUESTRA CAUSA (24)",10,11,11
"UNION POPULAR (25)",33,32,32
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",23,21,22
"ENCUENTRO CORRELIGIONARIO (27)",28,26,26
"CAMBIO AUSTERIDAD Y PROGRESO (28)",89,87,87
"DEL TRABAJO Y DEL PUEBLO (29)",13,13,13
"CIUDADANOS A GOBERNAR (30)",60,54,55
"CONSERVADOR POPULAR (31)",12,12,12
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",60,56,56
"NUEVO PAIS (33)",19,17,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",22,22,22
"TERCERA POSICIÓN (35)",15,15,15
"UNIÓN CORRENTINA (37)",27,26,26
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",20,19,19
"UNIÓN PARA EL DESARROLLO (42)",21,20,20
"NORTE GRANDE (43)",23,22,22
"ACCIÓN POR LA REPÚBLICA (44)",35,31,31
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",9,9,-
"VAMOS CORRIENTES (46)",83,81,82
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",12,10,10
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-
"SOCIALISTA (50)",15,15,15
"LIBERAL (51)",29,27,27
"AUTONOMISTA (52)",44,42,44
"DE LA VICTORIA (54)",39,38,36
"PROYECTO CORRIENTES (57)",15,15,-
"PRO - PROPUESTA REPUBLICANA (64)",76,74,74
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",22,22,23
"NUEVO (90)",32,32,32
"POPULAR CORRENTINO (169)",45,45,45
"CRECER CON TODOS (170)",24,21,21
"UNIÓN CELESTE Y BLANCO (173)",6,6,-
"COMPROMISO CORRENTINO (175)",10,10,-
"KOLINA (192)",10,10,10
"Votos en Blanco",39,109,115
"Votos Nulos",37,30,27
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
