partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",67,67,68,69,67
"JUSTICIALISTA (2)",60,53,86,27,37
"UNIÓN CÍVICA RADICAL (3)",594,582,582,636,609
"MOVIMIENTO SIEMPRE CORRIENTES (4)",36,35,35,36,35
"DEMÓCRATA CRISTIANO (5)",5,5,5,6,6
"DE LA CONCERTACIÓN - FORJA (7)",126,126,126,133,131
"FEDERAL (8)",7,8,-,7,10
"DEMÓCRATA PROGRESISTA (9)",15,15,15,15,13
"RENOVADOR FEDERAL (10)",11,11,11,8,9
"LADRILLEROS UNIDOS (11)",56,55,55,56,54
"COMUNISTA (12)",2,2,-,0,0
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",2,2,2,2,2
"ACCIÓN POR CORRIENTES (14)",76,76,75,89,87
"UNIDOS POR CORRIENTES (15)",121,118,122,125,122
"LABORISTA AUTÓNOMO (17)",32,31,31,34,34
"ELI - ENCUENTRO LIBERAL (18)",306,300,297,334,327
"CAMBIO POPULAR (19)",0,1,1,-,-
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",4,4,-,5,6
"CONVOCATORIA POPULAR (21)",3,3,-,3,6
"FE (23)",2,2,2,1,1
"NUESTRA CAUSA (24)",2,3,2,1,1
"UNION POPULAR (25)",62,62,62,61,58
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",4,4,4,4,5
"ENCUENTRO CORRELIGIONARIO (27)",23,22,22,22,21
"CAMBIO AUSTERIDAD Y PROGRESO (28)",61,62,62,65,64
"DEL TRABAJO Y DEL PUEBLO (29)",1,0,0,0,0
"CIUDADANOS A GOBERNAR (30)",17,16,16,17,17
"CONSERVADOR POPULAR (31)",48,48,46,48,46
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",12,12,12,13,10
"NUEVO PAIS (33)",2,2,-,8,3
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",46,46,46,51,50
"TERCERA POSICIÓN (35)",1,0,0,1,1
"UNIÓN CORRENTINA (37)",96,94,95,102,104
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",31,30,30,-,-
"UNIÓN PARA EL DESARROLLO (42)",18,20,17,18,16
"NORTE GRANDE (43)",54,51,55,62,62
"ACCIÓN POR LA REPÚBLICA (44)",36,36,36,36,37
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",7,7,-,8,9
"VAMOS CORRIENTES (46)",13,18,13,13,13
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",25,20,24,27,27
"PARTIDO AGRARIO Y SOCIAL (49)",8,7,-,-,16
"SOCIALISTA (50)",5,8,5,5,5
"LIBERAL (51)",88,85,88,82,78
"AUTONOMISTA (52)",33,28,32,32,31
"DE LA VICTORIA (54)",1,1,1,1,2
"PROYECTO CORRIENTES (57)",1,1,-,-,1
"PRO - PROPUESTA REPUBLICANA (64)",12,10,12,11,9
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",2,2,2,2,2
"NUEVO (90)",181,174,175,175,169
"POPULAR CORRENTINO (169)",39,39,40,33,30
"CRECER CON TODOS (170)",23,24,23,16,12
"UNIÓN CELESTE Y BLANCO (173)",3,3,-,4,6
"COMPROMISO CORRENTINO (175)",2,2,-,3,5
"KOLINA (192)",5,4,4,4,4
"Votos en Blanco",77,127,127,55,93
"Votos Nulos",11,10,10,9,11
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
