partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",35,33,33,38,34
"JUSTICIALISTA (2)",132,132,144,-,-
"UNIÓN CÍVICA RADICAL (3)",135,135,135,203,192
"MOVIMIENTO SIEMPRE CORRIENTES (4)",41,39,39,49,39
"DEMÓCRATA CRISTIANO (5)",22,21,20,-,-
"DE LA CONCERTACIÓN - FORJA (7)",20,21,21,23,23
"FEDERAL (8)",0,0,-,-,-
"DEMÓCRATA PROGRESISTA (9)",12,10,9,11,12
"RENOVADOR FEDERAL (10)",3,3,3,-,-
"LADRILLEROS UNIDOS (11)",12,11,11,11,12
"COMUNISTA (12)",2,2,-,-,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",5,5,5,-,-
"ACCIÓN POR CORRIENTES (14)",27,27,28,42,42
"UNIDOS POR CORRIENTES (15)",18,17,17,27,23
"LABORISTA AUTÓNOMO (17)",26,26,26,28,27
"ELI - ENCUENTRO LIBERAL (18)",207,210,209,243,240
"CAMBIO POPULAR (19)",1,1,1,-,-
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",2,2,-,-,-
"CONVOCATORIA POPULAR (21)",2,1,-,-,-
"FE (23)",0,0,0,-,-
"NUESTRA CAUSA (24)",3,3,3,-,-
"UNION POPULAR (25)",36,33,34,44,40
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",4,4,4,-,-
"ENCUENTRO CORRELIGIONARIO (27)",47,46,46,52,48
"CAMBIO AUSTERIDAD Y PROGRESO (28)",66,65,65,67,68
"DEL TRABAJO Y DEL PUEBLO (29)",54,54,53,-,61
"CIUDADANOS A GOBERNAR (30)",8,7,7,7,8
"CONSERVADOR POPULAR (31)",7,7,7,8,7
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",5,5,5,5,7
"NUEVO PAIS (33)",1,1,-,-,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",11,12,12,12,11
"TERCERA POSICIÓN (35)",1,1,1,-,-
"UNIÓN CORRENTINA (37)",25,24,24,24,23
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",6,6,6,-,-
"UNIÓN PARA EL DESARROLLO (42)",14,14,14,24,18
"NORTE GRANDE (43)",270,268,271,296,284
"ACCIÓN POR LA REPÚBLICA (44)",2,2,2,18,18
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,-,-
"VAMOS CORRIENTES (46)",139,135,135,153,143
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",4,4,4,5,5
"PARTIDO AGRARIO Y SOCIAL (49)",7,8,-,-,-
"SOCIALISTA (50)",19,19,18,24,24
"LIBERAL (51)",97,95,97,102,115
"AUTONOMISTA (52)",279,278,279,299,294
"DE LA VICTORIA (54)",1,1,1,-,-
"PROYECTO CORRIENTES (57)",0,0,-,-,-
"PRO - PROPUESTA REPUBLICANA (64)",126,126,123,130,120
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",1,1,1,-,-
"NUEVO (90)",155,154,159,179,160
"POPULAR CORRENTINO (169)",26,27,27,15,16
"CRECER CON TODOS (170)",19,19,20,23,21
"UNIÓN CELESTE Y BLANCO (173)",5,5,-,-,-
"COMPROMISO CORRENTINO (175)",2,2,-,-,-
"KOLINA (192)",3,3,3,-,-
"Votos en Blanco",68,94,97,58,84
"Votos Nulos",22,16,16,16,16
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
