partido,gobernador,senadores,diputados,intendente,concejales,convencionales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",0,0,0,0,0,0
"JUSTICIALISTA (2)",33,35,33,36,35,35
"UNIÓN CÍVICA RADICAL (3)",28,28,28,30,30,29
"MOVIMIENTO SIEMPRE CORRIENTES (4)",0,0,0,0,0,0
"DEMÓCRATA CRISTIANO (5)",1,1,1,1,1,1
"DE LA CONCERTACIÓN - FORJA (7)",0,0,0,0,0,0
"FEDERAL (8)",0,0,-,0,0,0
"DEMÓCRATA PROGRESISTA (9)",0,0,0,0,0,0
"RENOVADOR FEDERAL (10)",1,1,1,1,1,1
"LADRILLEROS UNIDOS (11)",0,0,0,0,0,0
"COMUNISTA (12)",0,0,-,0,0,0
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",0,0,0,8,8,8
"ACCIÓN POR CORRIENTES (14)",0,0,0,0,0,0
"UNIDOS POR CORRIENTES (15)",0,0,0,-,-,-
"LABORISTA AUTÓNOMO (17)",0,0,0,0,0,0
"ELI - ENCUENTRO LIBERAL (18)",1,1,1,2,2,2
"CAMBIO POPULAR (19)",0,0,0,5,5,5
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-,0,0,0
"CONVOCATORIA POPULAR (21)",1,1,-,10,10,10
"FE (23)",0,0,0,-,0,0
"NUESTRA CAUSA (24)",1,1,1,1,1,1
"UNION POPULAR (25)",1,1,1,2,2,2
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",0,0,0,-,0,0
"ENCUENTRO CORRELIGIONARIO (27)",1,1,1,1,1,1
"CAMBIO AUSTERIDAD Y PROGRESO (28)",8,8,8,-,-,-
"DEL TRABAJO Y DEL PUEBLO (29)",0,0,0,0,0,0
"CIUDADANOS A GOBERNAR (30)",0,0,0,0,0,0
"CONSERVADOR POPULAR (31)",0,0,0,0,0,0
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",1,1,1,1,1,1
"NUEVO PAIS (33)",0,0,-,0,0,0
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",0,0,0,0,0,0
"TERCERA POSICIÓN (35)",1,1,1,1,1,1
"UNIÓN CORRENTINA (37)",0,0,0,0,0,0
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",2,2,2,-,-,-
"UNIÓN PARA EL DESARROLLO (42)",5,5,5,5,5,5
"NORTE GRANDE (43)",0,0,0,0,0,0
"ACCIÓN POR LA REPÚBLICA (44)",3,2,2,4,2,2
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,-,-,-
"VAMOS CORRIENTES (46)",14,13,13,13,13,13
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",2,1,1,1,1,1
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-,-,-,-
"SOCIALISTA (50)",0,0,0,1,1,1
"LIBERAL (51)",0,0,0,0,0,0
"AUTONOMISTA (52)",5,5,5,5,5,5
"DE LA VICTORIA (54)",0,0,0,0,0,0
"PROYECTO CORRIENTES (57)",0,0,-,0,0,0
"PRO - PROPUESTA REPUBLICANA (64)",0,0,0,0,0,0
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",0,0,0,0,0,0
"NUEVO (90)",82,80,80,80,79,79
"POPULAR CORRENTINO (169)",13,13,13,0,0,0
"CRECER CON TODOS (170)",1,1,1,0,0,0
"UNIÓN CELESTE Y BLANCO (173)",0,0,-,0,0,0
"COMPROMISO CORRENTINO (175)",0,0,-,0,0,0
"KOLINA (192)",3,2,2,2,2,2
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,0,0,0
"Votos en Blanco",2,6,10,1,5,6
"Votos Nulos",2,2,1,1,1,1
"Votos Recurridos",0,0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-,-
