partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",47,46,46,45,43
"JUSTICIALISTA (2)",0,0,522,-,0
"UNIÓN CÍVICA RADICAL (3)",466,444,444,427,432
"MOVIMIENTO SIEMPRE CORRIENTES (4)",29,27,27,26,26
"DEMÓCRATA CRISTIANO (5)",0,0,0,-,0
"DE LA CONCERTACIÓN - FORJA (7)",61,58,56,55,52
"FEDERAL (8)",81,81,-,100,98
"DEMÓCRATA PROGRESISTA (9)",18,16,15,9,9
"RENOVADOR FEDERAL (10)",41,44,44,-,40
"LADRILLEROS UNIDOS (11)",25,21,20,19,20
"COMUNISTA (12)",1,1,-,-,1
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",0,0,0,-,0
"ACCIÓN POR CORRIENTES (14)",48,44,42,43,44
"UNIDOS POR CORRIENTES (15)",61,55,54,53,53
"LABORISTA AUTÓNOMO (17)",4,4,4,4,4
"ELI - ENCUENTRO LIBERAL (18)",77,74,74,69,70
"CAMBIO POPULAR (19)",36,38,38,47,42
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",30,30,-,37,33
"CONVOCATORIA POPULAR (21)",0,0,-,-,0
"FE (23)",8,8,8,-,-
"NUESTRA CAUSA (24)",151,148,149,-,152
"UNION POPULAR (25)",14,14,14,14,14
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",12,13,14,198,14
"ENCUENTRO CORRELIGIONARIO (27)",20,19,19,18,18
"CAMBIO AUSTERIDAD Y PROGRESO (28)",5,5,5,5,5
"DEL TRABAJO Y DEL PUEBLO (29)",0,0,0,-,0
"CIUDADANOS A GOBERNAR (30)",21,19,18,18,18
"CONSERVADOR POPULAR (31)",12,11,11,11,10
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",16,16,14,13,15
"NUEVO PAIS (33)",227,227,-,277,264
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",11,8,8,10,9
"TERCERA POSICIÓN (35)",0,0,0,-,0
"UNIÓN CORRENTINA (37)",14,13,13,13,12
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",31,30,30,29,29
"UNIÓN PARA EL DESARROLLO (42)",19,16,16,16,16
"NORTE GRANDE (43)",0,0,0,-,-
"ACCIÓN POR LA REPÚBLICA (44)",59,57,56,55,60
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",2,2,-,2,2
"VAMOS CORRIENTES (46)",20,20,20,20,20
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",8,8,8,8,8
"PARTIDO AGRARIO Y SOCIAL (49)",17,16,-,20,20
"SOCIALISTA (50)",60,60,60,64,68
"LIBERAL (51)",81,76,78,77,74
"AUTONOMISTA (52)",84,81,81,82,82
"DE LA VICTORIA (54)",0,0,0,-,0
"PROYECTO CORRIENTES (57)",45,46,-,54,51
"PRO - PROPUESTA REPUBLICANA (64)",64,61,61,58,64
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",3,1,0,-,0
"NUEVO (90)",14,14,14,13,13
"POPULAR CORRENTINO (169)",28,27,27,28,27
"CRECER CON TODOS (170)",12,12,9,13,13
"UNIÓN CELESTE Y BLANCO (173)",26,26,-,40,39
"COMPROMISO CORRENTINO (175)",14,14,-,-,-
"KOLINA (192)",0,0,3,-,0
"Votos en Blanco",114,190,131,151,157
"Votos Nulos",33,29,29,29,29
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
