partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",6,6,6,6,7
"JUSTICIALISTA (2)",46,44,48,34,43
"UNIÓN CÍVICA RADICAL (3)",186,186,185,253,245
"MOVIMIENTO SIEMPRE CORRIENTES (4)",7,7,7,9,9
"DEMÓCRATA CRISTIANO (5)",6,6,6,5,7
"DE LA CONCERTACIÓN - FORJA (7)",0,0,0,0,0
"FEDERAL (8)",2,2,-,0,0
"DEMÓCRATA PROGRESISTA (9)",16,16,16,16,17
"RENOVADOR FEDERAL (10)",3,3,3,3,3
"LADRILLEROS UNIDOS (11)",14,14,15,13,13
"COMUNISTA (12)",0,0,-,0,0
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",1,0,0,0,0
"ACCIÓN POR CORRIENTES (14)",11,11,11,11,11
"UNIDOS POR CORRIENTES (15)",41,41,41,40,39
"LABORISTA AUTÓNOMO (17)",4,4,4,6,6
"ELI - ENCUENTRO LIBERAL (18)",44,44,44,46,48
"CAMBIO POPULAR (19)",2,2,2,2,2
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-,-,-
"CONVOCATORIA POPULAR (21)",0,0,-,0,0
"FE (23)",0,0,0,0,0
"NUESTRA CAUSA (24)",0,0,0,1,1
"UNION POPULAR (25)",11,11,11,11,11
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",0,0,0,0,0
"ENCUENTRO CORRELIGIONARIO (27)",2,2,2,2,2
"CAMBIO AUSTERIDAD Y PROGRESO (28)",11,10,10,9,11
"DEL TRABAJO Y DEL PUEBLO (29)",1,1,1,0,0
"CIUDADANOS A GOBERNAR (30)",10,10,10,12,11
"CONSERVADOR POPULAR (31)",11,11,11,11,11
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",2,2,2,2,2
"NUEVO PAIS (33)",2,2,-,0,1
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",3,3,3,3,3
"TERCERA POSICIÓN (35)",1,1,1,1,1
"UNIÓN CORRENTINA (37)",13,13,13,13,13
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",9,9,9,-,-
"UNIÓN PARA EL DESARROLLO (42)",8,9,9,-,-
"NORTE GRANDE (43)",313,315,316,329,324
"ACCIÓN POR LA REPÚBLICA (44)",14,14,15,18,18
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,-,-
"VAMOS CORRIENTES (46)",50,50,50,-,-
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",13,14,14,12,11
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-,-,-
"SOCIALISTA (50)",5,5,5,6,6
"LIBERAL (51)",16,16,16,14,14
"AUTONOMISTA (52)",105,105,105,108,107
"DE LA VICTORIA (54)",3,3,2,2,2
"PROYECTO CORRIENTES (57)",2,1,-,1,1
"PRO - PROPUESTA REPUBLICANA (64)",10,10,10,12,9
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",2,2,2,0,0
"NUEVO (90)",44,44,44,42,41
"POPULAR CORRENTINO (169)",53,50,50,61,59
"CRECER CON TODOS (170)",5,5,5,5,6
"UNIÓN CELESTE Y BLANCO (173)",0,0,-,0,0
"COMPROMISO CORRENTINO (175)",1,1,-,1,1
"KOLINA (192)",2,2,2,2,2
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,0,0
"Votos en Blanco",35,41,42,26,30
"Votos Nulos",7,5,5,5,5
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
