partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",5,5,5
"JUSTICIALISTA (2)",121,121,156
"UNIÓN CÍVICA RADICAL (3)",81,78,78
"MOVIMIENTO SIEMPRE CORRIENTES (4)",11,11,11
"DEMÓCRATA CRISTIANO (5)",0,0,0
"DE LA CONCERTACIÓN - FORJA (7)",5,5,5
"FEDERAL (8)",4,4,-
"DEMÓCRATA PROGRESISTA (9)",5,5,5
"RENOVADOR FEDERAL (10)",2,2,2
"LADRILLEROS UNIDOS (11)",1,1,1
"COMUNISTA (12)",1,1,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",1,1,1
"ACCIÓN POR CORRIENTES (14)",3,3,3
"UNIDOS POR CORRIENTES (15)",6,6,6
"LABORISTA AUTÓNOMO (17)",0,0,0
"ELI - ENCUENTRO LIBERAL (18)",10,9,9
"CAMBIO POPULAR (19)",3,3,3
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",3,3,-
"CONVOCATORIA POPULAR (21)",20,20,-
"FE (23)",0,0,0
"NUESTRA CAUSA (24)",0,0,0
"UNION POPULAR (25)",3,3,3
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",0,0,0
"ENCUENTRO CORRELIGIONARIO (27)",3,3,3
"CAMBIO AUSTERIDAD Y PROGRESO (28)",7,7,7
"DEL TRABAJO Y DEL PUEBLO (29)",1,1,1
"CIUDADANOS A GOBERNAR (30)",4,4,4
"CONSERVADOR POPULAR (31)",1,1,1
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",0,0,0
"NUEVO PAIS (33)",2,2,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",3,3,3
"TERCERA POSICIÓN (35)",0,0,0
"UNIÓN CORRENTINA (37)",4,4,4
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",0,0,0
"UNIÓN PARA EL DESARROLLO (42)",3,3,3
"NORTE GRANDE (43)",24,24,24
"ACCIÓN POR LA REPÚBLICA (44)",9,9,9
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-
"VAMOS CORRIENTES (46)",8,8,8
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",39,39,39
"PARTIDO AGRARIO Y SOCIAL (49)",2,2,-
"SOCIALISTA (50)",0,0,0
"LIBERAL (51)",80,80,79
"AUTONOMISTA (52)",12,12,13
"DE LA VICTORIA (54)",0,0,0
"PROYECTO CORRIENTES (57)",1,1,-
"PRO - PROPUESTA REPUBLICANA (64)",2,1,1
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",1,1,1
"NUEVO (90)",7,8,8
"POPULAR CORRENTINO (169)",0,0,0
"CRECER CON TODOS (170)",8,8,8
"UNIÓN CELESTE Y BLANCO (173)",1,1,-
"COMPROMISO CORRENTINO (175)",2,2,-
"KOLINA (192)",0,0,0
"Votos en Blanco",3,8,9
"Votos Nulos",2,1,1
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
