partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",3,3,5,4,4
"JUSTICIALISTA (2)",24,24,38,22,22
"UNIÓN CÍVICA RADICAL (3)",52,53,54,49,47
"MOVIMIENTO SIEMPRE CORRIENTES (4)",6,6,6,8,7
"DEMÓCRATA CRISTIANO (5)",0,0,0,0,0
"DE LA CONCERTACIÓN - FORJA (7)",6,5,5,4,5
"FEDERAL (8)",4,4,-,4,4
"DEMÓCRATA PROGRESISTA (9)",3,2,2,2,2
"RENOVADOR FEDERAL (10)",1,1,1,1,1
"LADRILLEROS UNIDOS (11)",4,3,3,4,4
"COMUNISTA (12)",1,1,-,1,0
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",0,0,0,0,0
"ACCIÓN POR CORRIENTES (14)",12,13,13,14,13
"UNIDOS POR CORRIENTES (15)",4,4,4,4,4
"LABORISTA AUTÓNOMO (17)",6,6,6,7,7
"ELI - ENCUENTRO LIBERAL (18)",129,129,130,138,135
"CAMBIO POPULAR (19)",0,0,0,0,0
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-,0,0
"CONVOCATORIA POPULAR (21)",0,0,-,0,0
"FE (23)",1,1,1,1,1
"NUESTRA CAUSA (24)",0,0,0,0,0
"UNION POPULAR (25)",10,10,10,10,10
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",0,0,0,0,0
"ENCUENTRO CORRELIGIONARIO (27)",5,5,6,6,5
"CAMBIO AUSTERIDAD Y PROGRESO (28)",101,101,101,110,114
"DEL TRABAJO Y DEL PUEBLO (29)",3,2,2,0,0
"CIUDADANOS A GOBERNAR (30)",2,2,2,2,2
"CONSERVADOR POPULAR (31)",1,1,1,1,1
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",2,2,2,2,2
"NUEVO PAIS (33)",0,0,-,0,0
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",17,16,15,16,16
"TERCERA POSICIÓN (35)",0,0,0,0,0
"UNIÓN CORRENTINA (37)",8,6,6,10,8
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",28,27,27,32,32
"UNIÓN PARA EL DESARROLLO (42)",0,0,0,0,0
"NORTE GRANDE (43)",1,1,1,1,1
"ACCIÓN POR LA REPÚBLICA (44)",2,2,2,2,2
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,0,0
"VAMOS CORRIENTES (46)",5,5,5,5,5
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",10,10,10,8,8
"PARTIDO AGRARIO Y SOCIAL (49)",9,8,-,-,-
"SOCIALISTA (50)",6,6,6,6,6
"LIBERAL (51)",348,347,347,357,351
"AUTONOMISTA (52)",24,23,23,25,25
"DE LA VICTORIA (54)",2,1,1,1,1
"PROYECTO CORRIENTES (57)",1,1,-,1,1
"PRO - PROPUESTA REPUBLICANA (64)",5,5,5,4,4
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",3,3,3,1,1
"NUEVO (90)",9,10,9,9,9
"POPULAR CORRENTINO (169)",9,9,8,7,7
"CRECER CON TODOS (170)",21,21,21,24,24
"UNIÓN CELESTE Y BLANCO (173)",1,1,-,1,1
"COMPROMISO CORRENTINO (175)",3,3,-,3,3
"KOLINA (192)",3,3,3,3,3
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,0,0
"Votos en Blanco",37,55,57,31,43
"Votos Nulos",11,1,1,1,1
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
