partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",45,44,42,39,38
"JUSTICIALISTA (2)",108,116,327,134,129
"UNIÓN CÍVICA RADICAL (3)",547,525,512,469,469
"MOVIMIENTO SIEMPRE CORRIENTES (4)",68,63,61,55,56
"DEMÓCRATA CRISTIANO (5)",22,23,23,29,29
"DE LA CONCERTACIÓN - FORJA (7)",24,23,23,22,22
"FEDERAL (8)",19,19,-,25,24
"DEMÓCRATA PROGRESISTA (9)",27,25,23,22,22
"RENOVADOR FEDERAL (10)",52,51,49,55,51
"LADRILLEROS UNIDOS (11)",43,41,41,39,40
"COMUNISTA (12)",13,13,-,17,27
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",13,13,14,5,5
"ACCIÓN POR CORRIENTES (14)",14,14,13,11,11
"UNIDOS POR CORRIENTES (15)",24,24,24,23,23
"LABORISTA AUTÓNOMO (17)",20,19,19,16,17
"ELI - ENCUENTRO LIBERAL (18)",106,103,103,97,98
"CAMBIO POPULAR (19)",10,11,11,13,12
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",7,7,-,11,9
"CONVOCATORIA POPULAR (21)",12,13,-,16,-
"FE (23)",18,17,18,17,-
"NUESTRA CAUSA (24)",7,7,7,7,7
"UNION POPULAR (25)",23,22,21,20,22
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",26,32,38,39,37
"ENCUENTRO CORRELIGIONARIO (27)",19,19,18,16,16
"CAMBIO AUSTERIDAD Y PROGRESO (28)",4,4,4,4,4
"DEL TRABAJO Y DEL PUEBLO (29)",23,23,23,26,25
"CIUDADANOS A GOBERNAR (30)",29,28,29,27,28
"CONSERVADOR POPULAR (31)",15,14,13,11,11
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",53,50,50,48,48
"NUEVO PAIS (33)",62,65,-,87,75
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",21,18,17,17,17
"TERCERA POSICIÓN (35)",13,13,12,13,-
"UNIÓN CORRENTINA (37)",13,13,13,13,13
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",26,26,27,23,23
"UNIÓN PARA EL DESARROLLO (42)",9,8,8,8,8
"NORTE GRANDE (43)",17,17,17,16,17
"ACCIÓN POR LA REPÚBLICA (44)",34,34,33,30,31
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",7,7,-,8,8
"VAMOS CORRIENTES (46)",23,20,21,20,21
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",138,135,105,125,127
"PARTIDO AGRARIO Y SOCIAL (49)",50,49,-,61,56
"SOCIALISTA (50)",22,21,21,21,21
"LIBERAL (51)",77,77,84,71,72
"AUTONOMISTA (52)",54,53,53,50,49
"DE LA VICTORIA (54)",22,23,24,28,26
"PROYECTO CORRIENTES (57)",30,29,-,44,42
"PRO - PROPUESTA REPUBLICANA (64)",42,38,39,36,37
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",4,4,4,7,6
"NUEVO (90)",77,77,76,71,75
"POPULAR CORRENTINO (169)",126,111,110,106,107
"CRECER CON TODOS (170)",21,19,18,17,17
"UNIÓN CELESTE Y BLANCO (173)",14,15,-,17,17
"COMPROMISO CORRENTINO (175)",20,20,-,27,26
"KOLINA (192)",8,8,8,8,8
"INTEGRACIÓN CORRENTINA (36)",-,-,-,36,36
"NUEVA CORRIENTES (41)",-,-,-,13,11
"Votos en Blanco",72,128,194,105,165
"Votos Nulos",51,50,51,49,50
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
