partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",40,38,47,57,54
"JUSTICIALISTA (2)",219,214,291,229,205
"UNIÓN CÍVICA RADICAL (3)",586,554,558,618,522
"MOVIMIENTO SIEMPRE CORRIENTES (4)",26,25,25,23,21
"DEMÓCRATA CRISTIANO (5)",20,19,18,18,18
"DE LA CONCERTACIÓN - FORJA (7)",36,36,36,36,34
"FEDERAL (8)",29,30,-,31,33
"DEMÓCRATA PROGRESISTA (9)",48,48,47,-,-
"RENOVADOR FEDERAL (10)",24,25,23,26,28
"LADRILLEROS UNIDOS (11)",20,19,18,18,19
"COMUNISTA (12)",8,9,-,8,9
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",8,7,7,7,7
"ACCIÓN POR CORRIENTES (14)",55,52,51,55,51
"UNIDOS POR CORRIENTES (15)",26,24,24,27,25
"LABORISTA AUTÓNOMO (17)",9,9,9,-,-
"ELI - ENCUENTRO LIBERAL (18)",217,211,212,216,198
"CAMBIO POPULAR (19)",16,18,15,15,14
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-,0,0
"CONVOCATORIA POPULAR (21)",12,12,-,12,11
"FE (23)",2,3,2,3,2
"NUESTRA CAUSA (24)",4,5,5,5,5
"UNION POPULAR (25)",52,51,49,62,57
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",21,22,21,20,20
"ENCUENTRO CORRELIGIONARIO (27)",24,22,22,22,19
"CAMBIO AUSTERIDAD Y PROGRESO (28)",14,11,11,12,10
"DEL TRABAJO Y DEL PUEBLO (29)",8,9,8,8,8
"CIUDADANOS A GOBERNAR (30)",20,19,20,20,18
"CONSERVADOR POPULAR (31)",15,13,13,14,13
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",48,47,47,46,71
"NUEVO PAIS (33)",3,4,-,4,4
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",42,41,41,-,-
"TERCERA POSICIÓN (35)",4,4,4,4,4
"UNIÓN CORRENTINA (37)",7,7,7,7,7
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",6,6,6,6,6
"UNIÓN PARA EL DESARROLLO (42)",8,8,8,8,8
"NORTE GRANDE (43)",13,13,13,13,13
"ACCIÓN POR LA REPÚBLICA (44)",19,19,19,20,15
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",5,1,-,1,1
"VAMOS CORRIENTES (46)",14,14,14,14,15
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",28,27,27,28,23
"PARTIDO AGRARIO Y SOCIAL (49)",4,4,-,4,4
"SOCIALISTA (50)",13,12,12,12,12
"LIBERAL (51)",115,112,113,111,107
"AUTONOMISTA (52)",155,131,143,170,310
"DE LA VICTORIA (54)",9,8,8,8,8
"PROYECTO CORRIENTES (57)",7,7,-,7,3
"PRO - PROPUESTA REPUBLICANA (64)",45,43,44,45,39
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",0,0,0,0,0
"NUEVO (90)",24,24,24,25,26
"POPULAR CORRENTINO (169)",72,68,68,69,69
"CRECER CON TODOS (170)",22,22,21,29,28
"UNIÓN CELESTE Y BLANCO (173)",20,19,-,19,20
"COMPROMISO CORRENTINO (175)",7,8,-,7,7
"KOLINA (192)",8,8,8,8,8
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,4,4
"Votos en Blanco",44,139,142,73,91
"Votos Nulos",23,23,23,20,20
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
