partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",23,21,21,19,19
"JUSTICIALISTA (2)",95,96,221,105,103
"UNIÓN CÍVICA RADICAL (3)",276,263,258,189,187
"MOVIMIENTO SIEMPRE CORRIENTES (4)",16,14,14,14,13
"DEMÓCRATA CRISTIANO (5)",11,11,11,12,11
"DE LA CONCERTACIÓN - FORJA (7)",11,11,11,8,8
"FEDERAL (8)",2,2,-,2,2
"DEMÓCRATA PROGRESISTA (9)",5,5,5,7,7
"RENOVADOR FEDERAL (10)",15,17,17,24,25
"LADRILLEROS UNIDOS (11)",19,19,19,18,18
"COMUNISTA (12)",7,7,-,7,7
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",12,11,10,15,14
"ACCIÓN POR CORRIENTES (14)",22,22,22,24,22
"UNIDOS POR CORRIENTES (15)",9,9,9,9,9
"LABORISTA AUTÓNOMO (17)",9,9,9,9,9
"ELI - ENCUENTRO LIBERAL (18)",159,153,153,145,144
"CAMBIO POPULAR (19)",14,14,14,17,16
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",20,20,-,23,23
"CONVOCATORIA POPULAR (21)",7,7,-,7,6
"FE (23)",16,16,16,15,15
"NUESTRA CAUSA (24)",11,9,9,13,11
"UNION POPULAR (25)",22,21,21,19,19
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",10,11,11,-,-
"ENCUENTRO CORRELIGIONARIO (27)",13,13,13,12,12
"CAMBIO AUSTERIDAD Y PROGRESO (28)",23,23,23,24,24
"DEL TRABAJO Y DEL PUEBLO (29)",8,8,8,9,9
"CIUDADANOS A GOBERNAR (30)",13,12,12,12,11
"CONSERVADOR POPULAR (31)",5,5,5,5,5
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",10,9,10,10,10
"NUEVO PAIS (33)",25,25,-,55,55
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",4,4,4,4,4
"TERCERA POSICIÓN (35)",4,4,4,6,6
"UNIÓN CORRENTINA (37)",13,10,8,7,7
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",6,6,6,5,5
"UNIÓN PARA EL DESARROLLO (42)",9,8,8,9,9
"NORTE GRANDE (43)",14,14,14,14,14
"ACCIÓN POR LA REPÚBLICA (44)",15,14,14,13,13
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",8,8,-,-,-
"VAMOS CORRIENTES (46)",21,21,21,21,21
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",13,12,11,12,12
"PARTIDO AGRARIO Y SOCIAL (49)",2,2,-,-,-
"SOCIALISTA (50)",11,11,11,11,11
"LIBERAL (51)",507,480,480,488,465
"AUTONOMISTA (52)",32,30,30,24,24
"DE LA VICTORIA (54)",6,6,7,10,10
"PROYECTO CORRIENTES (57)",37,35,-,127,131
"PRO - PROPUESTA REPUBLICANA (64)",26,26,24,24,24
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",5,5,4,10,10
"NUEVO (90)",17,18,17,17,17
"POPULAR CORRENTINO (169)",42,38,37,8,8
"CRECER CON TODOS (170)",26,26,25,22,22
"UNIÓN CELESTE Y BLANCO (173)",16,16,-,21,20
"COMPROMISO CORRENTINO (175)",12,13,-,16,16
"KOLINA (192)",11,11,11,14,15
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,0,0
"Votos en Blanco",45,118,141,88,121
"Votos Nulos",25,16,16,16,16
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
