partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",3,2,2,2,2
"JUSTICIALISTA (2)",32,32,44,-,0
"UNIÓN CÍVICA RADICAL (3)",59,58,58,56,54
"MOVIMIENTO SIEMPRE CORRIENTES (4)",2,2,2,2,2
"DEMÓCRATA CRISTIANO (5)",1,1,1,-,1
"DE LA CONCERTACIÓN - FORJA (7)",4,4,4,4,4
"FEDERAL (8)",0,0,-,-,0
"DEMÓCRATA PROGRESISTA (9)",15,15,15,15,16
"RENOVADOR FEDERAL (10)",0,0,0,-,0
"LADRILLEROS UNIDOS (11)",6,6,6,7,7
"COMUNISTA (12)",0,0,-,-,0
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",0,0,0,-,0
"ACCIÓN POR CORRIENTES (14)",1,1,1,1,1
"UNIDOS POR CORRIENTES (15)",0,0,0,0,0
"LABORISTA AUTÓNOMO (17)",3,3,3,3,2
"ELI - ENCUENTRO LIBERAL (18)",30,30,30,38,35
"CAMBIO POPULAR (19)",0,0,0,-,0
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-,-,0
"CONVOCATORIA POPULAR (21)",0,0,-,-,0
"FE (23)",0,0,0,-,0
"NUESTRA CAUSA (24)",0,0,0,-,0
"UNION POPULAR (25)",3,3,3,3,3
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",0,0,0,-,-
"ENCUENTRO CORRELIGIONARIO (27)",1,1,1,1,1
"CAMBIO AUSTERIDAD Y PROGRESO (28)",3,3,3,2,4
"DEL TRABAJO Y DEL PUEBLO (29)",0,0,0,-,0
"CIUDADANOS A GOBERNAR (30)",2,2,2,2,1
"CONSERVADOR POPULAR (31)",2,2,2,2,1
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",0,0,0,2,1
"NUEVO PAIS (33)",1,1,-,-,0
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",2,2,2,2,2
"TERCERA POSICIÓN (35)",1,1,1,-,0
"UNIÓN CORRENTINA (37)",3,3,3,3,3
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",6,6,6,6,7
"UNIÓN PARA EL DESARROLLO (42)",2,2,2,-,-
"NORTE GRANDE (43)",0,0,0,-,-
"ACCIÓN POR LA REPÚBLICA (44)",11,11,11,11,11
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,-,-
"VAMOS CORRIENTES (46)",148,145,145,150,148
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",0,0,0,0,0
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-,-,-
"SOCIALISTA (50)",1,1,1,1,1
"LIBERAL (51)",37,37,37,40,53
"AUTONOMISTA (52)",33,33,33,34,32
"DE LA VICTORIA (54)",1,1,1,-,1
"PROYECTO CORRIENTES (57)",0,0,-,-,0
"PRO - PROPUESTA REPUBLICANA (64)",106,106,106,113,117
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",0,0,0,-,0
"NUEVO (90)",53,54,54,57,72
"POPULAR CORRENTINO (169)",35,34,34,35,30
"CRECER CON TODOS (170)",18,18,18,49,38
"UNIÓN CELESTE Y BLANCO (173)",2,1,-,-,0
"COMPROMISO CORRENTINO (175)",15,15,-,-,0
"KOLINA (192)",0,0,0,-,0
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,-,0
"Votos en Blanco",11,17,22,12,8
"Votos Nulos",0,0,0,0,0
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
