partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",4,4,4,4,4
"JUSTICIALISTA (2)",72,73,92,91,91
"UNIÓN CÍVICA RADICAL (3)",313,305,306,314,315
"MOVIMIENTO SIEMPRE CORRIENTES (4)",2,1,1,1,1
"DEMÓCRATA CRISTIANO (5)",7,7,7,7,7
"DE LA CONCERTACIÓN - FORJA (7)",7,7,7,6,6
"FEDERAL (8)",15,15,-,15,15
"DEMÓCRATA PROGRESISTA (9)",2,2,2,2,2
"RENOVADOR FEDERAL (10)",1,1,1,1,1
"LADRILLEROS UNIDOS (11)",4,4,4,4,4
"COMUNISTA (12)",0,0,-,0,0
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",14,13,10,10,10
"ACCIÓN POR CORRIENTES (14)",0,0,0,0,0
"UNIDOS POR CORRIENTES (15)",10,9,9,9,9
"LABORISTA AUTÓNOMO (17)",3,3,3,3,3
"ELI - ENCUENTRO LIBERAL (18)",28,29,29,29,29
"CAMBIO POPULAR (19)",1,1,1,1,1
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",1,1,-,0,0
"CONVOCATORIA POPULAR (21)",1,1,-,2,1
"FE (23)",2,2,1,1,1
"NUESTRA CAUSA (24)",1,1,1,1,2
"UNION POPULAR (25)",47,47,47,47,47
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",3,3,3,3,3
"ENCUENTRO CORRELIGIONARIO (27)",12,12,12,10,10
"CAMBIO AUSTERIDAD Y PROGRESO (28)",1,1,1,0,0
"DEL TRABAJO Y DEL PUEBLO (29)",0,0,0,0,0
"CIUDADANOS A GOBERNAR (30)",3,2,2,2,3
"CONSERVADOR POPULAR (31)",0,0,0,0,0
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",2,2,2,2,2
"NUEVO PAIS (33)",0,0,-,0,0
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",1,1,1,1,1
"TERCERA POSICIÓN (35)",2,2,2,2,2
"UNIÓN CORRENTINA (37)",0,0,0,0,0
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",0,0,0,0,0
"UNIÓN PARA EL DESARROLLO (42)",0,0,0,0,0
"NORTE GRANDE (43)",2,2,2,1,1
"ACCIÓN POR LA REPÚBLICA (44)",0,0,0,0,0
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,0,0
"VAMOS CORRIENTES (46)",1,1,1,1,1
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",0,0,0,0,0
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-,0,0
"SOCIALISTA (50)",5,4,4,4,4
"LIBERAL (51)",1,1,1,1,1
"AUTONOMISTA (52)",0,0,0,0,0
"DE LA VICTORIA (54)",4,4,4,4,4
"PROYECTO CORRIENTES (57)",0,0,-,0,0
"PRO - PROPUESTA REPUBLICANA (64)",9,8,8,7,7
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",0,0,0,0,0
"NUEVO (90)",20,20,28,19,19
"POPULAR CORRENTINO (169)",1,1,1,1,1
"CRECER CON TODOS (170)",14,12,12,12,12
"UNIÓN CELESTE Y BLANCO (173)",2,2,-,2,2
"COMPROMISO CORRENTINO (175)",1,1,-,1,1
"KOLINA (192)",3,3,3,5,5
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,0,0
"Votos en Blanco",24,38,34,20,18
"Votos Nulos",0,0,0,0,0
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
