partido,gobernador,senadores,diputados,intendente,concejales,convencionales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",5,3,3,4,4,4
"JUSTICIALISTA (2)",378,382,381,393,399,399
"UNIÓN CÍVICA RADICAL (3)",396,385,385,400,383,389
"MOVIMIENTO SIEMPRE CORRIENTES (4)",8,8,8,8,8,8
"DEMÓCRATA CRISTIANO (5)",3,3,3,3,3,3
"DE LA CONCERTACIÓN - FORJA (7)",3,3,3,3,3,3
"FEDERAL (8)",7,7,-,7,7,7
"DEMÓCRATA PROGRESISTA (9)",2,2,2,2,2,2
"RENOVADOR FEDERAL (10)",16,19,19,20,20,21
"LADRILLEROS UNIDOS (11)",2,2,2,2,2,2
"COMUNISTA (12)",0,0,-,0,0,0
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",30,30,30,31,33,31
"ACCIÓN POR CORRIENTES (14)",2,2,2,2,2,2
"UNIDOS POR CORRIENTES (15)",0,0,0,0,0,0
"LABORISTA AUTÓNOMO (17)",1,1,1,2,2,2
"ELI - ENCUENTRO LIBERAL (18)",59,58,58,57,56,55
"CAMBIO POPULAR (19)",0,0,0,-,-,-
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",1,1,-,1,1,1
"CONVOCATORIA POPULAR (21)",3,3,-,5,4,5
"FE (23)",0,0,0,-,0,0
"NUESTRA CAUSA (24)",6,6,6,6,6,6
"UNION POPULAR (25)",1,1,1,1,1,1
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",0,0,0,-,0,0
"ENCUENTRO CORRELIGIONARIO (27)",4,4,4,4,4,4
"CAMBIO AUSTERIDAD Y PROGRESO (28)",6,4,4,2,6,3
"DEL TRABAJO Y DEL PUEBLO (29)",14,14,14,21,25,25
"CIUDADANOS A GOBERNAR (30)",1,1,1,1,1,1
"CONSERVADOR POPULAR (31)",3,3,3,3,3,3
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",150,146,146,143,143,144
"NUEVO PAIS (33)",0,0,-,0,0,0
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",3,3,3,3,3,3
"TERCERA POSICIÓN (35)",27,27,27,27,27,27
"UNIÓN CORRENTINA (37)",39,37,37,39,36,37
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",3,3,3,3,3,3
"UNIÓN PARA EL DESARROLLO (42)",0,0,0,0,0,0
"NORTE GRANDE (43)",3,3,3,3,3,3
"ACCIÓN POR LA REPÚBLICA (44)",3,3,3,3,3,3
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,-,-,-
"VAMOS CORRIENTES (46)",2,2,2,2,2,2
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",3,3,3,3,3,3
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-,-,-,-
"SOCIALISTA (50)",5,5,5,5,5,5
"LIBERAL (51)",23,23,23,23,23,23
"AUTONOMISTA (52)",4,3,3,3,3,3
"DE LA VICTORIA (54)",11,12,12,13,12,13
"PROYECTO CORRIENTES (57)",2,2,-,2,2,2
"PRO - PROPUESTA REPUBLICANA (64)",13,13,13,13,13,13
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",27,28,28,29,29,29
"NUEVO (90)",36,34,34,35,35,35
"POPULAR CORRENTINO (169)",16,16,15,8,2,1
"CRECER CON TODOS (170)",12,10,10,8,8,8
"UNIÓN CELESTE Y BLANCO (173)",12,12,-,12,12,12
"COMPROMISO CORRENTINO (175)",1,1,-,0,0,0
"KOLINA (192)",41,43,44,45,45,45
"Votos en Blanco",30,47,74,18,31,27
"Votos Nulos",3,2,2,2,2,2
"Votos Recurridos",0,0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-,-
