partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",12,12,12
"JUSTICIALISTA (2)",304,306,389
"UNIÓN CÍVICA RADICAL (3)",173,173,173
"MOVIMIENTO SIEMPRE CORRIENTES (4)",1,1,1
"DEMÓCRATA CRISTIANO (5)",2,2,2
"DE LA CONCERTACIÓN - FORJA (7)",3,3,3
"FEDERAL (8)",0,0,-
"DEMÓCRATA PROGRESISTA (9)",5,5,5
"RENOVADOR FEDERAL (10)",36,36,36
"LADRILLEROS UNIDOS (11)",4,2,2
"COMUNISTA (12)",6,6,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",93,94,94
"ACCIÓN POR CORRIENTES (14)",42,39,39
"UNIDOS POR CORRIENTES (15)",5,4,4
"LABORISTA AUTÓNOMO (17)",3,3,3
"ELI - ENCUENTRO LIBERAL (18)",199,197,197
"CAMBIO POPULAR (19)",10,10,10
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",2,2,-
"CONVOCATORIA POPULAR (21)",40,41,-
"FE (23)",11,11,10
"NUESTRA CAUSA (24)",12,12,5
"UNION POPULAR (25)",69,67,69
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",2,2,1
"ENCUENTRO CORRELIGIONARIO (27)",4,4,4
"CAMBIO AUSTERIDAD Y PROGRESO (28)",1,1,1
"DEL TRABAJO Y DEL PUEBLO (29)",3,3,3
"CIUDADANOS A GOBERNAR (30)",25,25,25
"CONSERVADOR POPULAR (31)",4,4,4
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",3,3,3
"NUEVO PAIS (33)",4,4,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",0,0,0
"TERCERA POSICIÓN (35)",2,2,2
"UNIÓN CORRENTINA (37)",2,2,2
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",3,2,2
"UNIÓN PARA EL DESARROLLO (42)",4,4,4
"NORTE GRANDE (43)",3,3,3
"ACCIÓN POR LA REPÚBLICA (44)",4,3,3
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",16,16,-
"VAMOS CORRIENTES (46)",137,134,134
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",12,11,11
"PARTIDO AGRARIO Y SOCIAL (49)",10,10,-
"SOCIALISTA (50)",16,15,15
"LIBERAL (51)",78,70,70
"AUTONOMISTA (52)",2,2,2
"DE LA VICTORIA (54)",3,3,3
"PROYECTO CORRIENTES (57)",3,3,-
"PRO - PROPUESTA REPUBLICANA (64)",4,4,4
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",5,5,5
"NUEVO (90)",63,60,61
"POPULAR CORRENTINO (169)",55,52,52
"CRECER CON TODOS (170)",19,19,20
"UNIÓN CELESTE Y BLANCO (173)",10,10,-
"COMPROMISO CORRENTINO (175)",7,7,-
"KOLINA (192)",3,3,3
"Votos en Blanco",21,51,72
"Votos Nulos",14,7,7
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
