partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",9,8,8
"JUSTICIALISTA (2)",207,205,259
"UNIÓN CÍVICA RADICAL (3)",298,292,292
"MOVIMIENTO SIEMPRE CORRIENTES (4)",9,9,9
"DEMÓCRATA CRISTIANO (5)",16,17,17
"DE LA CONCERTACIÓN - FORJA (7)",10,9,9
"FEDERAL (8)",1,1,-
"DEMÓCRATA PROGRESISTA (9)",13,11,11
"RENOVADOR FEDERAL (10)",91,89,89
"LADRILLEROS UNIDOS (11)",10,10,10
"COMUNISTA (12)",4,4,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",7,7,7
"ACCIÓN POR CORRIENTES (14)",12,11,11
"UNIDOS POR CORRIENTES (15)",6,6,6
"LABORISTA AUTÓNOMO (17)",7,7,7
"ELI - ENCUENTRO LIBERAL (18)",86,85,85
"CAMBIO POPULAR (19)",12,12,12
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",4,4,-
"CONVOCATORIA POPULAR (21)",4,4,-
"FE (23)",3,4,4
"NUESTRA CAUSA (24)",5,5,5
"UNION POPULAR (25)",23,22,22
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",3,3,3
"ENCUENTRO CORRELIGIONARIO (27)",11,11,11
"CAMBIO AUSTERIDAD Y PROGRESO (28)",86,80,88
"DEL TRABAJO Y DEL PUEBLO (29)",11,11,11
"CIUDADANOS A GOBERNAR (30)",11,11,11
"CONSERVADOR POPULAR (31)",9,9,9
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",13,13,12
"NUEVO PAIS (33)",11,10,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",2,2,2
"TERCERA POSICIÓN (35)",3,3,3
"UNIÓN CORRENTINA (37)",3,3,3
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",0,0,0
"UNIÓN PARA EL DESARROLLO (42)",5,5,5
"NORTE GRANDE (43)",11,11,11
"ACCIÓN POR LA REPÚBLICA (44)",4,4,4
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",14,14,-
"VAMOS CORRIENTES (46)",21,15,16
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",7,7,7
"PARTIDO AGRARIO Y SOCIAL (49)",4,4,-
"SOCIALISTA (50)",12,11,11
"LIBERAL (51)",111,108,108
"AUTONOMISTA (52)",8,8,8
"DE LA VICTORIA (54)",9,9,9
"PROYECTO CORRIENTES (57)",3,3,-
"PRO - PROPUESTA REPUBLICANA (64)",20,20,20
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",5,5,5
"NUEVO (90)",14,14,14
"POPULAR CORRENTINO (169)",6,5,5
"CRECER CON TODOS (170)",13,13,13
"UNIÓN CELESTE Y BLANCO (173)",2,2,-
"COMPROMISO CORRENTINO (175)",10,10,-
"KOLINA (192)",5,5,3
"Votos en Blanco",30,73,69
"Votos Nulos",14,4,4
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
