partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",23,22,27
"JUSTICIALISTA (2)",277,276,444
"UNIÓN CÍVICA RADICAL (3)",455,438,435
"MOVIMIENTO SIEMPRE CORRIENTES (4)",18,17,16
"DEMÓCRATA CRISTIANO (5)",4,4,4
"DE LA CONCERTACIÓN - FORJA (7)",28,28,28
"FEDERAL (8)",9,9,-
"DEMÓCRATA PROGRESISTA (9)",20,20,21
"RENOVADOR FEDERAL (10)",104,99,99
"LADRILLEROS UNIDOS (11)",18,17,17
"COMUNISTA (12)",15,15,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",7,7,7
"ACCIÓN POR CORRIENTES (14)",24,23,24
"UNIDOS POR CORRIENTES (15)",43,42,42
"LABORISTA AUTÓNOMO (17)",8,8,8
"ELI - ENCUENTRO LIBERAL (18)",124,122,122
"CAMBIO POPULAR (19)",17,17,17
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",14,15,-
"CONVOCATORIA POPULAR (21)",15,15,-
"FE (23)",4,3,3
"NUESTRA CAUSA (24)",10,10,10
"UNION POPULAR (25)",23,21,21
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",15,15,15
"ENCUENTRO CORRELIGIONARIO (27)",18,18,18
"CAMBIO AUSTERIDAD Y PROGRESO (28)",134,127,147
"DEL TRABAJO Y DEL PUEBLO (29)",13,13,13
"CIUDADANOS A GOBERNAR (30)",14,12,12
"CONSERVADOR POPULAR (31)",10,9,9
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",25,25,21
"NUEVO PAIS (33)",23,23,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",10,10,10
"TERCERA POSICIÓN (35)",20,20,20
"UNIÓN CORRENTINA (37)",12,8,7
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",5,5,5
"UNIÓN PARA EL DESARROLLO (42)",11,11,11
"NORTE GRANDE (43)",18,18,18
"ACCIÓN POR LA REPÚBLICA (44)",10,10,9
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",38,37,-
"VAMOS CORRIENTES (46)",34,32,29
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",18,18,18
"PARTIDO AGRARIO Y SOCIAL (49)",12,12,-
"SOCIALISTA (50)",27,25,25
"LIBERAL (51)",95,94,93
"AUTONOMISTA (52)",17,17,17
"DE LA VICTORIA (54)",10,10,10
"PROYECTO CORRIENTES (57)",17,17,-
"PRO - PROPUESTA REPUBLICANA (64)",21,20,20
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",7,7,7
"NUEVO (90)",18,18,16
"POPULAR CORRENTINO (169)",14,14,14
"CRECER CON TODOS (170)",10,10,10
"UNIÓN CELESTE Y BLANCO (173)",19,18,-
"COMPROMISO CORRENTINO (175)",5,5,-
"KOLINA (192)",5,5,5
"Votos en Blanco",67,132,119
"Votos Nulos",25,10,10
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
