partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",7,7,7
"JUSTICIALISTA (2)",56,56,88
"UNIÓN CÍVICA RADICAL (3)",181,180,180
"MOVIMIENTO SIEMPRE CORRIENTES (4)",15,15,15
"DEMÓCRATA CRISTIANO (5)",7,7,7
"DE LA CONCERTACIÓN - FORJA (7)",4,3,3
"FEDERAL (8)",7,7,-
"DEMÓCRATA PROGRESISTA (9)",6,6,6
"RENOVADOR FEDERAL (10)",36,36,36
"LADRILLEROS UNIDOS (11)",2,2,2
"COMUNISTA (12)",3,3,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",7,7,7
"ACCIÓN POR CORRIENTES (14)",3,3,3
"UNIDOS POR CORRIENTES (15)",8,8,8
"LABORISTA AUTÓNOMO (17)",2,2,2
"ELI - ENCUENTRO LIBERAL (18)",74,71,71
"CAMBIO POPULAR (19)",1,1,1
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",1,1,-
"CONVOCATORIA POPULAR (21)",0,0,-
"FE (23)",2,2,2
"NUESTRA CAUSA (24)",2,2,2
"UNION POPULAR (25)",7,7,7
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",2,3,3
"ENCUENTRO CORRELIGIONARIO (27)",2,2,2
"CAMBIO AUSTERIDAD Y PROGRESO (28)",2,2,2
"DEL TRABAJO Y DEL PUEBLO (29)",1,1,1
"CIUDADANOS A GOBERNAR (30)",6,5,5
"CONSERVADOR POPULAR (31)",5,5,5
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",0,0,0
"NUEVO PAIS (33)",1,1,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",0,0,0
"TERCERA POSICIÓN (35)",1,1,1
"UNIÓN CORRENTINA (37)",2,2,2
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",3,3,3
"UNIÓN PARA EL DESARROLLO (42)",0,0,0
"NORTE GRANDE (43)",5,5,5
"ACCIÓN POR LA REPÚBLICA (44)",2,2,2
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",1,1,-
"VAMOS CORRIENTES (46)",1,1,1
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",0,0,0
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-
"SOCIALISTA (50)",0,0,0
"LIBERAL (51)",7,7,10
"AUTONOMISTA (52)",2,2,2
"DE LA VICTORIA (54)",1,1,1
"PROYECTO CORRIENTES (57)",1,1,-
"PRO - PROPUESTA REPUBLICANA (64)",5,5,5
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",3,3,3
"NUEVO (90)",1,1,1
"POPULAR CORRENTINO (169)",16,12,12
"CRECER CON TODOS (170)",12,12,12
"UNIÓN CELESTE Y BLANCO (173)",9,10,-
"COMPROMISO CORRENTINO (175)",7,7,-
"KOLINA (192)",6,6,6
"Votos en Blanco",13,21,17
"Votos Nulos",6,6,6
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
