partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",5,5,5,9,9
"JUSTICIALISTA (2)",33,28,33,32,28
"UNIÓN CÍVICA RADICAL (3)",86,86,85,88,83
"MOVIMIENTO SIEMPRE CORRIENTES (4)",217,217,216,220,213
"DEMÓCRATA CRISTIANO (5)",44,44,44,52,48
"DE LA CONCERTACIÓN - FORJA (7)",0,0,0,0,0
"FEDERAL (8)",2,2,-,2,2
"DEMÓCRATA PROGRESISTA (9)",5,5,5,5,6
"RENOVADOR FEDERAL (10)",0,0,0,0,0
"LADRILLEROS UNIDOS (11)",2,2,2,3,4
"COMUNISTA (12)",0,0,-,0,0
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",0,0,0,0,0
"ACCIÓN POR CORRIENTES (14)",6,6,6,5,5
"UNIDOS POR CORRIENTES (15)",5,5,5,4,4
"LABORISTA AUTÓNOMO (17)",543,542,541,548,536
"ELI - ENCUENTRO LIBERAL (18)",70,69,70,69,74
"CAMBIO POPULAR (19)",0,0,0,0,0
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-,0,0
"CONVOCATORIA POPULAR (21)",1,1,-,1,1
"FE (23)",2,2,2,2,2
"NUESTRA CAUSA (24)",0,0,0,0,0
"UNION POPULAR (25)",47,46,46,31,29
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",0,0,0,0,0
"ENCUENTRO CORRELIGIONARIO (27)",3,3,3,3,3
"CAMBIO AUSTERIDAD Y PROGRESO (28)",8,7,7,6,6
"DEL TRABAJO Y DEL PUEBLO (29)",1,1,1,1,1
"CIUDADANOS A GOBERNAR (30)",3,3,3,3,3
"CONSERVADOR POPULAR (31)",2,2,2,2,2
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",0,0,0,0,0
"NUEVO PAIS (33)",2,2,-,2,2
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",1,1,1,1,1
"TERCERA POSICIÓN (35)",0,0,0,0,0
"UNIÓN CORRENTINA (37)",5,5,5,5,5
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",1,1,1,1,1
"UNIÓN PARA EL DESARROLLO (42)",1,1,1,-,-
"NORTE GRANDE (43)",9,9,9,9,10
"ACCIÓN POR LA REPÚBLICA (44)",5,5,5,5,5
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,0,0
"VAMOS CORRIENTES (46)",1,1,1,-,-
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",6,6,6,6,6
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-,-,-
"SOCIALISTA (50)",6,6,6,6,5
"LIBERAL (51)",5,5,5,5,5
"AUTONOMISTA (52)",3,3,3,3,3
"DE LA VICTORIA (54)",0,0,0,0,0
"PROYECTO CORRIENTES (57)",1,1,-,1,1
"PRO - PROPUESTA REPUBLICANA (64)",8,8,8,7,7
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",0,0,0,0,0
"NUEVO (90)",39,39,39,39,60
"POPULAR CORRENTINO (169)",67,72,72,73,77
"CRECER CON TODOS (170)",9,9,9,9,9
"UNIÓN CELESTE Y BLANCO (173)",0,0,-,1,0
"COMPROMISO CORRENTINO (175)",0,0,-,0,0
"KOLINA (192)",1,1,1,1,1
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,0,0
"Votos en Blanco",20,26,31,17,20
"Votos Nulos",8,6,4,6,6
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
