partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",1,1,1
"JUSTICIALISTA (2)",105,109,121
"UNIÓN CÍVICA RADICAL (3)",26,24,24
"MOVIMIENTO SIEMPRE CORRIENTES (4)",2,2,2
"DEMÓCRATA CRISTIANO (5)",1,1,1
"DE LA CONCERTACIÓN - FORJA (7)",0,0,0
"FEDERAL (8)",0,0,-
"DEMÓCRATA PROGRESISTA (9)",3,3,3
"RENOVADOR FEDERAL (10)",2,2,2
"LADRILLEROS UNIDOS (11)",0,0,0
"COMUNISTA (12)",2,2,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",0,0,0
"ACCIÓN POR CORRIENTES (14)",1,0,0
"UNIDOS POR CORRIENTES (15)",1,1,1
"LABORISTA AUTÓNOMO (17)",2,2,2
"ELI - ENCUENTRO LIBERAL (18)",2,1,1
"CAMBIO POPULAR (19)",0,0,0
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-
"CONVOCATORIA POPULAR (21)",0,0,-
"FE (23)",0,0,0
"NUESTRA CAUSA (24)",5,6,6
"UNION POPULAR (25)",3,2,2
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",0,0,0
"ENCUENTRO CORRELIGIONARIO (27)",3,3,3
"CAMBIO AUSTERIDAD Y PROGRESO (28)",0,0,0
"DEL TRABAJO Y DEL PUEBLO (29)",0,0,0
"CIUDADANOS A GOBERNAR (30)",2,2,2
"CONSERVADOR POPULAR (31)",1,1,1
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",0,0,0
"NUEVO PAIS (33)",1,1,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",0,0,0
"TERCERA POSICIÓN (35)",0,0,0
"UNIÓN CORRENTINA (37)",4,3,3
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",4,4,4
"UNIÓN PARA EL DESARROLLO (42)",4,4,4
"NORTE GRANDE (43)",1,1,1
"ACCIÓN POR LA REPÚBLICA (44)",0,0,0
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",1,1,-
"VAMOS CORRIENTES (46)",65,63,63
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",1,0,0
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-
"SOCIALISTA (50)",1,1,1
"LIBERAL (51)",8,8,8
"AUTONOMISTA (52)",3,3,3
"DE LA VICTORIA (54)",1,1,1
"PROYECTO CORRIENTES (57)",2,2,-
"PRO - PROPUESTA REPUBLICANA (64)",27,26,26
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",0,0,0
"NUEVO (90)",0,0,0
"POPULAR CORRENTINO (169)",7,7,7
"CRECER CON TODOS (170)",5,5,5
"UNIÓN CELESTE Y BLANCO (173)",6,6,-
"COMPROMISO CORRENTINO (175)",0,0,-
"KOLINA (192)",1,1,1
"Votos en Blanco",4,9,9
"Votos Nulos",4,4,4
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
