partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",2,2,2,2,2
"JUSTICIALISTA (2)",113,115,122,128,118
"UNIÓN CÍVICA RADICAL (3)",75,75,75,70,70
"MOVIMIENTO SIEMPRE CORRIENTES (4)",21,21,21,21,19
"DEMÓCRATA CRISTIANO (5)",0,0,0,0,0
"DE LA CONCERTACIÓN - FORJA (7)",5,5,5,5,7
"FEDERAL (8)",0,0,-,0,0
"DEMÓCRATA PROGRESISTA (9)",34,34,34,30,37
"RENOVADOR FEDERAL (10)",2,2,2,2,2
"LADRILLEROS UNIDOS (11)",5,4,4,3,3
"COMUNISTA (12)",1,1,-,-,1
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",1,1,1,1,1
"ACCIÓN POR CORRIENTES (14)",3,3,3,3,3
"UNIDOS POR CORRIENTES (15)",1,1,1,1,1
"LABORISTA AUTÓNOMO (17)",4,4,4,4,4
"ELI - ENCUENTRO LIBERAL (18)",1,1,1,1,1
"CAMBIO POPULAR (19)",1,1,1,1,1
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-,0,0
"CONVOCATORIA POPULAR (21)",1,1,-,-,1
"FE (23)",1,1,1,1,1
"NUESTRA CAUSA (24)",2,2,2,2,2
"UNION POPULAR (25)",2,2,2,2,2
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",0,0,0,-,0
"ENCUENTRO CORRELIGIONARIO (27)",21,21,21,21,21
"CAMBIO AUSTERIDAD Y PROGRESO (28)",7,7,7,7,8
"DEL TRABAJO Y DEL PUEBLO (29)",2,2,2,2,2
"CIUDADANOS A GOBERNAR (30)",6,6,6,6,6
"CONSERVADOR POPULAR (31)",2,2,2,2,2
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",20,20,21,22,23
"NUEVO PAIS (33)",0,0,-,-,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",16,16,16,16,15
"TERCERA POSICIÓN (35)",5,5,5,5,5
"UNIÓN CORRENTINA (37)",4,3,3,3,3
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",2,2,2,2,2
"UNIÓN PARA EL DESARROLLO (42)",0,0,0,1,1
"NORTE GRANDE (43)",0,0,0,0,0
"ACCIÓN POR LA REPÚBLICA (44)",0,0,0,0,0
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",1,1,-,-,1
"VAMOS CORRIENTES (46)",4,4,4,4,3
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",7,6,7,9,10
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-,-,0
"SOCIALISTA (50)",14,14,14,14,14
"LIBERAL (51)",0,0,0,0,0
"AUTONOMISTA (52)",41,41,41,40,38
"DE LA VICTORIA (54)",0,0,0,0,0
"PROYECTO CORRIENTES (57)",6,6,-,-,-
"PRO - PROPUESTA REPUBLICANA (64)",0,0,0,0,0
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",2,2,2,2,2
"NUEVO (90)",0,0,0,0,0
"POPULAR CORRENTINO (169)",44,44,44,44,44
"CRECER CON TODOS (170)",0,0,0,0,0
"UNIÓN CELESTE Y BLANCO (173)",0,0,-,0,0
"COMPROMISO CORRENTINO (175)",2,2,-,-,2
"KOLINA (192)",0,0,0,0,0
"Votos en Blanco",15,16,18,19,18
"Votos Nulos",1,1,1,1,1
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
