partido,gobernador,senadores,diputados,intendente,concejales,convencionales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",9,9,9,10,10,10
"JUSTICIALISTA (2)",126,127,140,154,144,144
"UNIÓN CÍVICA RADICAL (3)",125,123,123,128,127,125
"MOVIMIENTO SIEMPRE CORRIENTES (4)",7,6,6,7,7,7
"DEMÓCRATA CRISTIANO (5)",8,8,8,11,10,10
"DE LA CONCERTACIÓN - FORJA (7)",13,13,13,13,13,13
"FEDERAL (8)",8,8,-,8,8,8
"DEMÓCRATA PROGRESISTA (9)",3,3,3,3,3,3
"RENOVADOR FEDERAL (10)",5,5,5,6,6,6
"LADRILLEROS UNIDOS (11)",4,4,4,3,3,3
"COMUNISTA (12)",3,3,-,3,2,2
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",11,11,11,60,59,59
"ACCIÓN POR CORRIENTES (14)",0,0,0,0,0,0
"UNIDOS POR CORRIENTES (15)",8,9,9,-,-,-
"LABORISTA AUTÓNOMO (17)",1,1,1,1,3,1
"ELI - ENCUENTRO LIBERAL (18)",6,6,6,6,7,6
"CAMBIO POPULAR (19)",8,8,8,81,81,80
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",4,4,-,4,4,4
"CONVOCATORIA POPULAR (21)",0,0,-,39,38,38
"FE (23)",2,2,2,-,2,2
"NUESTRA CAUSA (24)",3,3,3,3,3,3
"UNION POPULAR (25)",3,3,3,5,5,5
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",3,3,3,-,2,2
"ENCUENTRO CORRELIGIONARIO (27)",23,22,22,21,20,20
"CAMBIO AUSTERIDAD Y PROGRESO (28)",53,52,52,-,-,-
"DEL TRABAJO Y DEL PUEBLO (29)",4,3,3,12,12,12
"CIUDADANOS A GOBERNAR (30)",0,0,0,0,0,0
"CONSERVADOR POPULAR (31)",0,0,0,0,0,0
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",2,2,2,2,2,2
"NUEVO PAIS (33)",3,2,-,3,3,3
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",4,4,4,4,5,5
"TERCERA POSICIÓN (35)",1,1,1,5,5,5
"UNIÓN CORRENTINA (37)",3,3,3,3,3,3
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",3,3,3,-,-,-
"UNIÓN PARA EL DESARROLLO (42)",3,3,3,3,3,3
"NORTE GRANDE (43)",14,14,14,13,14,16
"ACCIÓN POR LA REPÚBLICA (44)",5,5,5,5,5,5
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",1,1,-,-,-,-
"VAMOS CORRIENTES (46)",41,41,41,41,41,40
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",7,7,7,7,7,7
"PARTIDO AGRARIO Y SOCIAL (49)",1,1,-,-,-,-
"SOCIALISTA (50)",3,3,3,3,3,3
"LIBERAL (51)",11,11,11,10,11,10
"AUTONOMISTA (52)",151,150,150,152,154,158
"DE LA VICTORIA (54)",7,6,6,6,6,6
"PROYECTO CORRIENTES (57)",3,3,-,3,4,4
"PRO - PROPUESTA REPUBLICANA (64)",19,19,19,17,19,19
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",2,2,2,6,6,6
"NUEVO (90)",316,314,314,313,313,308
"POPULAR CORRENTINO (169)",148,146,146,26,27,27
"CRECER CON TODOS (170)",6,7,7,2,2,2
"UNIÓN CELESTE Y BLANCO (173)",2,2,-,2,2,2
"COMPROMISO CORRENTINO (175)",0,0,-,0,0,0
"KOLINA (192)",20,22,22,28,27,27
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,0,0,0
"Votos en Blanco",21,31,42,9,11,17
"Votos Nulos",9,7,7,7,7,8
"Votos Recurridos",0,0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-,-
