partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",1,0,0,0,0
"JUSTICIALISTA (2)",14,12,20,33,20
"UNIÓN CÍVICA RADICAL (3)",13,13,13,13,13
"MOVIMIENTO SIEMPRE CORRIENTES (4)",3,2,2,2,2
"DEMÓCRATA CRISTIANO (5)",0,0,0,1,1
"DE LA CONCERTACIÓN - FORJA (7)",1,1,1,1,1
"FEDERAL (8)",0,0,-,0,0
"DEMÓCRATA PROGRESISTA (9)",10,9,9,9,8
"RENOVADOR FEDERAL (10)",5,4,4,5,4
"LADRILLEROS UNIDOS (11)",3,3,3,3,4
"COMUNISTA (12)",0,0,-,-,0
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",0,0,0,0,0
"ACCIÓN POR CORRIENTES (14)",0,0,0,0,0
"UNIDOS POR CORRIENTES (15)",4,4,4,4,4
"LABORISTA AUTÓNOMO (17)",0,0,0,0,0
"ELI - ENCUENTRO LIBERAL (18)",0,0,0,0,0
"CAMBIO POPULAR (19)",0,0,0,0,0
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-,0,0
"CONVOCATORIA POPULAR (21)",0,0,-,-,1
"FE (23)",0,0,0,0,0
"NUESTRA CAUSA (24)",0,0,0,0,0
"UNION POPULAR (25)",0,0,0,0,0
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",0,0,0,-,0
"ENCUENTRO CORRELIGIONARIO (27)",19,19,19,19,20
"CAMBIO AUSTERIDAD Y PROGRESO (28)",0,0,0,0,0
"DEL TRABAJO Y DEL PUEBLO (29)",0,0,0,0,0
"CIUDADANOS A GOBERNAR (30)",0,0,0,0,0
"CONSERVADOR POPULAR (31)",1,1,1,1,1
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",53,53,53,53,52
"NUEVO PAIS (33)",0,0,-,-,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",4,4,4,4,5
"TERCERA POSICIÓN (35)",3,3,3,3,3
"UNIÓN CORRENTINA (37)",0,0,0,0,0
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",0,0,0,0,0
"UNIÓN PARA EL DESARROLLO (42)",0,0,0,0,0
"NORTE GRANDE (43)",2,2,2,2,2
"ACCIÓN POR LA REPÚBLICA (44)",0,0,0,0,0
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,-,0
"VAMOS CORRIENTES (46)",3,3,3,0,0
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",10,9,9,9,9
"PARTIDO AGRARIO Y SOCIAL (49)",8,7,-,-,8
"SOCIALISTA (50)",0,1,1,1,1
"LIBERAL (51)",2,2,2,2,1
"AUTONOMISTA (52)",5,5,5,5,5
"DE LA VICTORIA (54)",0,0,0,0,0
"PROYECTO CORRIENTES (57)",0,0,-,-,-
"PRO - PROPUESTA REPUBLICANA (64)",0,0,0,0,0
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",1,1,1,1,1
"NUEVO (90)",9,9,8,8,8
"POPULAR CORRENTINO (169)",4,4,4,3,3
"CRECER CON TODOS (170)",0,0,0,0,0
"UNIÓN CELESTE Y BLANCO (173)",0,0,-,0,0
"COMPROMISO CORRENTINO (175)",0,0,-,-,0
"KOLINA (192)",0,0,0,0,0
"Votos en Blanco",7,14,14,3,8
"Votos Nulos",0,0,0,0,0
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
