partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",3,3,3,3,3
"JUSTICIALISTA (2)",44,44,46,-,122
"UNIÓN CÍVICA RADICAL (3)",117,108,108,107,102
"MOVIMIENTO SIEMPRE CORRIENTES (4)",2,2,2,2,2
"DEMÓCRATA CRISTIANO (5)",1,1,1,-,1
"DE LA CONCERTACIÓN - FORJA (7)",2,2,2,2,3
"FEDERAL (8)",0,0,-,-,0
"DEMÓCRATA PROGRESISTA (9)",2,2,2,2,2
"RENOVADOR FEDERAL (10)",0,0,0,-,0
"LADRILLEROS UNIDOS (11)",1,1,1,1,1
"COMUNISTA (12)",0,0,-,-,0
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",4,4,4,-,4
"ACCIÓN POR CORRIENTES (14)",3,3,3,2,2
"UNIDOS POR CORRIENTES (15)",20,20,20,21,17
"LABORISTA AUTÓNOMO (17)",2,2,2,2,2
"ELI - ENCUENTRO LIBERAL (18)",14,14,14,13,9
"CAMBIO POPULAR (19)",1,1,1,-,0
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",2,2,-,-,2
"CONVOCATORIA POPULAR (21)",2,2,-,-,3
"FE (23)",0,0,0,-,0
"NUESTRA CAUSA (24)",4,4,4,-,21
"UNION POPULAR (25)",108,104,104,112,110
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",1,1,1,-,-
"ENCUENTRO CORRELIGIONARIO (27)",5,5,5,5,4
"CAMBIO AUSTERIDAD Y PROGRESO (28)",2,2,2,2,1
"DEL TRABAJO Y DEL PUEBLO (29)",0,0,0,-,0
"CIUDADANOS A GOBERNAR (30)",6,6,6,5,6
"CONSERVADOR POPULAR (31)",4,4,4,4,4
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",2,2,2,2,2
"NUEVO PAIS (33)",0,0,-,-,1
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",0,0,0,0,0
"TERCERA POSICIÓN (35)",0,0,0,-,1
"UNIÓN CORRENTINA (37)",13,12,12,15,11
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",1,1,1,-,-
"UNIÓN PARA EL DESARROLLO (42)",2,2,2,3,3
"NORTE GRANDE (43)",5,4,4,4,4
"ACCIÓN POR LA REPÚBLICA (44)",0,0,0,-,-
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,-,-
"VAMOS CORRIENTES (46)",9,9,9,9,9
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",0,0,0,-,-
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-,-,-
"SOCIALISTA (50)",0,0,0,0,0
"LIBERAL (51)",17,17,17,19,16
"AUTONOMISTA (52)",2,2,2,2,2
"DE LA VICTORIA (54)",4,4,4,-,4
"PROYECTO CORRIENTES (57)",1,1,-,-,1
"PRO - PROPUESTA REPUBLICANA (64)",8,8,8,7,7
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",7,7,7,-,9
"NUEVO (90)",277,261,261,332,208
"POPULAR CORRENTINO (169)",30,26,26,28,26
"CRECER CON TODOS (170)",4,4,4,4,3
"UNIÓN CELESTE Y BLANCO (173)",2,2,-,-,2
"COMPROMISO CORRENTINO (175)",0,0,-,-,0
"KOLINA (192)",1,1,1,-,1
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,0,10
"Votos en Blanco",48,85,90,76,41
"Votos Nulos",6,4,4,5,7
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
