partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",41,35,35,35,32
"JUSTICIALISTA (2)",117,117,215,131,126
"UNIÓN CÍVICA RADICAL (3)",109,102,99,91,87
"MOVIMIENTO SIEMPRE CORRIENTES (4)",59,55,53,53,53
"DEMÓCRATA CRISTIANO (5)",48,50,56,67,107
"DE LA CONCERTACIÓN - FORJA (7)",19,16,14,18,16
"FEDERAL (8)",0,0,-,0,0
"DEMÓCRATA PROGRESISTA (9)",21,19,17,17,17
"RENOVADOR FEDERAL (10)",26,26,27,32,30
"LADRILLEROS UNIDOS (11)",11,10,10,10,10
"COMUNISTA (12)",5,5,-,5,6
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",20,20,21,23,23
"ACCIÓN POR CORRIENTES (14)",41,40,40,40,38
"UNIDOS POR CORRIENTES (15)",22,22,21,21,20
"LABORISTA AUTÓNOMO (17)",10,11,11,11,11
"ELI - ENCUENTRO LIBERAL (18)",55,53,52,49,47
"CAMBIO POPULAR (19)",33,32,31,-,-
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",3,3,-,3,3
"CONVOCATORIA POPULAR (21)",8,8,-,7,8
"FE (23)",3,3,3,-,-
"NUESTRA CAUSA (24)",8,9,9,13,14
"UNION POPULAR (25)",33,29,29,33,28
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",4,3,5,0,0
"ENCUENTRO CORRELIGIONARIO (27)",29,30,31,31,30
"CAMBIO AUSTERIDAD Y PROGRESO (28)",12,11,10,9,9
"DEL TRABAJO Y DEL PUEBLO (29)",32,33,33,31,30
"CIUDADANOS A GOBERNAR (30)",12,12,12,12,12
"CONSERVADOR POPULAR (31)",17,17,17,17,17
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",20,19,18,17,17
"NUEVO PAIS (33)",24,24,-,27,28
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",14,13,13,13,12
"TERCERA POSICIÓN (35)",0,0,0,-,-
"UNIÓN CORRENTINA (37)",12,11,10,9,9
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",18,18,17,18,17
"UNIÓN PARA EL DESARROLLO (42)",21,21,20,21,21
"NORTE GRANDE (43)",22,17,17,14,16
"ACCIÓN POR LA REPÚBLICA (44)",76,72,73,75,73
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",30,29,-,29,29
"VAMOS CORRIENTES (46)",25,23,23,23,23
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",28,28,28,23,23
"PARTIDO AGRARIO Y SOCIAL (49)",1,1,-,0,0
"SOCIALISTA (50)",12,12,11,12,12
"LIBERAL (51)",38,34,33,35,31
"AUTONOMISTA (52)",33,33,34,24,24
"DE LA VICTORIA (54)",12,12,12,13,13
"PROYECTO CORRIENTES (57)",16,17,-,22,20
"PRO - PROPUESTA REPUBLICANA (64)",232,224,220,242,220
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",9,10,10,11,9
"NUEVO (90)",13,12,12,12,12
"POPULAR CORRENTINO (169)",81,78,79,76,75
"CRECER CON TODOS (170)",17,16,16,16,16
"UNIÓN CELESTE Y BLANCO (173)",19,19,-,21,20
"COMPROMISO CORRENTINO (175)",20,20,-,21,21
"KOLINA (192)",24,23,23,25,28
"Votos en Blanco",82,139,174,123,138
"Votos Nulos",31,32,34,47,47
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
