partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",82,76,77
"JUSTICIALISTA (2)",115,117,305
"UNIÓN CÍVICA RADICAL (3)",452,450,447
"MOVIMIENTO SIEMPRE CORRIENTES (4)",12,12,12
"DEMÓCRATA CRISTIANO (5)",14,14,14
"DE LA CONCERTACIÓN - FORJA (7)",20,20,20
"FEDERAL (8)",15,16,-
"DEMÓCRATA PROGRESISTA (9)",27,22,22
"RENOVADOR FEDERAL (10)",24,27,27
"LADRILLEROS UNIDOS (11)",39,38,38
"COMUNISTA (12)",13,13,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",11,11,11
"ACCIÓN POR CORRIENTES (14)",41,36,36
"UNIDOS POR CORRIENTES (15)",36,34,34
"LABORISTA AUTÓNOMO (17)",16,13,12
"ELI - ENCUENTRO LIBERAL (18)",133,128,128
"CAMBIO POPULAR (19)",18,17,11
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-
"CONVOCATORIA POPULAR (21)",13,13,-
"FE (23)",5,5,5
"NUESTRA CAUSA (24)",8,8,8
"UNION POPULAR (25)",31,28,28
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",17,18,18
"ENCUENTRO CORRELIGIONARIO (27)",51,51,50
"CAMBIO AUSTERIDAD Y PROGRESO (28)",26,24,24
"DEL TRABAJO Y DEL PUEBLO (29)",13,13,13
"CIUDADANOS A GOBERNAR (30)",16,13,13
"CONSERVADOR POPULAR (31)",9,7,9
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",42,40,40
"NUEVO PAIS (33)",25,25,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",23,23,20
"TERCERA POSICIÓN (35)",11,11,11
"UNIÓN CORRENTINA (37)",23,22,22
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",26,24,25
"UNIÓN PARA EL DESARROLLO (42)",40,36,35
"NORTE GRANDE (43)",25,25,25
"ACCIÓN POR LA REPÚBLICA (44)",20,17,17
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-
"VAMOS CORRIENTES (46)",74,65,65
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",97,93,94
"PARTIDO AGRARIO Y SOCIAL (49)",20,20,-
"SOCIALISTA (50)",32,28,28
"LIBERAL (51)",116,111,111
"AUTONOMISTA (52)",58,57,57
"DE LA VICTORIA (54)",45,46,45
"PROYECTO CORRIENTES (57)",17,16,-
"PRO - PROPUESTA REPUBLICANA (64)",87,83,82
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",15,15,15
"NUEVO (90)",51,50,50
"POPULAR CORRENTINO (169)",154,148,148
"CRECER CON TODOS (170)",29,27,27
"UNIÓN CELESTE Y BLANCO (173)",46,46,-
"COMPROMISO CORRENTINO (175)",32,33,-
"KOLINA (192)",23,23,19
"Votos en Blanco",77,153,163
"Votos Nulos",28,32,32
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
