partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",73,69,69
"JUSTICIALISTA (2)",72,74,130
"UNIÓN CÍVICA RADICAL (3)",312,303,303
"MOVIMIENTO SIEMPRE CORRIENTES (4)",81,81,81
"DEMÓCRATA CRISTIANO (5)",25,24,24
"DE LA CONCERTACIÓN - FORJA (7)",80,79,79
"FEDERAL (8)",19,19,-
"DEMÓCRATA PROGRESISTA (9)",68,68,68
"RENOVADOR FEDERAL (10)",23,23,23
"LADRILLEROS UNIDOS (11)",45,45,45
"COMUNISTA (12)",16,16,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",16,16,16
"ACCIÓN POR CORRIENTES (14)",31,31,30
"UNIDOS POR CORRIENTES (15)",79,78,79
"LABORISTA AUTÓNOMO (17)",33,33,33
"ELI - ENCUENTRO LIBERAL (18)",90,87,90
"CAMBIO POPULAR (19)",2,2,2
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-
"CONVOCATORIA POPULAR (21)",10,10,-
"FE (23)",16,16,17
"NUESTRA CAUSA (24)",8,8,8
"UNION POPULAR (25)",51,51,51
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",13,12,12
"ENCUENTRO CORRELIGIONARIO (27)",79,79,79
"CAMBIO AUSTERIDAD Y PROGRESO (28)",22,22,22
"DEL TRABAJO Y DEL PUEBLO (29)",7,4,4
"CIUDADANOS A GOBERNAR (30)",19,23,23
"CONSERVADOR POPULAR (31)",22,21,20
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",26,24,24
"NUEVO PAIS (33)",9,10,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",15,15,15
"TERCERA POSICIÓN (35)",8,8,8
"UNIÓN CORRENTINA (37)",12,10,10
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",19,19,19
"UNIÓN PARA EL DESARROLLO (42)",29,28,28
"NORTE GRANDE (43)",32,32,32
"ACCIÓN POR LA REPÚBLICA (44)",59,56,56
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-
"VAMOS CORRIENTES (46)",97,95,95
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",20,20,20
"PARTIDO AGRARIO Y SOCIAL (49)",13,13,-
"SOCIALISTA (50)",34,34,34
"LIBERAL (51)",37,33,35
"AUTONOMISTA (52)",57,55,55
"DE LA VICTORIA (54)",5,5,5
"PROYECTO CORRIENTES (57)",14,14,-
"PRO - PROPUESTA REPUBLICANA (64)",146,143,142
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",9,8,8
"NUEVO (90)",24,24,24
"POPULAR CORRENTINO (169)",111,107,108
"CRECER CON TODOS (170)",25,24,24
"UNIÓN CELESTE Y BLANCO (173)",18,18,-
"COMPROMISO CORRENTINO (175)",12,12,-
"KOLINA (192)",11,11,7
"Votos en Blanco",35,85,140
"Votos Nulos",32,24,24
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
