partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",39,38,38,39,39
"JUSTICIALISTA (2)",285,284,439,302,292
"UNIÓN CÍVICA RADICAL (3)",455,446,443,456,436
"MOVIMIENTO SIEMPRE CORRIENTES (4)",59,54,54,57,54
"DEMÓCRATA CRISTIANO (5)",3,3,3,-,-
"DE LA CONCERTACIÓN - FORJA (7)",83,79,79,82,78
"FEDERAL (8)",61,61,-,62,60
"DEMÓCRATA PROGRESISTA (9)",22,21,21,22,21
"RENOVADOR FEDERAL (10)",55,60,62,61,63
"LADRILLEROS UNIDOS (11)",37,36,36,35,33
"COMUNISTA (12)",11,11,-,11,11
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",31,31,31,31,34
"ACCIÓN POR CORRIENTES (14)",91,87,87,92,92
"UNIDOS POR CORRIENTES (15)",29,28,27,27,27
"LABORISTA AUTÓNOMO (17)",18,17,17,18,19
"ELI - ENCUENTRO LIBERAL (18)",71,71,71,67,60
"CAMBIO POPULAR (19)",18,18,18,20,18
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",16,16,-,16,16
"CONVOCATORIA POPULAR (21)",26,26,-,26,26
"FE (23)",9,9,9,10,9
"NUESTRA CAUSA (24)",11,11,11,12,12
"UNION POPULAR (25)",119,112,106,114,110
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",13,13,13,-,12
"ENCUENTRO CORRELIGIONARIO (27)",28,28,26,26,25
"CAMBIO AUSTERIDAD Y PROGRESO (28)",60,58,58,60,74
"DEL TRABAJO Y DEL PUEBLO (29)",22,22,22,22,24
"CIUDADANOS A GOBERNAR (30)",32,30,30,31,32
"CONSERVADOR POPULAR (31)",46,44,44,45,44
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",9,9,10,11,10
"NUEVO PAIS (33)",12,10,-,43,8
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",21,19,19,20,28
"TERCERA POSICIÓN (35)",9,10,10,10,11
"UNIÓN CORRENTINA (37)",17,13,13,14,13
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",82,79,78,83,85
"UNIÓN PARA EL DESARROLLO (42)",18,16,16,16,16
"NORTE GRANDE (43)",20,22,22,24,30
"ACCIÓN POR LA REPÚBLICA (44)",11,10,10,10,10
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,-,-
"VAMOS CORRIENTES (46)",36,35,35,36,35
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",7,7,7,7,7
"PARTIDO AGRARIO Y SOCIAL (49)",38,38,-,-,39
"SOCIALISTA (50)",15,15,15,16,17
"LIBERAL (51)",78,73,73,77,84
"AUTONOMISTA (52)",37,36,36,35,32
"DE LA VICTORIA (54)",12,13,13,13,13
"PROYECTO CORRIENTES (57)",8,8,-,8,8
"PRO - PROPUESTA REPUBLICANA (64)",125,122,120,124,110
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",9,9,9,9,9
"NUEVO (90)",13,12,14,12,12
"POPULAR CORRENTINO (169)",33,33,33,30,28
"CRECER CON TODOS (170)",41,41,41,43,41
"UNIÓN CELESTE Y BLANCO (173)",25,26,-,26,26
"COMPROMISO CORRENTINO (175)",4,4,-,6,6
"KOLINA (192)",10,10,10,10,10
"Votos en Blanco",63,109,164,70,84
"Votos Nulos",60,60,60,60,61
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
