partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",13,13,13,13,13
"JUSTICIALISTA (2)",103,101,151,101,100
"UNIÓN CÍVICA RADICAL (3)",139,138,137,136,136
"MOVIMIENTO SIEMPRE CORRIENTES (4)",33,33,33,34,34
"DEMÓCRATA CRISTIANO (5)",4,4,4,-,-
"DE LA CONCERTACIÓN - FORJA (7)",31,30,30,31,30
"FEDERAL (8)",10,10,-,10,10
"DEMÓCRATA PROGRESISTA (9)",10,10,10,10,9
"RENOVADOR FEDERAL (10)",16,16,16,16,17
"LADRILLEROS UNIDOS (11)",14,13,13,13,13
"COMUNISTA (12)",4,4,-,4,4
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",24,24,23,23,24
"ACCIÓN POR CORRIENTES (14)",36,36,36,37,35
"UNIDOS POR CORRIENTES (15)",13,11,11,13,11
"LABORISTA AUTÓNOMO (17)",13,13,13,13,13
"ELI - ENCUENTRO LIBERAL (18)",35,34,34,35,29
"CAMBIO POPULAR (19)",8,8,8,9,9
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",7,7,-,7,7
"CONVOCATORIA POPULAR (21)",16,16,-,17,16
"FE (23)",9,9,9,9,9
"NUESTRA CAUSA (24)",3,3,3,3,3
"UNION POPULAR (25)",30,29,29,30,29
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",22,22,22,-,22
"ENCUENTRO CORRELIGIONARIO (27)",8,8,8,8,8
"CAMBIO AUSTERIDAD Y PROGRESO (28)",47,47,47,47,50
"DEL TRABAJO Y DEL PUEBLO (29)",0,0,0,0,0
"CIUDADANOS A GOBERNAR (30)",5,5,5,5,5
"CONSERVADOR POPULAR (31)",12,12,12,12,12
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",0,0,0,13,0
"NUEVO PAIS (33)",5,4,-,6,4
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",6,5,5,7,12
"TERCERA POSICIÓN (35)",1,1,1,1,1
"UNIÓN CORRENTINA (37)",2,2,2,3,3
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",20,19,19,20,21
"UNIÓN PARA EL DESARROLLO (42)",8,7,7,7,7
"NORTE GRANDE (43)",8,8,8,9,8
"ACCIÓN POR LA REPÚBLICA (44)",4,4,4,4,4
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,-,-
"VAMOS CORRIENTES (46)",2,2,2,3,3
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",8,8,8,8,8
"PARTIDO AGRARIO Y SOCIAL (49)",12,13,-,-,13
"SOCIALISTA (50)",12,12,12,12,12
"LIBERAL (51)",17,17,17,18,18
"AUTONOMISTA (52)",7,7,7,7,7
"DE LA VICTORIA (54)",5,5,4,4,4
"PROYECTO CORRIENTES (57)",2,2,-,3,2
"PRO - PROPUESTA REPUBLICANA (64)",29,25,25,29,25
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",2,2,2,2,2
"NUEVO (90)",4,4,4,4,3
"POPULAR CORRENTINO (169)",8,8,8,8,9
"CRECER CON TODOS (170)",8,8,7,9,7
"UNIÓN CELESTE Y BLANCO (173)",5,5,-,5,5
"COMPROMISO CORRENTINO (175)",7,7,-,7,7
"KOLINA (192)",13,13,13,13,13
"Votos en Blanco",27,44,65,49,41
"Votos Nulos",13,12,13,13,13
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
