partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",0,0,0,0,0
"JUSTICIALISTA (2)",76,72,97,72,74
"UNIÓN CÍVICA RADICAL (3)",198,196,195,197,193
"MOVIMIENTO SIEMPRE CORRIENTES (4)",4,3,3,4,3
"DEMÓCRATA CRISTIANO (5)",0,0,0,-,-
"DE LA CONCERTACIÓN - FORJA (7)",5,4,4,5,4
"FEDERAL (8)",3,3,-,2,2
"DEMÓCRATA PROGRESISTA (9)",0,0,0,0,1
"RENOVADOR FEDERAL (10)",1,1,1,1,1
"LADRILLEROS UNIDOS (11)",3,3,3,3,3
"COMUNISTA (12)",0,0,-,0,0
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",0,0,0,0,0
"ACCIÓN POR CORRIENTES (14)",3,3,3,3,0
"UNIDOS POR CORRIENTES (15)",0,0,0,0,0
"LABORISTA AUTÓNOMO (17)",2,2,2,2,2
"ELI - ENCUENTRO LIBERAL (18)",0,0,0,0,0
"CAMBIO POPULAR (19)",0,0,0,0,0
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-,0,0
"CONVOCATORIA POPULAR (21)",2,2,-,2,2
"FE (23)",1,1,1,1,1
"NUESTRA CAUSA (24)",0,0,0,0,0
"UNION POPULAR (25)",1,1,1,1,1
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",1,1,1,-,1
"ENCUENTRO CORRELIGIONARIO (27)",1,1,1,1,1
"CAMBIO AUSTERIDAD Y PROGRESO (28)",0,0,0,0,0
"DEL TRABAJO Y DEL PUEBLO (29)",0,0,0,0,0
"CIUDADANOS A GOBERNAR (30)",0,0,0,0,0
"CONSERVADOR POPULAR (31)",1,1,1,1,1
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",3,3,3,4,4
"NUEVO PAIS (33)",1,1,-,2,1
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",0,0,0,0,0
"TERCERA POSICIÓN (35)",0,0,0,0,0
"UNIÓN CORRENTINA (37)",0,0,0,0,0
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",2,2,2,2,2
"UNIÓN PARA EL DESARROLLO (42)",0,0,0,0,0
"NORTE GRANDE (43)",0,0,0,0,0
"ACCIÓN POR LA REPÚBLICA (44)",0,0,0,0,0
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,-,-
"VAMOS CORRIENTES (46)",0,0,0,0,0
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",0,0,0,0,0
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-,-,0
"SOCIALISTA (50)",1,1,1,1,1
"LIBERAL (51)",5,5,5,5,5
"AUTONOMISTA (52)",9,8,9,8,7
"DE LA VICTORIA (54)",1,1,1,1,1
"PROYECTO CORRIENTES (57)",3,3,-,3,3
"PRO - PROPUESTA REPUBLICANA (64)",3,3,3,3,3
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",0,0,0,0,0
"NUEVO (90)",2,2,2,2,2
"POPULAR CORRENTINO (169)",1,1,1,1,1
"CRECER CON TODOS (170)",1,1,1,1,1
"UNIÓN CELESTE Y BLANCO (173)",8,8,-,8,8
"COMPROMISO CORRENTINO (175)",9,9,-,9,9
"KOLINA (192)",0,0,0,0,0
"Votos en Blanco",6,15,16,12,19
"Votos Nulos",2,2,2,2,2
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
