partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",17,17,17
"JUSTICIALISTA (2)",73,76,91
"UNIÓN CÍVICA RADICAL (3)",67,67,67
"MOVIMIENTO SIEMPRE CORRIENTES (4)",9,9,9
"DEMÓCRATA CRISTIANO (5)",39,39,39
"DE LA CONCERTACIÓN - FORJA (7)",3,3,3
"FEDERAL (8)",1,1,-
"DEMÓCRATA PROGRESISTA (9)",5,5,5
"RENOVADOR FEDERAL (10)",8,8,8
"LADRILLEROS UNIDOS (11)",1,1,1
"COMUNISTA (12)",4,4,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",10,10,10
"ACCIÓN POR CORRIENTES (14)",5,5,5
"UNIDOS POR CORRIENTES (15)",2,2,2
"LABORISTA AUTÓNOMO (17)",5,5,5
"ELI - ENCUENTRO LIBERAL (18)",1,1,1
"CAMBIO POPULAR (19)",4,4,3
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",2,2,-
"CONVOCATORIA POPULAR (21)",1,1,-
"FE (23)",2,2,0
"NUESTRA CAUSA (24)",1,1,1
"UNION POPULAR (25)",0,0,0
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",2,2,2
"ENCUENTRO CORRELIGIONARIO (27)",3,3,3
"CAMBIO AUSTERIDAD Y PROGRESO (28)",2,2,2
"DEL TRABAJO Y DEL PUEBLO (29)",1,1,1
"CIUDADANOS A GOBERNAR (30)",2,2,2
"CONSERVADOR POPULAR (31)",2,2,2
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",2,2,1
"NUEVO PAIS (33)",1,1,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",1,1,1
"TERCERA POSICIÓN (35)",0,0,0
"UNIÓN CORRENTINA (37)",0,0,0
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",1,1,1
"UNIÓN PARA EL DESARROLLO (42)",1,1,1
"NORTE GRANDE (43)",2,2,1
"ACCIÓN POR LA REPÚBLICA (44)",0,0,0
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-
"VAMOS CORRIENTES (46)",68,66,66
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",0,0,0
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-
"SOCIALISTA (50)",0,0,0
"LIBERAL (51)",3,3,3
"AUTONOMISTA (52)",1,1,1
"DE LA VICTORIA (54)",18,18,13
"PROYECTO CORRIENTES (57)",4,4,-
"PRO - PROPUESTA REPUBLICANA (64)",0,0,0
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",2,2,2
"NUEVO (90)",1,1,0
"POPULAR CORRENTINO (169)",8,8,8
"CRECER CON TODOS (170)",1,0,0
"UNIÓN CELESTE Y BLANCO (173)",0,0,-
"COMPROMISO CORRENTINO (175)",1,1,-
"KOLINA (192)",11,11,10
"Votos en Blanco",7,41,52
"Votos Nulos",40,3,3
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
