partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",189,185,185
"JUSTICIALISTA (2)",110,109,202
"UNIÓN CÍVICA RADICAL (3)",405,395,395
"MOVIMIENTO SIEMPRE CORRIENTES (4)",25,24,24
"DEMÓCRATA CRISTIANO (5)",99,98,98
"DE LA CONCERTACIÓN - FORJA (7)",30,30,30
"FEDERAL (8)",17,17,-
"DEMÓCRATA PROGRESISTA (9)",42,39,36
"RENOVADOR FEDERAL (10)",18,18,18
"LADRILLEROS UNIDOS (11)",27,27,24
"COMUNISTA (12)",12,12,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",45,45,45
"ACCIÓN POR CORRIENTES (14)",10,10,10
"UNIDOS POR CORRIENTES (15)",27,28,28
"LABORISTA AUTÓNOMO (17)",35,35,35
"ELI - ENCUENTRO LIBERAL (18)",86,84,85
"CAMBIO POPULAR (19)",15,15,15
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-
"CONVOCATORIA POPULAR (21)",24,24,-
"FE (23)",12,12,12
"NUESTRA CAUSA (24)",3,3,3
"UNION POPULAR (25)",33,33,33
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",11,11,11
"ENCUENTRO CORRELIGIONARIO (27)",20,20,20
"CAMBIO AUSTERIDAD Y PROGRESO (28)",24,24,24
"DEL TRABAJO Y DEL PUEBLO (29)",9,9,9
"CIUDADANOS A GOBERNAR (30)",32,30,30
"CONSERVADOR POPULAR (31)",16,16,16
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",16,14,14
"NUEVO PAIS (33)",14,14,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",28,28,27
"TERCERA POSICIÓN (35)",12,11,11
"UNIÓN CORRENTINA (37)",37,36,36
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",14,14,14
"UNIÓN PARA EL DESARROLLO (42)",35,33,33
"NORTE GRANDE (43)",17,16,16
"ACCIÓN POR LA REPÚBLICA (44)",22,22,22
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-
"VAMOS CORRIENTES (46)",686,673,673
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",16,16,16
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-
"SOCIALISTA (50)",12,12,12
"LIBERAL (51)",52,54,53
"AUTONOMISTA (52)",32,32,32
"DE LA VICTORIA (54)",36,37,36
"PROYECTO CORRIENTES (57)",9,10,-
"PRO - PROPUESTA REPUBLICANA (64)",39,38,38
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",12,12,12
"NUEVO (90)",32,33,33
"POPULAR CORRENTINO (169)",47,46,46
"CRECER CON TODOS (170)",23,22,23
"UNIÓN CELESTE Y BLANCO (173)",11,12,-
"COMPROMISO CORRENTINO (175)",17,17,-
"KOLINA (192)",26,26,24
"Votos en Blanco",86,227,249
"Votos Nulos",377,274,274
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
