partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",59,58,58
"JUSTICIALISTA (2)",37,38,52
"UNIÓN CÍVICA RADICAL (3)",151,148,148
"MOVIMIENTO SIEMPRE CORRIENTES (4)",21,21,21
"DEMÓCRATA CRISTIANO (5)",40,40,40
"DE LA CONCERTACIÓN - FORJA (7)",13,13,13
"FEDERAL (8)",3,3,-
"DEMÓCRATA PROGRESISTA (9)",7,8,8
"RENOVADOR FEDERAL (10)",2,2,2
"LADRILLEROS UNIDOS (11)",3,3,3
"COMUNISTA (12)",4,4,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",18,18,18
"ACCIÓN POR CORRIENTES (14)",3,3,3
"UNIDOS POR CORRIENTES (15)",10,10,10
"LABORISTA AUTÓNOMO (17)",9,8,8
"ELI - ENCUENTRO LIBERAL (18)",22,22,22
"CAMBIO POPULAR (19)",3,3,3
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-
"CONVOCATORIA POPULAR (21)",13,13,-
"FE (23)",1,1,1
"NUESTRA CAUSA (24)",1,1,1
"UNION POPULAR (25)",17,16,16
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",3,3,3
"ENCUENTRO CORRELIGIONARIO (27)",8,8,8
"CAMBIO AUSTERIDAD Y PROGRESO (28)",7,7,7
"DEL TRABAJO Y DEL PUEBLO (29)",5,5,5
"CIUDADANOS A GOBERNAR (30)",2,2,2
"CONSERVADOR POPULAR (31)",6,6,6
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",11,11,11
"NUEVO PAIS (33)",0,0,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",5,5,5
"TERCERA POSICIÓN (35)",1,1,1
"UNIÓN CORRENTINA (37)",3,3,3
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",7,7,7
"UNIÓN PARA EL DESARROLLO (42)",10,10,10
"NORTE GRANDE (43)",2,2,2
"ACCIÓN POR LA REPÚBLICA (44)",1,1,1
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",2,2,-
"VAMOS CORRIENTES (46)",227,224,224
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",2,2,2
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-
"SOCIALISTA (50)",5,5,5
"LIBERAL (51)",7,7,7
"AUTONOMISTA (52)",7,6,6
"DE LA VICTORIA (54)",13,13,13
"PROYECTO CORRIENTES (57)",0,0,-
"PRO - PROPUESTA REPUBLICANA (64)",25,25,25
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",0,0,0
"NUEVO (90)",14,14,13
"POPULAR CORRENTINO (169)",5,5,5
"CRECER CON TODOS (170)",5,5,5
"UNIÓN CELESTE Y BLANCO (173)",5,5,-
"COMPROMISO CORRENTINO (175)",6,6,-
"KOLINA (192)",8,8,8
"Votos en Blanco",19,61,81
"Votos Nulos",123,89,89
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
