partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",32,29,28,26,28
"JUSTICIALISTA (2)",112,116,409,130,120
"UNIÓN CÍVICA RADICAL (3)",680,650,641,505,505
"MOVIMIENTO SIEMPRE CORRIENTES (4)",37,34,33,28,29
"DEMÓCRATA CRISTIANO (5)",26,25,26,31,30
"DE LA CONCERTACIÓN - FORJA (7)",35,31,30,29,28
"FEDERAL (8)",13,12,-,16,16
"DEMÓCRATA PROGRESISTA (9)",35,31,31,29,33
"RENOVADOR FEDERAL (10)",22,21,22,29,28
"LADRILLEROS UNIDOS (11)",39,37,37,38,36
"COMUNISTA (12)",22,23,-,25,29
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",27,27,27,31,28
"ACCIÓN POR CORRIENTES (14)",41,40,39,37,38
"UNIDOS POR CORRIENTES (15)",43,41,41,37,38
"LABORISTA AUTÓNOMO (17)",25,24,23,21,22
"ELI - ENCUENTRO LIBERAL (18)",124,122,122,119,119
"CAMBIO POPULAR (19)",24,25,24,33,32
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",8,9,-,15,13
"CONVOCATORIA POPULAR (21)",10,11,-,9,-
"FE (23)",14,14,15,16,-
"NUESTRA CAUSA (24)",10,10,10,14,13
"UNION POPULAR (25)",78,71,68,64,64
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",28,28,28,36,35
"ENCUENTRO CORRELIGIONARIO (27)",41,40,39,40,41
"CAMBIO AUSTERIDAD Y PROGRESO (28)",20,20,19,18,18
"DEL TRABAJO Y DEL PUEBLO (29)",30,30,31,39,36
"CIUDADANOS A GOBERNAR (30)",83,79,80,76,73
"CONSERVADOR POPULAR (31)",31,27,27,28,27
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",46,45,45,42,42
"NUEVO PAIS (33)",53,59,-,67,68
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",36,35,34,33,32
"TERCERA POSICIÓN (35)",9,10,11,10,-
"UNIÓN CORRENTINA (37)",24,23,21,19,19
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",42,40,40,36,36
"UNIÓN PARA EL DESARROLLO (42)",26,21,21,21,21
"NORTE GRANDE (43)",29,26,30,28,28
"ACCIÓN POR LA REPÚBLICA (44)",54,53,52,45,45
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",7,7,-,15,13
"VAMOS CORRIENTES (46)",55,51,49,43,44
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",242,230,227,222,223
"PARTIDO AGRARIO Y SOCIAL (49)",57,56,-,69,67
"SOCIALISTA (50)",21,21,20,19,19
"LIBERAL (51)",137,132,129,125,125
"AUTONOMISTA (52)",123,122,122,113,113
"DE LA VICTORIA (54)",27,33,27,34,34
"PROYECTO CORRIENTES (57)",59,64,-,86,75
"PRO - PROPUESTA REPUBLICANA (64)",57,53,53,47,46
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",15,16,17,20,20
"NUEVO (90)",89,87,87,78,84
"POPULAR CORRENTINO (169)",146,136,137,132,132
"CRECER CON TODOS (170)",33,30,28,26,24
"UNIÓN CELESTE Y BLANCO (173)",34,33,-,45,37
"COMPROMISO CORRENTINO (175)",52,47,-,61,57
"KOLINA (192)",10,7,11,13,13
"INTEGRACIÓN CORRENTINA (36)",-,-,-,116,117
"NUEVA CORRIENTES (41)",-,-,-,9,6
"Votos en Blanco",96,211,262,185,260
"Votos Nulos",79,70,72,67,66
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
