partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",69,62,62,65,63
"JUSTICIALISTA (2)",59,59,157,72,71
"UNIÓN CÍVICA RADICAL (3)",153,138,144,143,142
"MOVIMIENTO SIEMPRE CORRIENTES (4)",60,57,57,59,59
"DEMÓCRATA CRISTIANO (5)",24,24,24,28,28
"DE LA CONCERTACIÓN - FORJA (7)",28,28,28,27,28
"FEDERAL (8)",1,1,-,2,2
"DEMÓCRATA PROGRESISTA (9)",18,18,18,18,18
"RENOVADOR FEDERAL (10)",8,8,6,6,6
"LADRILLEROS UNIDOS (11)",18,16,16,20,19
"COMUNISTA (12)",6,6,-,4,4
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",17,16,15,16,18
"ACCIÓN POR CORRIENTES (14)",14,13,13,14,13
"UNIDOS POR CORRIENTES (15)",31,30,30,29,28
"LABORISTA AUTÓNOMO (17)",23,19,18,19,19
"ELI - ENCUENTRO LIBERAL (18)",58,59,59,59,60
"CAMBIO POPULAR (19)",10,10,10,-,-
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",10,10,-,11,11
"CONVOCATORIA POPULAR (21)",9,8,-,8,7
"FE (23)",3,3,3,-,-
"NUESTRA CAUSA (24)",6,6,6,6,6
"UNION POPULAR (25)",48,46,46,41,41
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",3,3,3,0,0
"ENCUENTRO CORRELIGIONARIO (27)",32,30,30,32,32
"CAMBIO AUSTERIDAD Y PROGRESO (28)",5,5,5,5,5
"DEL TRABAJO Y DEL PUEBLO (29)",7,9,9,8,7
"CIUDADANOS A GOBERNAR (30)",21,20,19,18,18
"CONSERVADOR POPULAR (31)",18,17,17,16,16
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",18,18,18,18,18
"NUEVO PAIS (33)",9,9,-,10,10
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",9,9,9,9,10
"TERCERA POSICIÓN (35)",2,2,2,-,-
"UNIÓN CORRENTINA (37)",20,20,20,16,16
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",20,19,20,20,19
"UNIÓN PARA EL DESARROLLO (42)",14,14,14,14,14
"NORTE GRANDE (43)",4,5,4,4,4
"ACCIÓN POR LA REPÚBLICA (44)",51,50,48,47,47
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",40,38,-,45,43
"VAMOS CORRIENTES (46)",22,22,22,18,17
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",22,22,22,19,19
"PARTIDO AGRARIO Y SOCIAL (49)",3,3,-,0,0
"SOCIALISTA (50)",10,11,11,11,11
"LIBERAL (51)",73,71,72,70,71
"AUTONOMISTA (52)",32,30,31,22,21
"DE LA VICTORIA (54)",6,7,7,6,6
"PROYECTO CORRIENTES (57)",11,11,-,14,13
"PRO - PROPUESTA REPUBLICANA (64)",106,105,104,107,102
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",28,28,29,29,28
"NUEVO (90)",20,20,21,20,20
"POPULAR CORRENTINO (169)",93,91,91,91,95
"CRECER CON TODOS (170)",7,7,7,7,7
"UNIÓN CELESTE Y BLANCO (173)",6,6,-,10,9
"COMPROMISO CORRENTINO (175)",7,6,-,5,5
"KOLINA (192)",3,3,3,5,3
"Votos en Blanco",61,115,113,120,134
"Votos Nulos",44,37,37,37,37
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
