partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",38,36,35,36,35
"JUSTICIALISTA (2)",62,65,278,72,68
"UNIÓN CÍVICA RADICAL (3)",445,429,422,364,357
"MOVIMIENTO SIEMPRE CORRIENTES (4)",61,55,54,52,53
"DEMÓCRATA CRISTIANO (5)",17,17,17,21,20
"DE LA CONCERTACIÓN - FORJA (7)",23,18,22,17,17
"FEDERAL (8)",48,49,-,55,52
"DEMÓCRATA PROGRESISTA (9)",55,52,52,52,53
"RENOVADOR FEDERAL (10)",35,32,32,33,35
"LADRILLEROS UNIDOS (11)",30,29,29,22,22
"COMUNISTA (12)",13,11,-,13,15
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",18,17,19,15,13
"ACCIÓN POR CORRIENTES (14)",23,22,22,23,22
"UNIDOS POR CORRIENTES (15)",27,27,27,27,26
"LABORISTA AUTÓNOMO (17)",56,55,53,51,51
"ELI - ENCUENTRO LIBERAL (18)",96,90,84,72,74
"CAMBIO POPULAR (19)",8,8,8,9,9
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",4,4,-,5,6
"CONVOCATORIA POPULAR (21)",8,8,-,9,-
"FE (23)",19,18,21,25,-
"NUESTRA CAUSA (24)",5,5,5,7,6
"UNION POPULAR (25)",57,55,55,52,51
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",14,14,14,15,14
"ENCUENTRO CORRELIGIONARIO (27)",33,32,32,30,31
"CAMBIO AUSTERIDAD Y PROGRESO (28)",6,5,5,5,6
"DEL TRABAJO Y DEL PUEBLO (29)",12,12,12,13,13
"CIUDADANOS A GOBERNAR (30)",35,32,32,29,37
"CONSERVADOR POPULAR (31)",21,21,21,20,20
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",26,25,26,21,21
"NUEVO PAIS (33)",30,26,-,34,33
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",16,16,16,13,13
"TERCERA POSICIÓN (35)",3,3,3,3,-
"UNIÓN CORRENTINA (37)",29,27,26,22,23
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",29,29,29,21,21
"UNIÓN PARA EL DESARROLLO (42)",15,15,13,11,11
"NORTE GRANDE (43)",15,14,14,13,13
"ACCIÓN POR LA REPÚBLICA (44)",39,38,38,36,37
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",8,8,-,10,10
"VAMOS CORRIENTES (46)",24,23,25,20,20
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",101,92,91,89,87
"PARTIDO AGRARIO Y SOCIAL (49)",63,60,-,98,83
"SOCIALISTA (50)",33,32,34,31,32
"LIBERAL (51)",83,83,83,76,77
"AUTONOMISTA (52)",59,58,58,55,54
"DE LA VICTORIA (54)",13,13,14,15,13
"PROYECTO CORRIENTES (57)",26,27,-,50,37
"PRO - PROPUESTA REPUBLICANA (64)",31,29,30,28,28
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",7,7,6,7,6
"NUEVO (90)",53,51,51,48,49
"POPULAR CORRENTINO (169)",101,95,94,89,91
"CRECER CON TODOS (170)",25,23,23,20,20
"UNIÓN CELESTE Y BLANCO (173)",20,20,-,30,28
"COMPROMISO CORRENTINO (175)",42,39,-,44,42
"KOLINA (192)",22,22,23,26,25
"INTEGRACIÓN CORRENTINA (36)",-,-,-,44,45
"NUEVA CORRIENTES (41)",-,-,-,9,9
"Votos en Blanco",47,138,182,123,197
"Votos Nulos",43,36,37,37,36
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
