partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",95,86,86,82,82
"JUSTICIALISTA (2)",180,183,458,201,194
"UNIÓN CÍVICA RADICAL (3)",712,663,663,538,538
"MOVIMIENTO SIEMPRE CORRIENTES (4)",56,53,52,45,48
"DEMÓCRATA CRISTIANO (5)",48,48,48,59,58
"DE LA CONCERTACIÓN - FORJA (7)",63,58,58,55,55
"FEDERAL (8)",34,34,-,44,38
"DEMÓCRATA PROGRESISTA (9)",50,49,49,47,48
"RENOVADOR FEDERAL (10)",51,50,53,58,57
"LADRILLEROS UNIDOS (11)",64,64,63,63,62
"COMUNISTA (12)",18,17,-,22,36
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",46,43,38,29,29
"ACCIÓN POR CORRIENTES (14)",21,20,19,18,18
"UNIDOS POR CORRIENTES (15)",42,40,39,33,34
"LABORISTA AUTÓNOMO (17)",39,37,37,33,33
"ELI - ENCUENTRO LIBERAL (18)",142,139,138,131,131
"CAMBIO POPULAR (19)",22,21,21,33,32
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",28,28,-,35,34
"CONVOCATORIA POPULAR (21)",15,15,-,20,-
"FE (23)",6,5,6,6,-
"NUESTRA CAUSA (24)",14,15,16,18,19
"UNION POPULAR (25)",87,81,81,79,81
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",7,7,6,15,10
"ENCUENTRO CORRELIGIONARIO (27)",47,46,46,43,44
"CAMBIO AUSTERIDAD Y PROGRESO (28)",36,33,29,29,31
"DEL TRABAJO Y DEL PUEBLO (29)",15,15,15,17,17
"CIUDADANOS A GOBERNAR (30)",46,43,42,40,42
"CONSERVADOR POPULAR (31)",30,30,29,25,26
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",40,37,37,32,32
"NUEVO PAIS (33)",19,20,-,37,30
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",47,44,41,39,24
"TERCERA POSICIÓN (35)",13,14,14,15,-
"UNIÓN CORRENTINA (37)",29,27,28,23,23
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",34,33,32,30,30
"UNIÓN PARA EL DESARROLLO (42)",32,29,28,30,30
"NORTE GRANDE (43)",19,18,18,16,17
"ACCIÓN POR LA REPÚBLICA (44)",30,28,27,25,26
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",27,27,-,37,32
"VAMOS CORRIENTES (46)",76,75,75,64,63
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",133,121,116,126,125
"PARTIDO AGRARIO Y SOCIAL (49)",36,39,-,53,46
"SOCIALISTA (50)",28,26,25,24,23
"LIBERAL (51)",69,68,67,61,62
"AUTONOMISTA (52)",81,81,81,74,74
"DE LA VICTORIA (54)",15,17,17,20,17
"PROYECTO CORRIENTES (57)",54,55,-,90,77
"PRO - PROPUESTA REPUBLICANA (64)",49,48,46,45,46
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",4,4,4,5,3
"NUEVO (90)",53,54,53,48,52
"POPULAR CORRENTINO (169)",119,113,114,105,104
"CRECER CON TODOS (170)",42,36,32,29,30
"UNIÓN CELESTE Y BLANCO (173)",17,16,-,19,19
"COMPROMISO CORRENTINO (175)",19,18,-,21,19
"KOLINA (192)",14,14,15,19,18
"INTEGRACIÓN CORRENTINA (36)",-,-,-,100,101
"NUEVA CORRIENTES (41)",-,-,-,30,27
"Votos en Blanco",86,209,232,157,246
"Votos Nulos",79,76,76,79,78
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
