partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",3,3,3,3,3
"JUSTICIALISTA (2)",3,3,3,1,1
"UNIÓN CÍVICA RADICAL (3)",26,26,26,25,25
"MOVIMIENTO SIEMPRE CORRIENTES (4)",1,1,1,1,1
"DEMÓCRATA CRISTIANO (5)",1,1,1,1,1
"DE LA CONCERTACIÓN - FORJA (7)",1,1,1,1,2
"FEDERAL (8)",1,1,-,1,1
"DEMÓCRATA PROGRESISTA (9)",2,2,2,1,1
"RENOVADOR FEDERAL (10)",0,1,0,0,0
"LADRILLEROS UNIDOS (11)",1,1,1,1,1
"COMUNISTA (12)",0,0,-,0,0
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",0,0,0,0,0
"ACCIÓN POR CORRIENTES (14)",0,0,0,0,0
"UNIDOS POR CORRIENTES (15)",0,0,0,0,0
"LABORISTA AUTÓNOMO (17)",0,0,0,0,0
"ELI - ENCUENTRO LIBERAL (18)",55,54,54,55,55
"CAMBIO POPULAR (19)",0,0,0,0,0
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-,0,0
"CONVOCATORIA POPULAR (21)",1,0,-,0,0
"FE (23)",0,0,0,0,0
"NUESTRA CAUSA (24)",0,0,0,0,0
"UNION POPULAR (25)",0,0,0,0,0
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",0,0,0,0,0
"ENCUENTRO CORRELIGIONARIO (27)",1,0,0,0,0
"CAMBIO AUSTERIDAD Y PROGRESO (28)",19,19,19,21,21
"DEL TRABAJO Y DEL PUEBLO (29)",0,0,0,0,0
"CIUDADANOS A GOBERNAR (30)",0,0,0,0,0
"CONSERVADOR POPULAR (31)",0,0,0,0,0
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",1,1,1,1,1
"NUEVO PAIS (33)",0,0,-,0,0
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",2,2,2,2,2
"TERCERA POSICIÓN (35)",0,0,0,0,0
"UNIÓN CORRENTINA (37)",0,0,0,0,0
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",0,0,0,0,0
"UNIÓN PARA EL DESARROLLO (42)",0,0,0,0,0
"NORTE GRANDE (43)",0,0,0,0,0
"ACCIÓN POR LA REPÚBLICA (44)",0,0,0,0,0
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,0,0
"VAMOS CORRIENTES (46)",0,0,0,0,0
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",1,1,1,1,1
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-,-,-
"SOCIALISTA (50)",0,0,0,0,0
"LIBERAL (51)",75,75,75,77,77
"AUTONOMISTA (52)",1,2,3,2,2
"DE LA VICTORIA (54)",1,1,1,0,0
"PROYECTO CORRIENTES (57)",0,0,-,0,0
"PRO - PROPUESTA REPUBLICANA (64)",0,0,0,0,0
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",0,0,0,0,0
"NUEVO (90)",2,2,2,2,2
"POPULAR CORRENTINO (169)",0,0,0,0,0
"CRECER CON TODOS (170)",0,0,0,0,0
"UNIÓN CELESTE Y BLANCO (173)",0,0,-,0,0
"COMPROMISO CORRENTINO (175)",0,0,-,0,0
"KOLINA (192)",0,0,0,0,0
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,0,0
"Votos en Blanco",3,4,6,6,5
"Votos Nulos",1,1,0,0,0
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
