partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",120,118,118
"JUSTICIALISTA (2)",279,253,436
"UNIÓN CÍVICA RADICAL (3)",542,526,526
"MOVIMIENTO SIEMPRE CORRIENTES (4)",70,65,65
"DEMÓCRATA CRISTIANO (5)",28,29,29
"DE LA CONCERTACIÓN - FORJA (7)",41,38,39
"FEDERAL (8)",43,44,-
"DEMÓCRATA PROGRESISTA (9)",48,45,45
"RENOVADOR FEDERAL (10)",50,49,49
"LADRILLEROS UNIDOS (11)",44,40,40
"COMUNISTA (12)",13,13,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",27,27,29
"ACCIÓN POR CORRIENTES (14)",27,25,25
"UNIDOS POR CORRIENTES (15)",42,40,40
"LABORISTA AUTÓNOMO (17)",27,27,27
"ELI - ENCUENTRO LIBERAL (18)",100,100,100
"CAMBIO POPULAR (19)",16,16,15
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",6,6,-
"CONVOCATORIA POPULAR (21)",20,20,-
"FE (23)",6,6,6
"NUESTRA CAUSA (24)",15,15,15
"UNION POPULAR (25)",21,20,20
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",22,22,22
"ENCUENTRO CORRELIGIONARIO (27)",30,30,30
"CAMBIO AUSTERIDAD Y PROGRESO (28)",71,68,67
"DEL TRABAJO Y DEL PUEBLO (29)",18,19,19
"CIUDADANOS A GOBERNAR (30)",23,22,22
"CONSERVADOR POPULAR (31)",19,11,11
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",15,23,23
"NUEVO PAIS (33)",20,18,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",15,15,16
"TERCERA POSICIÓN (35)",7,7,7
"UNIÓN CORRENTINA (37)",21,19,19
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",18,18,18
"UNIÓN PARA EL DESARROLLO (42)",9,8,8
"NORTE GRANDE (43)",21,18,18
"ACCIÓN POR LA REPÚBLICA (44)",6,6,6
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",1,1,-
"VAMOS CORRIENTES (46)",64,60,60
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",23,22,22
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-
"SOCIALISTA (50)",8,8,8
"LIBERAL (51)",40,40,40
"AUTONOMISTA (52)",14,11,11
"DE LA VICTORIA (54)",38,38,38
"PROYECTO CORRIENTES (57)",9,9,-
"PRO - PROPUESTA REPUBLICANA (64)",84,72,72
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",16,18,19
"NUEVO (90)",28,28,28
"POPULAR CORRENTINO (169)",43,43,43
"CRECER CON TODOS (170)",26,26,26
"UNIÓN CELESTE Y BLANCO (173)",20,20,-
"COMPROMISO CORRENTINO (175)",14,14,-
"KOLINA (192)",7,7,7
"Votos en Blanco",60,170,131
"Votos Nulos",43,24,23
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
