partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",35,31,31
"JUSTICIALISTA (2)",225,220,341
"UNIÓN CÍVICA RADICAL (3)",551,511,502
"MOVIMIENTO SIEMPRE CORRIENTES (4)",32,31,31
"DEMÓCRATA CRISTIANO (5)",29,29,29
"DE LA CONCERTACIÓN - FORJA (7)",39,37,37
"FEDERAL (8)",2,2,-
"DEMÓCRATA PROGRESISTA (9)",21,17,17
"RENOVADOR FEDERAL (10)",134,136,141
"LADRILLEROS UNIDOS (11)",42,37,37
"COMUNISTA (12)",13,12,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",16,15,15
"ACCIÓN POR CORRIENTES (14)",39,37,36
"UNIDOS POR CORRIENTES (15)",23,22,22
"LABORISTA AUTÓNOMO (17)",16,15,14
"ELI - ENCUENTRO LIBERAL (18)",143,137,137
"CAMBIO POPULAR (19)",12,11,11
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",9,9,-
"CONVOCATORIA POPULAR (21)",14,13,-
"FE (23)",2,2,2
"NUESTRA CAUSA (24)",11,11,11
"UNION POPULAR (25)",27,25,25
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",9,8,9
"ENCUENTRO CORRELIGIONARIO (27)",25,23,23
"CAMBIO AUSTERIDAD Y PROGRESO (28)",166,146,161
"DEL TRABAJO Y DEL PUEBLO (29)",7,7,6
"CIUDADANOS A GOBERNAR (30)",18,18,17
"CONSERVADOR POPULAR (31)",13,12,12
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",41,40,32
"NUEVO PAIS (33)",10,9,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",13,13,13
"TERCERA POSICIÓN (35)",9,9,9
"UNIÓN CORRENTINA (37)",28,25,25
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",21,19,18
"UNIÓN PARA EL DESARROLLO (42)",13,13,13
"NORTE GRANDE (43)",23,23,22
"ACCIÓN POR LA REPÚBLICA (44)",11,9,9
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",10,10,-
"VAMOS CORRIENTES (46)",48,46,45
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",19,19,19
"PARTIDO AGRARIO Y SOCIAL (49)",22,22,-
"SOCIALISTA (50)",14,14,14
"LIBERAL (51)",140,135,135
"AUTONOMISTA (52)",31,30,30
"DE LA VICTORIA (54)",19,17,17
"PROYECTO CORRIENTES (57)",7,8,-
"PRO - PROPUESTA REPUBLICANA (64)",36,33,33
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",3,3,3
"NUEVO (90)",24,24,24
"POPULAR CORRENTINO (169)",37,36,36
"CRECER CON TODOS (170)",19,18,18
"UNIÓN CELESTE Y BLANCO (173)",17,17,-
"COMPROMISO CORRENTINO (175)",12,11,-
"KOLINA (192)",15,13,13
"Votos en Blanco",57,192,187
"Votos Nulos",40,29,29
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
