partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",0,0,0
"JUSTICIALISTA (2)",113,114,143
"UNIÓN CÍVICA RADICAL (3)",311,300,299
"MOVIMIENTO SIEMPRE CORRIENTES (4)",3,3,3
"DEMÓCRATA CRISTIANO (5)",4,4,4
"DE LA CONCERTACIÓN - FORJA (7)",2,2,1
"FEDERAL (8)",19,19,-
"DEMÓCRATA PROGRESISTA (9)",5,5,5
"RENOVADOR FEDERAL (10)",14,14,14
"LADRILLEROS UNIDOS (11)",2,2,2
"COMUNISTA (12)",0,0,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",3,4,4
"ACCIÓN POR CORRIENTES (14)",4,4,4
"UNIDOS POR CORRIENTES (15)",2,2,2
"LABORISTA AUTÓNOMO (17)",2,2,2
"ELI - ENCUENTRO LIBERAL (18)",6,6,6
"CAMBIO POPULAR (19)",2,2,2
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-
"CONVOCATORIA POPULAR (21)",4,4,-
"FE (23)",3,3,3
"NUESTRA CAUSA (24)",1,1,1
"UNION POPULAR (25)",6,5,5
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",4,4,4
"ENCUENTRO CORRELIGIONARIO (27)",1,1,1
"CAMBIO AUSTERIDAD Y PROGRESO (28)",82,81,84
"DEL TRABAJO Y DEL PUEBLO (29)",3,3,3
"CIUDADANOS A GOBERNAR (30)",5,5,5
"CONSERVADOR POPULAR (31)",3,3,3
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",0,0,0
"NUEVO PAIS (33)",0,0,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",1,1,1
"TERCERA POSICIÓN (35)",2,2,2
"UNIÓN CORRENTINA (37)",1,1,1
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",0,0,0
"UNIÓN PARA EL DESARROLLO (42)",0,0,0
"NORTE GRANDE (43)",0,0,0
"ACCIÓN POR LA REPÚBLICA (44)",3,3,3
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",2,2,-
"VAMOS CORRIENTES (46)",6,6,6
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",0,0,0
"PARTIDO AGRARIO Y SOCIAL (49)",4,4,-
"SOCIALISTA (50)",3,3,3
"LIBERAL (51)",62,62,62
"AUTONOMISTA (52)",7,7,8
"DE LA VICTORIA (54)",28,27,27
"PROYECTO CORRIENTES (57)",1,1,-
"PRO - PROPUESTA REPUBLICANA (64)",6,6,6
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",0,0,0
"NUEVO (90)",0,0,0
"POPULAR CORRENTINO (169)",5,5,5
"CRECER CON TODOS (170)",0,0,0
"UNIÓN CELESTE Y BLANCO (173)",1,1,-
"COMPROMISO CORRENTINO (175)",0,0,-
"KOLINA (192)",2,2,2
"Votos en Blanco",21,37,37
"Votos Nulos",5,1,1
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
