partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",0,0,0
"JUSTICIALISTA (2)",38,38,41
"UNIÓN CÍVICA RADICAL (3)",37,36,35
"MOVIMIENTO SIEMPRE CORRIENTES (4)",0,0,0
"DEMÓCRATA CRISTIANO (5)",0,0,0
"DE LA CONCERTACIÓN - FORJA (7)",0,0,0
"FEDERAL (8)",0,0,-
"DEMÓCRATA PROGRESISTA (9)",1,1,1
"RENOVADOR FEDERAL (10)",0,0,0
"LADRILLEROS UNIDOS (11)",1,1,1
"COMUNISTA (12)",0,0,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",0,0,0
"ACCIÓN POR CORRIENTES (14)",0,0,0
"UNIDOS POR CORRIENTES (15)",0,0,0
"LABORISTA AUTÓNOMO (17)",1,1,1
"ELI - ENCUENTRO LIBERAL (18)",3,3,3
"CAMBIO POPULAR (19)",0,0,0
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-
"CONVOCATORIA POPULAR (21)",2,2,-
"FE (23)",1,1,1
"NUESTRA CAUSA (24)",0,0,0
"UNION POPULAR (25)",3,3,3
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",2,2,2
"ENCUENTRO CORRELIGIONARIO (27)",0,0,0
"CAMBIO AUSTERIDAD Y PROGRESO (28)",2,2,2
"DEL TRABAJO Y DEL PUEBLO (29)",0,0,0
"CIUDADANOS A GOBERNAR (30)",0,0,0
"CONSERVADOR POPULAR (31)",0,0,0
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",1,1,1
"NUEVO PAIS (33)",0,0,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",0,0,0
"TERCERA POSICIÓN (35)",0,0,0
"UNIÓN CORRENTINA (37)",0,0,0
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",0,0,0
"UNIÓN PARA EL DESARROLLO (42)",0,0,0
"NORTE GRANDE (43)",0,0,0
"ACCIÓN POR LA REPÚBLICA (44)",2,2,2
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-
"VAMOS CORRIENTES (46)",4,4,4
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",0,0,0
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-
"SOCIALISTA (50)",0,0,0
"LIBERAL (51)",2,2,2
"AUTONOMISTA (52)",3,3,3
"DE LA VICTORIA (54)",2,2,2
"PROYECTO CORRIENTES (57)",1,1,-
"PRO - PROPUESTA REPUBLICANA (64)",0,0,0
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",0,0,0
"NUEVO (90)",2,2,2
"POPULAR CORRENTINO (169)",3,3,3
"CRECER CON TODOS (170)",0,0,0
"UNIÓN CELESTE Y BLANCO (173)",0,0,-
"COMPROMISO CORRENTINO (175)",0,0,-
"KOLINA (192)",0,0,0
"Votos en Blanco",0,0,0
"Votos Nulos",0,0,0
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
