partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",2,2,2
"JUSTICIALISTA (2)",96,96,96
"UNIÓN CÍVICA RADICAL (3)",84,82,82
"MOVIMIENTO SIEMPRE CORRIENTES (4)",4,4,4
"DEMÓCRATA CRISTIANO (5)",2,2,2
"DE LA CONCERTACIÓN - FORJA (7)",1,1,1
"FEDERAL (8)",0,0,-
"DEMÓCRATA PROGRESISTA (9)",0,0,0
"RENOVADOR FEDERAL (10)",8,8,8
"LADRILLEROS UNIDOS (11)",1,1,1
"COMUNISTA (12)",0,0,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",0,0,0
"ACCIÓN POR CORRIENTES (14)",2,2,2
"UNIDOS POR CORRIENTES (15)",5,5,5
"LABORISTA AUTÓNOMO (17)",5,5,5
"ELI - ENCUENTRO LIBERAL (18)",14,14,14
"CAMBIO POPULAR (19)",6,6,6
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-
"CONVOCATORIA POPULAR (21)",1,1,-
"FE (23)",2,2,2
"NUESTRA CAUSA (24)",1,1,1
"UNION POPULAR (25)",2,2,2
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",1,1,1
"ENCUENTRO CORRELIGIONARIO (27)",2,2,2
"CAMBIO AUSTERIDAD Y PROGRESO (28)",16,16,16
"DEL TRABAJO Y DEL PUEBLO (29)",2,2,2
"CIUDADANOS A GOBERNAR (30)",1,1,1
"CONSERVADOR POPULAR (31)",0,0,0
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",0,0,0
"NUEVO PAIS (33)",0,0,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",4,4,4
"TERCERA POSICIÓN (35)",3,3,3
"UNIÓN CORRENTINA (37)",3,3,3
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",0,0,0
"UNIÓN PARA EL DESARROLLO (42)",0,0,0
"NORTE GRANDE (43)",1,1,1
"ACCIÓN POR LA REPÚBLICA (44)",0,0,0
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-
"VAMOS CORRIENTES (46)",2,1,1
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",2,2,2
"PARTIDO AGRARIO Y SOCIAL (49)",4,4,-
"SOCIALISTA (50)",1,1,1
"LIBERAL (51)",64,60,64
"AUTONOMISTA (52)",6,5,5
"DE LA VICTORIA (54)",16,15,15
"PROYECTO CORRIENTES (57)",0,0,-
"PRO - PROPUESTA REPUBLICANA (64)",2,2,2
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",0,0,0
"NUEVO (90)",18,17,17
"POPULAR CORRENTINO (169)",0,0,0
"CRECER CON TODOS (170)",15,15,15
"UNIÓN CELESTE Y BLANCO (173)",2,2,-
"COMPROMISO CORRENTINO (175)",1,1,-
"KOLINA (192)",1,1,0
"Votos en Blanco",11,26,31
"Votos Nulos",5,0,0
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
