partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",7,7,7,6,7
"JUSTICIALISTA (2)",9,9,416,-,-
"UNIÓN CÍVICA RADICAL (3)",152,146,143,134,136
"MOVIMIENTO SIEMPRE CORRIENTES (4)",3,3,3,3,3
"DEMÓCRATA CRISTIANO (5)",0,0,0,-,-
"DE LA CONCERTACIÓN - FORJA (7)",10,10,10,10,10
"FEDERAL (8)",7,7,-,13,10
"DEMÓCRATA PROGRESISTA (9)",7,7,7,8,7
"RENOVADOR FEDERAL (10)",14,15,15,17,16
"LADRILLEROS UNIDOS (11)",2,2,2,2,2
"COMUNISTA (12)",0,0,-,-,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",0,0,0,-,-
"ACCIÓN POR CORRIENTES (14)",1,1,1,1,1
"UNIDOS POR CORRIENTES (15)",1,1,1,1,1
"LABORISTA AUTÓNOMO (17)",4,4,3,3,3
"ELI - ENCUENTRO LIBERAL (18)",178,178,179,177,177
"CAMBIO POPULAR (19)",0,0,0,0,0
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",13,13,-,11,10
"CONVOCATORIA POPULAR (21)",0,0,-,-,-
"FE (23)",1,1,1,-,-
"NUESTRA CAUSA (24)",2,1,1,-,-
"UNION POPULAR (25)",19,17,17,27,27
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",5,5,5,8,8
"ENCUENTRO CORRELIGIONARIO (27)",5,6,6,5,4
"CAMBIO AUSTERIDAD Y PROGRESO (28)",0,0,0,0,0
"DEL TRABAJO Y DEL PUEBLO (29)",1,1,1,-,-
"CIUDADANOS A GOBERNAR (30)",2,0,0,0,0
"CONSERVADOR POPULAR (31)",2,2,2,2,1
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",1,1,1,1,1
"NUEVO PAIS (33)",47,43,-,56,48
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",2,2,2,1,1
"TERCERA POSICIÓN (35)",1,1,1,-,-
"UNIÓN CORRENTINA (37)",4,4,4,4,4
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",1,1,1,1,1
"UNIÓN PARA EL DESARROLLO (42)",0,0,0,0,0
"NORTE GRANDE (43)",1,1,1,1,1
"ACCIÓN POR LA REPÚBLICA (44)",4,4,4,3,3
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,0,0
"VAMOS CORRIENTES (46)",4,3,3,3,8
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",3,3,2,0,0
"PARTIDO AGRARIO Y SOCIAL (49)",44,44,-,45,44
"SOCIALISTA (50)",14,12,12,2,11
"LIBERAL (51)",29,28,28,27,20
"AUTONOMISTA (52)",5,5,5,7,5
"DE LA VICTORIA (54)",0,0,0,-,-
"PROYECTO CORRIENTES (57)",302,302,-,329,318
"PRO - PROPUESTA REPUBLICANA (64)",21,20,20,19,21
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",1,1,1,-,-
"NUEVO (90)",9,9,10,8,7
"POPULAR CORRENTINO (169)",15,15,15,15,16
"CRECER CON TODOS (170)",12,12,12,12,12
"UNIÓN CELESTE Y BLANCO (173)",3,3,-,7,6
"COMPROMISO CORRENTINO (175)",1,0,-,0,0
"KOLINA (192)",0,0,0,-,-
"Votos en Blanco",22,44,52,25,44
"Votos Nulos",4,1,1,1,1
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
